,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
0,Total Geo,2.996046220196388,3.4027213848561075,2.5912405161451435,3.5223027527674007,2.5593327497325165,4.780091949277031,2.969610125203431,2.410794480280885,3.9429008230672142
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",4.905308910276312,5.88235294117647,4.138185848882321,0.0,0.0,0.0,0.0,0.0,0.0
2,Ulster County (East) PUMA,9.216589861751153,20.460358056265985,0.0,16.05839416058394,44.299674267100976,7.902163687676388,0.0,0.0,0.0
3,Albany County (East Central)--Albany City PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0.0,0.0,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0
5,Ontario & Yates Counties PUMA,0.0,0.0,0.0,45.22292993630573,#DIV/0!,45.22292993630573,#DIV/0!,#DIV/0!,#DIV/0!
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,4.601877081441114,6.733444629938787,2.058432934926959,1.4938784679321577,0.0,2.677133655394525,6.279069767441861,7.803468208092486,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",5.834305717619603,21.551724137931032,0.0,17.06827309236948,0.0,28.428093645484946,0.0,#DIV/0!,0.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,5.534779356768885,10.364145658263306,0.0,2.8647568287808127,5.282555282555283,0.0,0.0,0.0,0.0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",2.0297029702970297,3.2878909382518042,0.0,8.149106302916275,2.4177566389219183,16.512434933487565,14.3664047151277,19.401544401544403,9.15
11,Livingston & Wyoming Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,16.065365025466892,28.362682652678906,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,3.5424669227486127,0.0,5.555555555555555,0.0,0.0,0.0,28.28886844526219,13.536585365853659,37.22304283604136
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,11.087953313880785,8.426966292134832,16.4366373902133,0.0,0.0,0.0,0.0,0.0,0.0
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.0,0.0,0.0,0.8471814923427826,0.0,1.819454163750875,0.0,0.0,0.0
16,Monroe County (Central)--Rochester City (East) PUMA,11.11111111111111,18.367346938775512,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0
17,Westchester County (Northwest) PUMA,6.495607951918632,0.0,14.643043251693591,1.4221422142214222,0.0,2.7934936350777937,0.0,0.0,0.0
