,puma,BABS_Working_Poor_Total,BABS_Working_Poor_M,BABS_Working_Poor_F,HS_Working_Poor_Total,HS_Working_Poor_M,HS_Working_Poor_F,HSINC_Working_Poor_Total,HSINC_Working_Poor_M,HSINC_Working_Poor_F
0,Total Geo,4.758365990815142,6.201679636670739,3.200669707472402,13.676595511467953,13.9757930166933,13.188446796354539,23.857518056467498,24.806192389506027,21.700698549167114
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",7.151589242053789,9.559017692104568,5.076257682676986,16.89928328932478,17.64919941775837,15.221815221815222,45.539906103286384,45.539906103286384,#DIV/0!
2,Ulster County (East) PUMA,22.846441947565545,24.55242966751918,21.21951219512195,13.560666137985725,55.700325732899024,0.0,0.0,0.0,#DIV/0!
3,Albany County (East Central)--Albany City PUMA,10.573177518085698,23.72034956304619,0.0,0.0,0.0,0.0,29.6875,29.6875,#DIV/0!
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0.0,0.0,0.0,100.0,100.0,#DIV/0!,0.0,#DIV/0!,0.0
5,Ontario & Yates Counties PUMA,0.0,0.0,0.0,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,2.7359781121751023,3.061224489795918,0.0,13.94984326018809,10.440835266821345,15.7396449704142,0.0,#DIV/0!,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,5.251759610178668,8.681384248210025,0.0,23.393813206424745,22.445157838416264,24.581379772270594,17.320099255583127,15.799373040752352,23.095238095238095
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,0.0,0.0,23.138297872340424,33.9622641509434,9.146341463414634,0.0,#DIV/0!,0.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,6.078268109908409,11.027190332326283,0.0,31.350482315112536,47.329773030707614,7.171717171717172,0.0,0.0,#DIV/0!
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",20.045706823375774,18.248175182481752,23.056768558951966,31.64179104477612,27.133249264396802,39.85451761102603,25.087243117487397,13.55170199100835,42.66144814090019
11,Livingston & Wyoming Counties PUMA,27.386541471048513,35.93429158110883,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.0,0.0,0.0,14.655172413793101,0.0,33.62637362637363,100.0,#DIV/0!,100.0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.0,0.0,0.0,7.181436287257452,8.627733717856284,0.0,5.509964830011723,9.362549800796813,0.0
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,9.775641025641026,12.212212212212211,0.0,0.0,0.0,0.0,74.39613526570048,100.0,0.0
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.9510138166158264,1.4783821478382146,0.0,1.296150824823252,2.0012128562765312,0.0,50.68306010928961,22.31404958677686,78.59078590785907
16,Monroe County (Central)--Rochester City (East) PUMA,16.445623342175068,22.463768115942027,0.0,0.0,0.0,0.0,79.41176470588235,#DIV/0!,79.41176470588235
17,Westchester County (Northwest) PUMA,0.0,0.0,0.0,15.085500117123448,9.47022972339428,20.692883895131086,0.0,0.0,0.0
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.0,0.0,0.0,24.546773023930385,27.498588368153587,19.250253292806484,0.0,0.0,#DIV/0!
19,Onondaga County (Central)--Syracuse City PUMA,11.784511784511785,19.726027397260275,4.996096799375488,75.0,84.98452012383902,0.0,0.0,0.0,0.0
20,Westchester County (Northeast) PUMA,0.0,0.0,0.0,27.442371020856204,22.897800776196636,52.89855072463768,14.012738853503185,16.458852867830423,0.0
21,Madison & Cortland Counties PUMA,14.5985401459854,0.0,21.052631578947366,0.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0
22,Erie County (West Central)--Buffalo City (West) PUMA,43.89505549949546,34.9680170575693,51.91570881226054,54.22469823584029,68.41269841269842,34.22818791946309,74.3723849372385,100.0,67.93193717277487
23,Monroe County (Central)--Rochester City (West) PUMA,50.682261208576996,0.0,100.0,36.312849162011176,28.188976377952756,100.0,0.0,0.0,#DIV/0!
24,Suffolk County (Central)--Islip Town (East) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.0,0.0,0.0,18.75792141951838,0.0,38.04627249357326,0.0,0.0,#DIV/0!
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",15.280541185833666,19.25170068027211,9.683604985618409,18.44325813673153,16.16446071529147,22.03014184397163,22.10081071554459,13.04093567251462,35.84738243123336
27,St. Lawrence County PUMA,19.12681912681913,27.627627627627625,0.0,100.0,#DIV/0!,100.0,#DIV/0!,#DIV/0!,#DIV/0!
28,Columbia & Greene Counties PUMA,5.639097744360902,7.5,0.0,15.0,33.89830508474576,0.0,0.0,#DIV/0!,0.0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.7783615489394824,0.0,1.4566642388929352,6.79304897314376,10.617283950617285,0.0,0.0,0.0,#DIV/0!
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",6.784746418892761,8.703798330778403,4.259134723156243,21.788094690875663,23.422546634225466,17.81631848640126,16.114982578397214,5.263157894736842,25.487012987012985
31,Monroe County (North & West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,0.0,0.0,#DIV/0!
32,Schenectady County--Schenectady City PUMA,9.691960931630353,13.114754098360656,5.509181969949917,0.0,0.0,0.0,0.0,0.0,#DIV/0!
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",0.0,0.0,0.0,13.400055601890465,12.486486486486486,14.367487120778478,21.248246844319777,13.073713490959666,29.56152758132956
34,Niagara County (North & East) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.0,0.0,0.0,27.265655387008948,34.09533073929961,0.0,0.0,0.0,0.0
36,Suffolk County (East) PUMA,0.0,0.0,0.0,29.648894668400523,11.482403128332741,58.02332037756802,49.331783846600814,70.69109075770191,0.0
37,Warren & Washington Counties PUMA,0.0,0.0,0.0,52.226720647773284,100.0,0.0,0.0,0.0,0.0
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,3.262661285738646,3.80649267982177,2.823988498665024,4.766552789978851,8.460872076234478,0.0,21.568627450980394,0.0,100.0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.0,0.0,0.0,0.0,0.0,0.0,35.79418344519016,47.61904761904761,0.0
40,Westchester County (Central)--White Plains City PUMA,0.0,0.0,0.0,9.179134654266074,13.678818921361858,0.0,0.0,0.0,0.0
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",16.70616113744076,37.13784021071115,0.0,26.95666235446313,19.380061435353255,37.379946215904724,73.92703862660944,69.85111662531017,100.0
42,Erie County (North Central) PUMA,2.4533138044672285,0.0,4.7585227272727275,35.28505392912172,40.89285714285714,0.0,76.86170212765957,45.962732919254655,100.0
43,Chautauqua County PUMA,0.0,0.0,0.0,0.0,0.0,#DIV/0!,100.0,100.0,#DIV/0!
