,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,1044795,565803,478992,866355,503495,362860,178440,62308,116132,429880,212255,217625,372476,192316,180160,57404,19939,37465,476132,266624,209508,384019,235459,148560,92113,31165,60948,138783,86924,51859,109860,75720,34140,28923,11204,17719
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",17007,9945,7062,14061,9041,5020,2946,904,2042,7432,3507,3925,6095,2986,3109,1337,521,816,8421,5586,2835,7114,5203,1911,1307,383,924,1154,852,302,852,852,0,302,0,302
2,Ulster County (East) PUMA,2588,682,1906,1746,682,1064,842,0,842,1086,292,794,567,292,275,519,0,519,1109,307,802,1096,307,789,13,0,13,393,83,310,83,83,0,310,0,310
3,Albany County (East Central)--Albany City PUMA,3873,2192,1681,3399,1879,1520,474,313,161,1656,619,1037,1329,453,876,327,166,161,1883,1239,644,1814,1170,644,69,69,0,334,334,0,256,256,0,78,78,0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1201,374,827,1201,374,827,0,0,0,638,210,428,638,210,428,0,0,0,164,164,0,164,164,0,0,0,0,399,0,399,399,0,399,0,0,0
5,Ontario & Yates Counties PUMA,660,195,465,281,133,148,379,62,317,488,195,293,160,133,27,328,62,266,172,0,172,121,0,121,51,0,51,0,0,0,0,0,0,0,0,0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1932,960,972,1433,901,532,499,59,440,1082,915,167,958,856,102,124,59,65,817,45,772,442,45,397,375,0,375,33,0,33,33,0,33,0,0,0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,14338,7061,7277,11915,6864,5051,2423,197,2226,5141,2776,2365,4792,2776,2016,349,0,349,7644,3152,4492,5570,2955,2615,2074,197,1877,1553,1133,420,1553,1133,420,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",293,110,183,293,110,183,0,0,0,177,110,67,177,110,67,0,0,0,15,0,15,15,0,15,0,0,0,101,0,101,101,0,101,0,0,0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,1942,1236,706,1622,1192,430,320,44,276,920,406,514,836,406,430,84,0,84,575,476,99,432,432,0,143,44,99,447,354,93,354,354,0,93,0,93
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",15675,8839,6836,12189,7522,4667,3486,1317,2169,3599,2053,1546,2498,1353,1145,1101,700,401,8265,4948,3317,7112,4612,2500,1153,336,817,3811,1838,1973,2579,1557,1022,1232,281,951
11,Livingston & Wyoming Counties PUMA,865,508,357,686,508,178,179,0,179,607,487,120,607,487,120,0,0,0,58,0,58,58,0,58,0,0,0,200,21,179,21,21,0,179,0,179
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,5010,2254,2756,4018,2021,1997,992,233,759,2488,1159,1329,1913,1002,911,575,157,418,2346,1095,1251,1929,1019,910,417,76,341,176,0,176,176,0,176,0,0,0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,7675,5069,2606,6356,4751,1605,1319,318,1001,1797,764,1033,1448,764,684,349,0,349,4208,3485,723,4055,3485,570,153,0,153,1670,820,850,853,502,351,817,318,499
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,3172,1584,1588,1497,1039,458,1675,545,1130,1869,1215,654,781,731,50,1088,484,604,871,61,810,408,0,408,463,61,402,432,308,124,308,308,0,124,0,124
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,7554,4180,3374,6494,3938,2556,1060,242,818,5079,3087,1992,4477,2863,1614,602,224,378,1648,730,918,1364,712,652,284,18,266,827,363,464,653,363,290,174,0,174
16,Monroe County (Central)--Rochester City (East) PUMA,950,380,570,800,296,504,150,84,66,461,360,101,377,276,101,84,84,0,183,20,163,117,20,97,66,0,66,306,0,306,306,0,306,0,0,0
17,Westchester County (Northwest) PUMA,9005,4539,4466,6652,3751,2901,2353,788,1565,3180,1766,1414,2610,1669,941,570,97,473,4801,2151,2650,3199,1641,1558,1602,510,1092,1024,622,402,843,441,402,181,181,0
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,5263,3216,2047,4367,2834,1533,896,382,514,1692,843,849,1389,843,546,303,0,303,3082,2014,1068,2758,1771,987,324,243,81,489,359,130,220,220,0,269,139,130
19,Onondaga County (Central)--Syracuse City PUMA,2959,1840,1119,2421,1596,825,538,244,294,1616,921,695,1578,883,695,38,38,0,1054,796,258,732,646,86,322,150,172,289,123,166,111,67,44,178,56,122
20,Westchester County (Northeast) PUMA,5574,3063,2511,3934,2910,1024,1640,153,1487,1803,1029,774,1537,876,661,266,153,113,2165,1232,933,1455,1232,223,710,0,710,1606,802,804,942,802,140,664,0,664
21,Madison & Cortland Counties PUMA,240,42,198,197,42,155,43,0,43,160,42,118,117,42,75,43,0,43,0,0,0,0,0,0,0,0,0,80,0,80,80,0,80,0,0,0
22,Erie County (West Central)--Buffalo City (West) PUMA,3949,2169,1780,2770,1209,1561,1179,960,219,1267,745,522,909,387,522,358,358,0,1185,691,494,905,630,275,280,61,219,1497,733,764,956,192,764,541,541,0
