,puma,BABS_Home_Ownership_Total,BABS_Home_Ownership_M,BABS_Home_Ownership_F,HS_Home_Ownership_Total,HS_Home_Ownership_M,HS_Home_Ownership_F,HSINC_Home_Ownership_Total,HSINC_Home_Ownership_M,HSINC_Home_Ownership_F
0,Total Geo,49.919260198094165,48.48315519973991,51.15268494441633,55.099407379086216,52.94586622020251,57.37536862800169,58.89813357319541,57.693520416206844,60.49848151638915
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",42.516871774513696,48.68913857677903,39.639115250291034,65.93830334190231,38.225255972696246,82.68041237113401,#DIV/0!,#DIV/0!,#DIV/0!
2,Ulster County (East) PUMA,74.48453608247422,0.0,100.0,4.597701149425287,#DIV/0!,4.597701149425287,#DIV/0!,#DIV/0!,#DIV/0!
3,Albany County (East Central)--Albany City PUMA,29.427083333333332,64.9425287356322,0.0,33.89199255121043,0.0,40.53452115812918,0.0,#DIV/0!,0.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,100.0,100.0,100.0,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,91.02222222222223,100.0,66.99346405228758,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,91.15351257588898,92.96320206584893,87.45046235138706,85.24203069657615,67.61658031088082,100.0,100.0,#DIV/0!,100.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,70.44692737430167,85.03496503496504,60.74418604651163,56.42807505211953,46.29014396456257,73.50746268656717,67.37967914438502,64.2578125,100.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",97.05882352941177,100.0,96.415770609319,82.7258320126783,79.2982456140351,85.54913294797689,#DIV/0!,#DIV/0!,#DIV/0!
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,62.75752773375595,23.7012987012987,100.0,57.12626995645863,52.019650655021834,62.926224426534404,68.00670016750419,100.0,39.171974522293
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.0,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
11,Livingston & Wyoming Counties PUMA,100.0,#DIV/0!,100.0,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,21.090581342947274,29.475308641975307,9.317443120260021,13.972602739726028,0.0,33.77483443708609,0.0,#DIV/0!,0.0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,78.02197802197803,100.0,73.96963123644251,59.308510638297875,32.10059171597633,100.0,#DIV/0!,#DIV/0!,#DIV/0!
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,27.839335180055404,34.366925064599485,20.298507462686565,100.0,100.0,100.0,100.0,#DIV/0!,100.0
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,87.76458440887971,95.17326732673267,82.46235606731621,96.96969696969697,100.0,93.83561643835617,100.0,#DIV/0!,100.0
16,Monroe County (Central)--Rochester City (East) PUMA,49.73262032085562,#DIV/0!,49.73262032085562,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
17,Westchester County (Northwest) PUMA,85.0375939849624,78.78315132605304,90.85631349782292,100.0,100.0,100.0,85.35469107551488,67.8391959798995,100.0
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,24.137931034482758,38.762214983713356,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
19,Onondaga County (Central)--Syracuse City PUMA,16.818181818181817,65.48672566371681,0.0,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
20,Westchester County (Northeast) PUMA,44.294605809128626,39.565217391304344,48.61111111111111,100.0,100.0,100.0,100.0,#DIV/0!,100.0
21,Madison & Cortland Counties PUMA,100.0,100.0,100.0,71.42857142857143,#DIV/0!,71.42857142857143,#DIV/0!,#DIV/0!,#DIV/0!
22,Erie County (West Central)--Buffalo City (West) PUMA,100.0,100.0,100.0,100.0,#DIV/0!,100.0,100.0,100.0,#DIV/0!
23,Monroe County (Central)--Rochester City (West) PUMA,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
24,Suffolk County (Central)--Islip Town (East) PUMA,85.45994065281899,100.0,74.3455497382199,0.0,#DIV/0!,0.0,100.0,#DIV/0!,100.0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,100.0,100.0,100.0,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
27,St. Lawrence County PUMA,83.12586445366529,82.27360308285164,85.29411764705883,100.0,#DIV/0!,100.0,100.0,100.0,100.0
28,Columbia & Greene Counties PUMA,81.74904942965779,100.0,74.73684210526315,100.0,100.0,100.0,100.0,#DIV/0!,100.0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,38.84297520661157,49.86338797814208,27.63888888888889,77.90594498669033,72.03947368421053,84.77842003853564,#DIV/0!,#DIV/0!,#DIV/0!
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",71.22669873722188,83.6659275683666,62.69640141915864,84.32956381260097,81.30601792573624,86.52416356877323,0.0,0.0,#DIV/0!
31,Monroe County (North & West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!
32,Schenectady County--Schenectady City PUMA,100.0,100.0,100.0,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",51.587301587301596,0.0,67.70833333333334,45.052539404553414,49.26829268292683,41.62033359809372,0.0,0.0,0.0
34,Niagara County (North & East) PUMA,100.0,100.0,#DIV/0!,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,55.894039735099334,38.333333333333336,100.0,68.67112100965109,56.13305613305614,100.0,100.0,100.0,#DIV/0!
36,Suffolk County (East) PUMA,61.98521647307286,53.579175704989154,69.95884773662551,24.941905499612705,37.9746835443038,4.39121756487026,#DIV/0!,#DIV/0!,#DIV/0!
37,Warren & Washington Counties PUMA,89.5397489539749,100.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,100.0,#DIV/0!,100.0
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,60.29320987654321,49.68532626697582,69.5463738803814,50.142894258248894,52.187640956247186,47.36519607843137,85.13238289205702,81.18556701030928,100.0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.0,0.0,0.0,71.53284671532847,#DIV/0!,71.53284671532847,100.0,#DIV/0!,100.0
40,Westchester County (Central)--White Plains City PUMA,81.19022316684378,75.52521008403362,86.98924731182795,88.8507718696398,100.0,0.0,100.0,100.0,#DIV/0!
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",30.76923076923077,100.0,0.0,49.27835051546392,29.914529914529915,100.0,#DIV/0!,#DIV/0!,#DIV/0!
42,Erie County (North Central) PUMA,45.797413793103445,30.270270270270274,56.09318996415771,100.0,100.0,100.0,46.25,46.25,#DIV/0!
43,Chautauqua County PUMA,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,100.0,#DIV/0!,100.0
44,Dutchess County (Southwest) PUMA,80.10752688172043,84.51178451178451,77.18120805369128,100.0,100.0,100.0,100.0,#DIV/0!,100.0
45,Westchester County (Southeast) PUMA,75.50802139037434,60.73717948717948,87.34746307000643,32.12996389891697,17.243920412675017,66.83848797250859,100.0,100.0,100.0
46,Rockland County (North)--New City & Congers PUMA,100.0,#DIV/0!,100.0,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,86.85945141399107,88.08608762490393,85.34031413612566,93.61467889908258,90.80971659919028,95.93959731543625,92.98597194388778,92.22222222222223,100.0
48,Suffolk County (Southwest)--Islip Town (South) PUMA,100.0,100.0,100.0,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
49,Erie County (West Central)--Buffalo City (East) PUMA,27.631578947368425,27.631578947368425,#DIV/0!,50.0,0.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
50,Wayne & Seneca Counties PUMA,34.146341463414636,34.146341463414636,#DIV/0!,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
51,Monroe County (South) PUMA,72.67869071476287,79.02208201892745,68.01853997682502,79.5425667090216,100.0,61.938534278959814,64.93150684931507,48.59437751004016,100.0
52,Tompkins County PUMA,45.45454545454545,33.33333333333333,52.98507462686567,23.404255319148938,23.404255319148938,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,0.0,#DIV/0!,0.0,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",100.0,#DIV/0!,100.0,89.62264150943396,75.82417582417582,100.0,#DIV/0!,#DIV/0!,#DIV/0!
55,NYC-Manhattan Community District 8--Upper East Side PUMA,27.45637329286798,24.6644621668936,30.112900240607072,69.27453769559034,0.0,83.10580204778158,0.0,0.0,#DIV/0!
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",31.142098273572376,23.93488049878767,43.899448191293686,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",37.71844660194175,30.442978322337417,45.44544544544545,15.251299826689774,0.0,16.988416988416986,0.0,#DIV/0!,0.0
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,95.28735632183908,95.19125683060109,95.39393939393939,82.72574312955693,63.376932223543406,100.0,100.0,100.0,100.0
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",100.0,100.0,#DIV/0!,39.41798941798942,55.371900826446286,31.906614785992215,0.0,0.0,0.0
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,100.0,#DIV/0!,100.0,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",59.409120102761726,43.24324324324324,65.13043478260869,54.15567282321899,36.91128148959474,80.2653399668325,#DIV/0!,#DIV/0!,#DIV/0!
62,Saratoga County (South & Central) PUMA,70.37037037037037,54.285714285714285,100.0,100.0,100.0,100.0,0.0,#DIV/0!,0.0
63,Cattaraugus & Allegany Counties PUMA,65.04065040650406,73.25581395348837,45.94594594594595,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
64,Genesee & Orleans Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,100.0,100.0,#DIV/0!,100.0,#DIV/0!,100.0
65,Cayuga & Onondaga (South) Counties PUMA,100.0,100.0,100.0,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
66,Sullivan & Ulster (West) Counties PUMA,100.0,100.0,100.0,51.54241645244216,64.98316498316498,43.24324324324324,100.0,100.0,#DIV/0!
67,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",0.0,0.0,0.0,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
68,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,43.401015228426395,25.702811244979916,73.79310344827587,100.0,100.0,100.0,100.0,100.0,#DIV/0!
69,NYC-Queens Community District 1--Astoria & Long Island City PUMA,13.395792241946088,6.36465743167353,18.898329915030764,26.696925933567154,26.06837606837607,27.562530652280532,50.2868068833652,60.08230452674898,41.785714285714285
70,Jefferson & Lewis Counties PUMA,56.470588235294116,43.07692307692308,100.0,43.34763948497854,100.0,38.46153846153847,0.0,#DIV/0!,0.0
71,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,89.09444985394353,83.92370572207084,91.96969696969697,90.6896551724138,100.0,88.41201716738198,100.0,100.0,100.0
72,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,#DIV/0!,#DIV/0!,#DIV/0!,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
73,Orange County (Northeast)--Greater Newburgh City PUMA,100.0,#DIV/0!,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
74,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",29.0633608815427,24.845679012345677,32.46268656716418,53.224341507720254,53.06345733041575,54.01069518716578,7.158836689038031,0.0,43.83561643835616
75,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",0.0,#DIV/0!,0.0,62.92134831460674,62.92134831460674,#DIV/0!,0.0,#DIV/0!,0.0
