,puma,BABS_Rent_Burden_Total,BABS_Rent_Burden_M,BABS_Rent_Burden_F,HS_Rent_Burden_Total,HS_Rent_Burden_M,HS_Rent_Burden_F,HSINC_Rent_Burden_Total,HSINC_Rent_Burden_M,HSINC_Rent_Burden_F
0,Total Geo,14.74479232481507,12.658253779653379,16.628747942215565,25.422267061541966,24.12986613325127,26.872474878276183,32.48742837095077,25.05592841163311,42.54265272427077
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",30.11049723756906,51.82481751824818,21.504339440694313,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
2,Ulster County (East) PUMA,0.0,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
3,Albany County (East Central)--Albany City PUMA,55.35055350553506,0.0,71.42857142857143,0.0,0.0,0.0,0.0,#DIV/0!,0.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,28.35538752362949,0.0,35.54502369668246,0.0,0.0,0.0,0.0,0.0,#DIV/0!
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,#DIV/0!,0.0,28.440366972477065,0.0,62.0,#DIV/0!,#DIV/0!,#DIV/0!
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.0,0.0,#DIV/0!,3.2498307379823967,0.0,8.02675585284281,0.0,#DIV/0!,0.0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.0,0.0,#DIV/0!,84.49612403100775,100.0,64.28571428571429,#DIV/0!,#DIV/0!,#DIV/0!
11,Livingston & Wyoming Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.0,0.0,0.0,35.483870967741936,100.0,0.0,0.0,#DIV/0!,0.0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.0,#DIV/0!,0.0,78.21350762527233,78.21350762527233,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,47.98464491362764,46.8503937007874,49.063670411985015,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.0,0.0,0.0,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
16,Monroe County (Central)--Rochester City (East) PUMA,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
17,Westchester County (Northwest) PUMA,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!
