,puma,Unemployment_HSINC_score,FT_Work_HSINC_score,Poverty_HSINC_score,Working_Poor_HSINC_score,Rent_Burden_HSINC_score,Home_Ownership_HSINC_score,Income_level_HSINC_score,Overall_HSINC_score,Unemployment_HSINC_grade,FT_Work_HSINC_grade,Poverty_HSINC_grade,Working_Poor_HSINC_grade,Rent_Burden_HSINC_grade,Home_Ownership_HSINC_grade,Income_level_HSINC_grade,Overall_HSINC_grade
0,Total Geo,0.0009780667294570834,0.025956392256114152,0.01967593477912276,-0.058621907145445754,-0.06116952789865685,-0.28755963277701,-0.055788323074191064,-0.05950414244722996,C,C,C,C,C,C-,C,C
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.2568176272056589,-0.1655035599822203,-0.522197223413967,-0.8590544553474637,-0.868998275137759,-1.3565581544099174,#DIV/0!,#DIV/0!,B-,C,C-,D,D,D-,#DIV!0,#DIV!0
2,Ulster County (East) PUMA,0.2568176272056589,-2.2426637822990525,-1.5528687511626649,0.82210829335088,-1.650701719188263,-1.3565581544099174,#DIV/0!,#DIV/0!,B-,E,D-,B,D-,D-,#DIV!0,#DIV!0
3,Albany County (East Central)--Albany City PUMA,0.2568176272056589,-0.05451201404165265,-0.27838568481601084,-0.27384300239367493,-0.7417293876861406,-0.84416758861397,-0.458579430979949,-0.34205706876081987,B-,C,C-,C-,C-,D,C-,C-
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0.2568176272056589,0.8657690317581209,1.2467939566918054,0.82210829335088,1.0234500485379172,-1.3565581544099174,0.08335266277205584,0.4202476379866459,B-,B,B,B,B,D-,C,B-
5,Ontario & Yates Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-1.2129878286563307,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,D,#DIV!0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.2568176272056589,-2.1393619538068296,1.2467939566918054,0.82210829335088,#DIV/0!,1.5764361187668852,0.11027580675771818,#DIV/0!,B-,E,B,B,#DIV!0,A-,C,#DIV!0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,-0.2841404049170545,0.8657690317581209,0.5401141451260326,0.182715106939743,0.8175370674696042,-0.16676888840220816,#DIV/0!,#DIV/0!,C-,B,B-,C,B,C,#DIV!0,#DIV!0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.2568176272056589,0.8657690317581209,1.2467939566918054,0.82210829335088,1.0234500485379172,0.6578609892554691,-0.7049000615170123,0.5954142693261198,B-,B,B,B,B,B-,C-,B-
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.2568176272056589,-0.9959283309074082,-0.6693213177311645,0.82210829335088,1.0234500485379172,0.5815961693515103,0.06803941508736894,0.1552517006992518,B-,D,C-,B,B,B-,C,C
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",-0.9808851394798223,-0.40815667242497017,-0.6277535270469784,-0.10401875006028566,-0.2542598928080041,-1.2022262969535857,0.056691254433815196,-0.5029441463342617,D,C-,C-,C,C-,D,C,C-
