,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,5863288,2992872,2870416,4919882,2663798,2256084,943406,329074,614332,2765006,1273264,1491742,2416689,1171011,1245678,348317,102253,246064,2838397,1557494,1280903,2314825,1366808,948017,523572,190686,332886,259885,162114,97771,188368,125979,62389,71517,36135,35382
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",32556,16359,16197,27979,13673,14306,4577,2686,1891,21097,9567,11530,18108,8002,10106,2989,1565,1424,10973,6533,4440,9473,5412,4061,1500,1121,379,486,259,227,398,259,139,88,0,88
2,Ulster County (East) PUMA,57422,30001,27421,46073,25790,20283,11349,4211,7138,19187,7867,11320,15808,7104,8704,3379,763,2616,35622,20429,15193,28259,17261,10998,7363,3168,4195,2613,1705,908,2006,1425,581,607,280,327
3,Albany County (East Central)--Albany City PUMA,32659,16446,16213,25116,13928,11188,7543,2518,5025,15851,8008,7843,13251,6712,6539,2600,1296,1304,15238,7913,7325,11182,6691,4491,4056,1222,2834,1570,525,1045,683,525,158,887,0,887
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,37748,19264,18484,30841,16096,14745,6907,3168,3739,11945,6176,5769,10947,6039,4908,998,137,861,23950,11491,12459,19365,9712,9653,4585,1779,2806,1853,1597,256,529,345,184,1324,1252,72
5,Ontario & Yates Counties PUMA,54938,27059,27879,45204,23877,21327,9734,3182,6552,22458,9303,13155,18309,7792,10517,4149,1511,2638,30058,15958,14100,24795,14382,10413,5263,1576,3687,2422,1798,624,2100,1703,397,322,95,227
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,35442,19398,16044,30407,17530,12877,5035,1868,3167,16433,7421,9012,14428,6952,7476,2005,469,1536,18345,11378,6967,15556,10155,5401,2789,1223,1566,664,599,65,423,423,0,241,176,65
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,51776,25636,26140,42226,23048,19178,9550,2588,6962,27150,12407,14743,23153,11884,11269,3997,523,3474,23224,12302,10922,17969,10237,7732,5255,2065,3190,1402,927,475,1104,927,177,298,0,298
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",63296,33853,29443,51646,29619,22027,11650,4234,7416,19370,7438,11932,16148,6611,9537,3222,827,2395,41184,24452,16732,33412,21313,12099,7772,3139,4633,2742,1963,779,2086,1695,391,656,268,388
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,52943,28650,24293,43097,24454,18643,9846,4196,5650,17501,8396,9105,15213,7867,7346,2288,529,1759,32875,18355,14520,26124,15339,10785,6751,3016,3735,2567,1899,668,1760,1248,512,807,651,156
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",29788,12483,17305,23853,9974,13879,5935,2509,3426,5979,1984,3995,5048,1867,3181,931,117,814,19217,8454,10763,16017,7181,8836,3200,1273,1927,4592,2045,2547,2788,926,1862,1804,1119,685
11,Livingston & Wyoming Counties PUMA,38215,20282,17933,32820,18696,14124,5395,1586,3809,9481,4013,5468,8282,3788,4494,1199,225,974,27293,15574,11719,23623,14365,9258,3670,1209,2461,1441,695,746,915,543,372,526,152,374
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,47696,21475,26221,41539,18843,22696,6157,2632,3525,35925,15721,20204,33404,15074,18330,2521,647,1874,10085,5047,5038,7575,3307,4268,2510,1740,770,1686,707,979,560,462,98,1126,245,881
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,31921,15835,16086,27540,14255,13285,4381,1580,2801,12114,4505,7609,10982,3986,6996,1132,519,613,18157,10567,7590,15105,9703,5402,3052,864,2188,1650,763,887,1453,566,887,197,197,0
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,38713,19138,19575,30566,15591,14975,8147,3547,4600,13322,6870,6452,11355,5850,5505,1967,1020,947,23175,11316,11859,18125,9448,8677,5050,1868,3182,2216,952,1264,1086,293,793,1130,659,471
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,28732,15559,13173,24283,13994,10289,4449,1565,2884,23117,12512,10605,19456,11034,8422,3661,1478,2183,5240,2844,2396,4584,2829,1755,656,15,641,375,203,172,243,131,112,132,72,60
16,Monroe County (Central)--Rochester City (East) PUMA,39934,20123,19811,31696,16177,15519,8238,3946,4292,15991,7859,8132,13978,6886,7092,2013,973,1040,19833,10177,9656,14619,7753,6866,5214,2424,2790,4110,2087,2023,3099,1538,1561,1011,549,462
17,Westchester County (Northwest) PUMA,45598,23988,21610,38207,21189,17018,7391,2799,4592,27926,12618,15308,23654,11448,12206,4272,1170,3102,15933,10065,5868,13382,8912,4470,2551,1153,1398,1739,1305,434,1171,829,342,568,476,92
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,25531,9570,15961,20559,7611,12948,4972,1959,3013,5841,1330,4511,5336,1262,4074,505,68,437,16841,6924,9917,13354,5364,7990,3487,1560,1927,2849,1316,1533,1869,985,884,980,331,649
19,Onondaga County (Central)--Syracuse City PUMA,37930,19938,17992,29727,16815,12912,8203,3123,5080,12005,5294,6711,10206,4931,5275,1799,363,1436,22846,12693,10153,17180,10285,6895,5666,2408,3258,3079,1951,1128,2341,1599,742,738,352,386
20,Westchester County (Northeast) PUMA,45021,23504,21517,36439,22392,14047,8582,1112,7470,33589,16695,16894,27622,15859,11763,5967,836,5131,10951,6580,4371,8588,6304,2284,2363,276,2087,481,229,252,229,229,0,252,0,252
21,Madison & Cortland Counties PUMA,43674,22708,20966,37721,20476,17245,5953,2232,3721,12765,5281,7484,11432,4800,6632,1333,481,852,28357,15294,13063,23839,13594,10245,4518,1700,2818,2552,2133,419,2450,2082,368,102,51,51
22,Erie County (West Central)--Buffalo City (West) PUMA,40778,19914,20864,33959,17089,16870,6819,2825,3994,21374,9082,12292,18345,7889,10456,3029,1193,1836,17066,9636,7430,13926,8153,5773,3140,1483,1657,2338,1196,1142,1688,1047,641,650,149,501
23,Monroe County (Central)--Rochester City (West) PUMA,27710,13165,14545,21975,10559,11416,5735,2606,3129,7227,3444,3783,6370,3183,3187,857,261,596,17965,7824,10141,13861,6150,7711,4104,1674,2430,2518,1897,621,1744,1226,518,774,671,103
24,Suffolk County (Central)--Islip Town (East) PUMA,40118,21010,19108,35861,19943,15918,4257,1067,3190,18609,8025,10584,17167,7568,9599,1442,457,985,20642,12720,7922,18438,12252,6186,2204,468,1736,867,265,602,256,123,133,611,142,469
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,35810,18614,17196,30122,17262,12860,5688,1352,4336,23382,11613,11769,20295,11000,9295,3087,613,2474,11917,6675,5242,9316,5936,3380,2601,739,1862,511,326,185,511,326,185,0,0,0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",16470,8353,8117,13600,7098,6502,2870,1255,1615,3652,1565,2087,3457,1565,1892,195,0,195,10178,5242,4936,8577,4549,4028,1601,693,908,2640,1546,1094,1566,984,582,1074,562,512
27,St. Lawrence County PUMA,38423,20181,18242,32646,18313,14333,5777,1868,3909,10381,4436,5945,9321,4079,5242,1060,357,703,26295,14748,11547,22164,13491,8673,4131,1257,2874,1747,997,750,1161,743,418,586,254,332
28,Columbia & Greene Counties PUMA,40730,20573,20157,32967,17419,15548,7763,3154,4609,13929,5956,7973,12014,4920,7094,1915,1036,879,25391,13911,11480,20309,11992,8317,5082,1919,3163,1410,706,704,644,507,137,766,199,567
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,60106,29678,30428,52594,26983,25611,7512,2695,4817,49852,24177,25675,45628,22622,23006,4224,1555,2669,8949,5039,3910,6045,4051,1994,2904,988,1916,1305,462,843,921,310,611,384,152,232
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",27344,12898,14446,22298,11614,10684,5046,1284,3762,15213,6699,8514,12654,6400,6254,2559,299,2260,11240,5646,5594,9127,4923,4204,2113,723,1390,891,553,338,517,291,226,374,262,112
31,Monroe County (North & West) PUMA,46630,23688,22942,38923,21274,17649,7707,2414,5293,19937,8850,11087,17259,8087,9172,2678,763,1915,25282,14382,10900,20948,12746,8202,4334,1636,2698,1411,456,955,716,441,275,695,15,680
32,Schenectady County--Schenectady City PUMA,57119,28327,28792,49222,26077,23145,7897,2250,5647,22934,9432,13502,19723,8774,10949,3211,658,2553,30989,17437,13552,26504,16046,10458,4485,1391,3094,3196,1458,1738,2995,1257,1738,201,201,0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",21964,12527,9437,14577,9498,5079,7387,3029,4358,8003,4119,3884,6034,3493,2541,1969,626,1343,11885,6887,4998,7549,5011,2538,4336,1876,2460,2076,1521,555,994,994,0,1082,527,555
34,Niagara County (North & East) PUMA,43523,22083,21440,35618,19292,16326,7905,2791,5114,13623,5838,7785,11952,5461,6491,1671,377,1294,28315,15496,12819,22656,13419,9237,5659,2077,3582,1585,749,836,1010,412,598,575,337,238
