,puma,BABS_FT_Work_Total,BABS_FT_Work_M,BABS_FT_Work_F,HS_FT_Work_Total,HS_FT_Work_M,HS_FT_Work_F,HSINC_FT_Work_Total,HSINC_FT_Work_M,HSINC_FT_Work_F
0,Total Geo,87.40266748064923,91.96922240792169,83.50492243296763,81.55395457365549,87.75687097349973,74.01161524330882,72.48128980125826,77.71012990858284,63.811355105297075
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",85.83210883063943,83.64168495871223,87.64960971379011,86.33008293083022,82.84096127353436,91.46396396396396,81.89300411522635,100.0,61.23348017621145
2,Ulster County (East) PUMA,82.38911763172982,90.30125842125334,76.8904593639576,79.33018920891584,84.49263302168487,72.38860001316397,76.76999617298125,83.57771260997067,63.986784140969164
3,Albany County (East Central)--Albany City PUMA,83.59724938489686,83.81618381618382,83.37370903990819,73.38233363958526,84.55705800581322,61.310580204778155,43.503184713375795,100.0,15.119617224880383
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,91.6450397655923,97.78173575129534,85.07540301612065,80.85594989561586,84.51831868418762,77.47812826069507,28.548300053966543,21.60300563556669,71.875
5,Ontario & Yates Counties PUMA,81.52551429334758,83.7579275502526,79.94678829342455,82.4905183312263,90.12407569870912,73.85106382978724,86.70520231213872,94.71635150166851,63.62179487179487
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,87.798941154993,93.6800970219647,82.9560585885486,84.79694739711093,89.25118650026367,77.52260657384814,63.704819277108435,70.6176961602671,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,85.27808471454881,95.78463770452163,76.43627484229803,77.37254564243887,83.21411152658105,70.79289507416225,78.74465049928673,100.0,37.26315789473684
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",83.36602994321115,88.8814197364883,79.92792490781093,81.12859362859362,87.16260428594798,72.31054267272292,76.07585703865792,86.34742740703005,50.19255455712452
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,86.926461345066,93.69938065745593,80.68094453596925,79.46463878326996,83.56850994279488,74.27685950413223,68.56252434748734,65.71879936808847,76.64670658682635
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",84.42883425321959,94.10282258064517,79.62453066332917,83.34807722329187,84.94203927135085,82.09606986899564,60.71428571428571,45.28117359413203,73.10561444837063
11,Livingston & Wyoming Counties PUMA,87.3536546777766,94.39322202840768,82.18727139722019,86.5533286923387,92.23706176961602,78.99991466848707,63.497571131158914,78.12949640287769,49.865951742627345
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,92.98260264439804,95.88448571973794,90.72460898831915,75.11155180961825,65.52407370715277,84.71615720524017,33.214709371293,65.34653465346535,10.010214504596528
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,90.65543998679215,88.47946725860155,91.94375082139572,83.19105579115492,91.82360177912369,71.17259552042161,88.06060606060606,74.18086500655308,100.0
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,85.23494970725116,85.1528384279476,85.32238065716056,78.20927723840344,83.49240014139272,73.16805801500969,49.0072202166065,30.77731092436975,62.7373417721519
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,84.16316996150019,88.18734015345268,79.41537010843942,87.48091603053435,99.47257383966245,73.24707846410683,64.8,64.5320197044335,65.11627906976744
16,Monroe County (Central)--Rochester City (East) PUMA,87.41166906384842,87.61928998600331,87.21101819970487,73.71048252911814,76.18158592905571,71.10604805302403,75.40145985401459,73.69429803545759,77.16262975778547
17,Westchester County (Northwest) PUMA,84.70242784501897,90.72753209700429,79.73608570681996,83.9892047950794,88.5444610034774,76.1758691206544,67.33755031627372,63.524904214559385,78.80184331797236
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,91.35422016777949,94.88721804511279,90.3125692751053,79.29457870672762,77.46967071057192,80.56872037914692,65.6019656019656,74.84802431610942,57.66470971950424
19,Onondaga County (Central)--Syracuse City PUMA,85.01457725947522,93.14318095957688,78.60229473997914,75.19915959030027,81.02891357441109,67.91096227715946,76.03117895420591,81.95797027165555,65.78014184397163
20,Westchester County (Northeast) PUMA,82.23525558962756,94.99251272836179,69.6282703918551,78.42206191215413,95.80547112462006,52.25348890414093,47.60914760914761,100.0,0.0
21,Madison & Cortland Counties PUMA,89.55738347042694,90.89187653853436,88.61571352218066,84.06742603237296,88.88452988099908,78.42761999540687,96.00313479623824,97.60900140646976,87.82816229116945
22,Erie County (West Central)--Buffalo City (West) PUMA,85.82857677552165,86.86412684430742,85.06345590628051,81.60084378296027,84.60979659609796,77.6985195154778,72.19846022241232,87.54180602006689,56.12959719789843
23,Monroe County (Central)--Rochester City (West) PUMA,88.1416908814169,92.42160278745645,84.24530795664816,77.15558029501808,78.6042944785276,76.03786608815699,69.2613185067514,64.62836056931998,83.41384863123994
24,Suffolk County (Central)--Islip Town (East) PUMA,92.25106131441775,94.30529595015577,90.69349962207104,89.32274004456933,96.32075471698113,78.08634183287049,29.52710495963091,46.41509433962264,22.093023255813954
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,86.79753656658968,94.72143287694826,78.97867278443368,78.17403708987162,88.92883895131087,64.47920640976726,100.0,100.0,100.0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",94.6604600219058,100.0,90.65644465740297,84.26999410493221,86.77985501716901,81.60453808752027,59.31818181818181,63.64812419146184,53.199268738574034
27,St. Lawrence County PUMA,89.78903766496484,91.9522091974752,88.17493692178302,84.28978893325727,91.47681041497152,75.11041829046505,66.45678305666858,74.5235707121364,55.733333333333334
28,Columbia & Greene Counties PUMA,86.25170507574126,82.60577568838147,88.97529160918099,79.98503406718916,86.20516138307815,72.44773519163763,45.673758865248224,71.81303116147308,19.460227272727273
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,91.52691968225949,93.56826736154196,89.60467380720544,67.54944686557157,80.39293510617186,50.99744245524297,70.57471264367817,67.09956709956711,72.47924080664293
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",83.17886018536778,95.53664726078519,73.45548508339206,81.20106761565836,87.19447396386822,75.15194851626742,58.0246913580247,52.62206148282098,66.86390532544378
31,Monroe County (North & West) PUMA,86.56768821788634,91.37853107344633,82.72751871561287,82.85736887904437,88.62466972604645,75.24770642201834,50.744153082919915,96.71052631578947,28.79581151832461
32,Schenectady County--Schenectady City PUMA,85.99895351879306,93.02374893977947,81.09169011998223,85.52712252734841,92.02271032861157,77.1694214876033,93.71088861076345,86.21399176954732,100.0
