,puma,BABS_Home_Ownership_Total,BABS_Home_Ownership_M,BABS_Home_Ownership_F,HS_Home_Ownership_Total,HS_Home_Ownership_M,HS_Home_Ownership_F,HSINC_Home_Ownership_Total,HSINC_Home_Ownership_M,HSINC_Home_Ownership_F
0,Total Geo,65.52273749826166,65.43707786037345,65.59196789334703,61.94618152544287,63.59761313807787,60.16805691924421,38.64861205145566,43.36703651026791,33.16395480836802
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,39.243841596507636,38.36300841632298,40.00932482443104,23.158685849259182,26.894726894726894,18.245090728312206,14.023785926660059,0.0,26.597744360902254
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,96.4089184060721,95.20302751355221,97.45200389277183,80.87178298168328,80.779514603044,80.99096705632306,39.00804289544236,44.72222222222222,33.67875647668394
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,34.392318349753694,32.06088230506267,36.48342823769893,19.707448922807856,23.90194075587334,16.032811334824757,17.81491002570694,17.84012705134992,17.791104447776114
4,Madison & Cortland Counties PUMA,85.96994058021671,87.09510682288078,85.2017409716504,71.59239569126284,70.59347511412983,72.59114945727804,57.393258426966284,55.412226584408295,65.38461538461539
5,Ontario & Yates Counties PUMA,85.23678045515395,88.08716209271252,83.28042328042328,77.65258215962442,74.61193874361912,81.0839407477075,76.55190401669275,72.23855522889542,83.62009635237439
6,Monroe County (Central)--Greece & Gates Towns PUMA,81.78314230652197,79.62722149978326,83.67969494756912,74.23650975889782,77.90309369289899,71.16874901154515,48.842195540308744,69.9353448275862,34.9002849002849
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,96.80088987764182,96.82223487004363,96.78203301768205,94.66473359913013,93.21388261851015,96.1980020873714,77.10843373493977,100.0,49.501661129568106
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",85.84421641791045,83.66028999634459,87.19866999168745,76.4780373478491,79.0876633505494,73.3488507419261,54.401903525849015,62.306368330464714,46.411483253588514
9,NYC-Manhattan Community District 8--Upper East Side PUMA,32.564956352930594,38.508113344635504,28.17814127058613,17.579703637180064,0.0,26.430379746835442,42.69230769230769,0.0,100.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,92.64131008980453,97.95525619437095,88.47965335342879,82.51321675477837,82.1377434135166,83.00696667294295,59.350057012542756,21.226993865030675,92.43876464323749
11,Erie County (Northwest) PUMA,85.69770141629904,82.56582291348988,88.33133869037442,76.31983426891206,71.16594097726173,82.68369175627241,57.52840909090909,42.277992277992276,100.0
