,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,4882766,2654556,2228210,75637.43128239199,85595.9060856128,63773.50057579851,2332242,1148072,1184170,102608.97551626289,124018.90525942623,81851.70176326034,2364461,1373436,991025,52039.869851099254,57931.356691538596,43875.010114780154,186063,133048,53015,37431.79895519259,39620.90874721905,31937.944770348015
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,33785,18588,15197,82285.03294361403,93717.10716591349,68302.04974666053,13824,6934,6890,99884.23755787036,118560.3764061148,81088.83164005805,19449,11241,8208,70409.33405316468,79412.94706876612,58078.728070175435,512,413,99,58220.703125,65944.30992736078,26000.0
2,"Chenango, Delaware & Broome (East) Counties PUMA",30454,17345,13109,48402.360872135025,51391.27183626405,44447.62285452742,7082,3577,3505,61626.0378424174,69399.12272854347,53693.27760342368,21149,11837,9312,45243.8104874935,48195.58992988088,41491.63981958763,2223,1931,292,36324.13405308142,37622.863801139305,27735.616438356163
3,Cayuga & Onondaga (South) Counties PUMA,38881,22569,16312,57241.75988271907,65080.40334086579,46396.348884256986,12461,5981,6480,80519.66431265548,101167.31315833473,61462.01188271605,23532,14141,9391,47084.37145164032,53971.05742168164,36714.37610478117,2888,2447,441,39567.832409972296,41076.09317531672,31198.866213151927
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,23456,9651,13805,46127.02549454298,47848.80219666356,44923.340818544006,6020,1639,4381,56933.607973421924,65107.13849908481,53875.76352430952,15779,7379,8400,42918.01698459979,44050.303564168586,41923.357142857145,1657,633,1024,37424.140012070005,47442.33807266982,31231.25
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",38032,20643,17389,65300.18431846866,70720.83679697718,58865.166254528725,15363,6176,9187,79329.69367961987,91446.16904145078,71184.3413519103,20841,13182,7659,56044.923276234345,62788.242603550294,44438.912651782215,1828,1285,543,52911.531728665206,52485.6653696498,53919.33701657459
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",41853,24135,17718,57926.295964446996,60025.55355293143,55066.74173157241,17540,9657,7883,65995.81698973774,66488.89406648028,65391.77724216669,23046,13521,9525,52824.454786080016,56961.70660454108,46951.51181102362,1267,957,310,39013.614838200476,38092.215256008356,41858.06451612903
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",33314,18185,15129,48661.88917572192,54257.53566125928,41935.94355211845,9457,4101,5356,55529.464946600405,64942.47744452573,48322.07804331591,22256,12929,9327,47119.66912293314,52829.76378683579,39204.389407097675,1601,1155,446,29534.459712679574,32301.445887445887,22368.83408071749
8,Erie County (Northwest) PUMA,39193,20247,18946,53536.06452682877,57689.99219637477,49096.89142826982,17931,7927,10004,61424.59015113491,70559.69976031285,54186.084166333465,20592,11993,8599,47549.15311771562,49525.226548820145,44793.12931736249,670,327,343,26421.626865671642,45157.46177370031,8559.766763848396
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,58577,32083,26494,167598.0439080185,200738.9560826606,127465.94285498603,51332,27301,24031,183396.9983246318,226175.94696164975,134796.93687320544,6363,4059,2304,59446.094609460946,60029.07119980291,58419.053819444445,882,723,159,28345.124716553288,30180.35961272476,20000.0
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",53437,26087,27350,141091.98907124277,157770.15448307586,125184.00731261425,47989,21921,26068,149499.0064389756,176080.60854888006,127146.11017339266,5448,4166,1282,67038.32599118943,61422.70763322132,85286.89547581904,0,0,0,#DIV/0!,0.0,0.0
11,Saratoga County (South & Central) PUMA,40117,22807,17310,81044.62696612408,91700.48888499146,67004.86712882727,21800,11009,10791,96493.07293577981,114121.0073576165,78509.0186266333,17304,10931,6373,64911.27542764679,74272.7362546885,48854.45316177624,1013,867,146,24179.269496544915,26735.40945790081,9000.0
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,32113,16443,15670,89929.74306355682,111600.62318311744,67189.83994894703,17506,9323,8183,110480.97218096652,137365.850799099,79850.67481363803,14436,6949,7487,65362.561651426986,78302.95294286948,53352.03953519434,171,171,0,60000.0,60000.0,0.0
13,Columbia & Greene Counties PUMA,30089,16223,13866,53591.24902788395,56788.02644393762,49851.07017164287,8876,4011,4865,72354.78582694908,73922.42832211418,71062.32661870503,19711,11273,8438,47046.41332251027,52575.29787989,39659.933633562454,1502,939,563,28597.97603195739,34172.48136315229,19300.532859680283
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,31051,17130,13921,75724.152845319,85782.94746059545,63346.65469434667,12667,6320,6347,108763.62358885292,128807.40822784811,88805.10477390893,17750,10268,7482,52610.61690140845,60315.1217374367,42037.26009088479,634,542,92,62718.29652996845,66574.53874538746,40000.0
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,27850,17690,10160,144766.9202513465,175232.18275862068,91722.58031496064,19826,12168,7658,173394.4168768284,215241.0743754109,106903.14912509793,7783,5384,2399,74736.80071951689,87512.80089153047,46064.02667778241,241,138,103,51304.97925311203,69818.84057971014,26500.0
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,31355,15685,15670,62373.47679795886,65179.18756773988,59565.08028079132,14254,6088,8166,71511.33646695665,68102.53285151118,74052.70266960569,16213,8997,7216,56090.24394004811,65581.12004001334,44256.89966740576,888,600,288,30412.894144144146,29490.0,32335.590277777777
17,Putnam County PUMA,30135,16580,13555,80981.61241081798,89986.48250904704,69967.1715234231,16484,8271,8213,97445.81533608347,110935.01148591464,83861.35882138074,13399,8136,5263,61257.05425778043,69600.12291052114,48359.61808854266,252,173,79,52780.95238095238,47201.15606936416,65000.0
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,23477,14721,8756,147364.20658516846,180526.82005298554,91609.65737779808,17729,10528,7201,174694.21163066162,227786.04844224924,97072.92875989446,5457,3990,1467,63994.83232545354,62078.39598997494,69207.22563053851,291,203,88,45690.721649484534,57689.65517241379,18011.363636363636
