,puma,BABS_Poverty_Total,BABS_Poverty_M,BABS_Poverty_F,HS_Poverty_Total,HS_Poverty_M,HS_Poverty_F,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,6.079047112606957,5.446770857592998,6.590959736657156,20.0318434128436,16.474536950186973,23.870309685051943,50.1975699780434,44.08905053096507,57.40700119998452
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",9.223280423280423,10.640765439257756,8.118692574182859,27.818663526641153,14.480452674897117,39.08133347811923,41.661519456454606,25.554484088717455,70.36082474226805
2,Ulster County (East) PUMA,11.856033874382499,8.073246573764829,14.468660515431116,18.185547275586245,15.694899780055607,21.219167003639306,35.53719008264463,48.74079814025571,13.307240704500977
3,Albany County (East Central)--Albany City PUMA,10.003877471888329,12.23037831733484,7.860404435746901,36.877944125740406,27.051761464278684,45.731004521677455,77.29885057471265,64.23705722070845,91.8693009118541
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1.688473064834442,3.4055727554179565,0.0,21.22988214421493,20.210556470672493,22.03852053860576,31.672964616970113,21.09626900046062,62.70270270270271
5,Ontario & Yates Counties PUMA,3.231875574880843,4.228676998870984,2.54673721340388,18.986925417317654,19.495755081039363,18.40685124354763,32.85570638511815,40.040485829959515,21.087533156498676
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1.7918042548584419,0.0,3.1261805817907065,5.083683880784033,5.079315464562006,5.089538171536287,25.88575560375994,28.795298726738494,17.67955801104972
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,4.850635906536527,0.2825505918289424,8.301603784469828,14.682002706359945,5.0626841131739395,25.094549499443826,48.5373473445044,28.97142857142857,67.87125917560701
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",7.261612559625805,13.003355704697986,3.6455581553324783,18.13599172387849,14.184690744765255,22.873924553275977,54.87271280827367,47.24528301886792,63.37258200168209
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,8.699872286079183,7.605446695450016,9.63763991652438,29.66843368673735,22.854235563469853,36.254118109849045,71.38420585625555,82.10031347962382,45.447647951441574
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",25.540611814345993,19.371069182389938,28.370840546258897,34.90736019037906,33.91222717671908,35.67219817219817,82.57741632780731,80.11776251226694,84.20642142207201
11,Livingston & Wyoming Counties PUMA,3.989908428331153,8.098518054685869,0.6597868380984605,13.217975057148646,12.302170011421113,14.259213455354935,65.49935149156939,62.74298056155507,68.04792810783825
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,13.631425608611922,14.444810182137372,12.965789709975756,39.74706904038211,38.478171334431636,41.16161616161616,66.22837370242215,49.21020656136088,88.7459807073955
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,5.208019294543262,3.260437375745527,6.3971837824714735,18.060965283657918,11.341521773807624,25.663237682728752,42.39592183517417,58.723747980613894,24.2831541218638
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,8.923205925511844,10.918979221865849,6.918767507002801,26.959310483062737,26.998671049870605,26.923322888022,75.44757033248082,69.18671248568155,79.72602739726027
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,3.129662787227693,5.230141334744162,1.0827134123885984,9.966263705369693,0.06230529595015576,18.109631147540984,46.7515923566879,62.61510128913444,11.15702479338843
16,Monroe County (Central)--Rochester City (East) PUMA,6.395939086294416,9.185733512786003,3.573859768550034,41.363085971285244,31.357243319268633,51.05209397344229,69.9143601836912,57.21241631162508,78.66275413959337
17,Westchester County (Northwest) PUMA,5.378385218931916,1.7017828200972445,8.145724742153709,10.154789112819447,9.241391519872533,11.451917033312382,36.677115987460816,0.0,52.668810289389064
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,7.995907031135799,22.039473684210524,3.984213493704191,43.17931793179318,30.675850193715025,51.490871630515656,70.06917755572637,74.47013487475915,66.02772043644943
19,Onondaga County (Central)--Syracuse City PUMA,14.391453110816283,20.398167167009007,9.634634634634635,35.02189949285385,28.88949671772429,41.84729663906479,69.34043778801843,61.49747616376893,77.61989342806395
20,Westchester County (Northeast) PUMA,1.6156417466970872,1.0357653791130186,2.1168208121074237,10.965123478021601,5.095462434911976,18.28156390047906,35.77405857740586,9.486166007905137,65.33333333333333
21,Madison & Cortland Counties PUMA,4.613771408598392,4.34183321847002,4.799435360545818,21.124958273061086,17.110604459767558,25.143334261063178,38.20273496852616,40.931372549019606,27.48663101604278
22,Erie County (West Central)--Buffalo City (West) PUMA,12.527261624356626,14.493201483312731,11.08337116053866,31.939521737179778,25.004495594317568,38.84660159398227,59.8856598380181,37.749445676274945,76.56641604010025
23,Monroe County (Central)--Rochester City (West) PUMA,13.324360699865412,10.13028449880351,16.047144152311876,42.40181682916324,46.0786729079412,39.05104026343362,76.91463414634147,71.772956388341,83.36541105306571
24,Suffolk County (Central)--Islip Town (East) PUMA,3.7954102016166495,1.415041782729805,5.497569914747829,10.454421979898328,15.008308408109006,4.065647146587095,36.69628855201255,38.51203501094092,36.12637362637363
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,1.3704024572733717,1.0376027226695443,1.6707874428710572,7.054947787170562,5.194508009153318,9.26782798040283,0.0,0.0,0.0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",21.985981308411215,9.746251441753172,30.322073841319718,46.32508155824218,43.148387096774194,49.44817962704554,67.74239611595031,51.8056887184404,80.61435209086216
27,St. Lawrence County PUMA,4.568023833167826,3.4873949579831933,5.382301725502612,21.047871699023275,14.59361052384308,27.85555004955401,53.74405209115953,48.709122203098104,60.75494307968844
28,Columbia & Greene Counties PUMA,14.488394900294214,15.806499044258196,13.433011537555922,21.312393095941534,20.468087720375944,22.178130511463845,50.264900662251655,57.971014492753625,40.909090909090914
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,4.841440886699507,4.684193390851375,4.982479194042926,35.1617873651772,26.35290259101345,42.96716070909619,76.68987199640692,72.67281105990784,80.50810337275514
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",5.972401897369556,4.375497215592681,7.06630336058129,12.2396021048079,7.194354962417549,16.711993472939895,36.523929471032744,19.168173598553345,45.79710144927536
