,puma,BABS_Rent_Burden_Total,BABS_Rent_Burden_M,BABS_Rent_Burden_F,HS_Rent_Burden_Total,HS_Rent_Burden_M,HS_Rent_Burden_F,HSINC_Rent_Burden_Total,HSINC_Rent_Burden_M,HSINC_Rent_Burden_F
0,Total Geo,9.84421318443465,8.315007129094836,11.07631851451937,22.887462474174242,20.27607125810276,25.439307880383677,36.948503079788,31.71146279365814,42.08420813709357
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,8.783262886460909,7.320120392980862,10.070971611355457,14.121258633921718,15.034097954122752,13.225904530252356,0.0,0.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,31.428571428571427,14.925373134328357,60.526315789473685,29.010654490106546,35.42001070090958,20.55084745762712,30.76923076923077,0.0,54.6875
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,6.541368863790112,4.868056392336427,8.137463364174472,30.48016701461378,39.77628635346756,23.045267489711936,23.58937022206043,8.439201451905626,33.73860182370821
4,Madison & Cortland Counties PUMA,8.577194752774975,13.259668508287293,5.88235294117647,18.728557013118063,16.40776699029126,21.23949579831933,33.83702104695089,40.01276324186344,0.0
5,Ontario & Yates Counties PUMA,3.50826326471441,3.5454545454545454,3.4908471690080884,26.76001046846375,24.131981884839334,30.815307820299502,21.46829810901001,15.88502269288956,36.97478991596639
6,Monroe County (Central)--Greece & Gates Towns PUMA,2.1228417775261814,0.0,4.380841121495327,18.686006825938566,6.348733233979136,27.22210765106208,50.9639564124057,0.0,66.52078774617067
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",3.959355290819902,6.3915857605178,2.1013597033374536,24.166971805199562,19.59512578616352,28.15284441398218,77.38534528202425,74.03708987161198,79.34782608695652
9,NYC-Manhattan Community District 8--Upper East Side PUMA,6.341223848344956,5.192366257232768,7.066628208826074,27.93804177916726,22.516328635269854,31.75872093023256,#DIV/0!,#DIV/0!,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,0.0,24.756474221905442,27.45490981963928,20.828471411901983,90.04207573632539,100.0,0.0
11,Erie County (Northwest) PUMA,4.1558441558441555,0.0,9.377289377289378,19.827833572453372,21.32969798657718,16.575840145322434,0.0,0.0,#DIV/0!
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",18.42942598956345,12.429712932820362,22.956677087985707,16.972196761380996,9.484011627906977,22.403795466526095,16.99544764795144,0.0,22.672064777327936
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,11.888849806542384,2.272727272727273,17.02644360496492,25.027612105146897,23.09514902107495,26.56358410149668,34.34782608695652,38.69451697127938,30.175438596491226
14,Rockland County (North)--New City & Congers PUMA,26.343847179031542,68.67704280155642,13.81692573402418,12.801101169993117,0.0,43.76470588235294,79.61432506887053,100.0,0.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",13.351877607788595,19.985304922850844,2.0100502512562812,12.350299401197605,9.822309970384994,13.893911995177818,18.31081081081081,17.6056338028169,20.63953488372093
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,8.80931241984808,12.004504504504505,6.31911532385466,29.237925844848817,23.898560068772834,38.59186746987952,26.686567164179102,14.407988587731813,35.52361396303901
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,7.845605202433396,6.875349357182784,8.428475486903961,29.557713052858688,22.488809310653536,38.11795316565481,41.97247706422018,53.43511450381679,24.71264367816092
18,Tompkins County PUMA,16.469942355201756,15.0,18.003365114974763,37.92603335750544,24.49181953396133,50.70754716981132,15.421303656597773,19.207920792079207,0.0
19,Dutchess County (Southwest) PUMA,4.829931972789116,21.068249258160236,0.0,25.310787327897337,22.68041237113402,29.095354523227385,35.5206847360913,34.92063492063492,35.90342679127726
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,9.165585819282317,0.0,15.571061329416086,9.264058046125939,6.133651551312649,12.981859410430838,24.66734902763562,34.66666666666667,18.438538205980066
21,Westchester County (Northwest) PUMA,22.041625371655105,0.0,33.9334757400061,20.852697514649424,21.809425524595802,19.49069539666993,53.01681503461919,0.0,71.46666666666667
22,Albany County (Outside Albany City) PUMA,7.0974576271186445,5.371739976644609,8.195097796484278,10.889036324431913,10.501355013550135,11.260968475788106,21.199143468950748,0.0,43.278688524590166
23,Monroe County (South) PUMA,17.794524761611815,17.016893283889576,18.257668711656443,7.12471783295711,9.847740667976424,3.4482758620689653,29.362214199759322,36.0,26.07913669064748
24,Jefferson & Lewis Counties PUMA,6.917264096105407,9.52793417063664,4.803646563814866,12.788230301315604,7.806031933767002,20.200598275558683,34.427609427609426,33.97027600849257,34.72803347280335
25,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,0.0,0.0,13.397513036502207,15.770609318996415,10.803246571508536,11.994002998500749,0.0,27.11864406779661
26,Erie County (Central) PUMA,12.239347234814144,4.903943377148635,18.20049301561216,14.958396369137668,14.754825826492123,15.109573241061131,31.198615318044137,13.935574229691877,59.11664779161948
27,St. Lawrence County PUMA,3.9847161572052405,0.0,6.778087279480037,13.918819188191883,14.421252371916509,13.479103238306116,32.78070836473248,16.9811320754717,41.647058823529406
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",12.37667693271389,12.209877901220988,12.5273196900457,14.15528396836808,13.26923076923077,14.993006993006993,27.549271636675236,21.214099216710185,39.65087281795511
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,6.089508437270727,0.0,11.096256684491978,52.60029717682021,57.8838174273859,49.65277777777778,62.0,62.0,#DIV/0!
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,6.733803113167859,5.731244064577398,7.97784586377563,33.381024096385545,35.674412566532524,30.213376367222523,32.89085545722713,32.5261780104712,33.256730137885754
