,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,4229527,2193125,2036402,3557565,1974672,1582893,671962,218453,453509,2134730,1012811,1121919,1859134,933428,925706,275596,79383,196213,1961343,1090741,870602,1600633,970873,629760,360710,119868,240842,133454,89573,43881,97798,70371,27427,35656,19202,16454
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,52347,26902,25445,44507,23874,20633,7840,3028,4812,49188,24761,24427,42507,22782,19725,6681,1979,4702,3159,2141,1018,2000,1092,908,1159,1049,110,0,0,0,0,0,0,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,23364,12497,10867,19942,11863,8079,3422,634,2788,13661,6070,7591,11331,5663,5668,2330,407,1923,9082,6038,3044,8222,5811,2411,860,227,633,621,389,232,389,389,0,232,0,232
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,40275,20340,19935,35835,18297,17538,4440,2043,2397,36644,18063,18581,33450,16666,16784,3194,1397,1797,3308,2055,1253,2139,1486,653,1169,569,600,323,222,101,246,145,101,77,77,0
4,Madison & Cortland Counties PUMA,42788,22001,20787,37097,20013,17084,5691,1988,3703,12527,5137,7390,11324,4786,6538,1203,351,852,27746,14768,12978,23360,13182,10178,4386,1586,2800,2515,2096,419,2413,2045,368,102,51,51
5,Ontario & Yates Counties PUMA,51011,25217,25794,41715,22236,19479,9296,2981,6315,21096,8960,12136,17064,7485,9579,4032,1475,2557,28328,15082,13246,23386,13671,9715,4942,1411,3531,1587,1175,412,1265,1080,185,322,95,227
6,Monroe County (Central)--Greece & Gates Towns PUMA,42204,20886,21318,34873,18967,15906,7331,1919,5412,17651,8479,9172,14823,7631,7192,2828,848,1980,23426,11688,11738,18928,10622,8306,4498,1066,3432,1127,719,408,1122,714,408,5,5,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,26428,13069,13359,21074,11873,9201,5354,1196,4158,16391,7573,8818,13834,7034,6800,2557,539,2018,9591,5199,4392,6794,4542,2252,2797,657,2140,446,297,149,446,297,149,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",58893,31219,27674,47477,27134,20343,11416,4085,7331,18515,7096,11419,15354,6269,9085,3161,827,2334,38465,22989,15476,30803,19936,10867,7662,3053,4609,1913,1134,779,1320,929,391,593,205,388
9,NYC-Manhattan Community District 8--Upper East Side PUMA,65500,28190,37310,59973,27415,32558,5527,775,4752,60910,26131,34779,55383,25356,30027,5527,775,4752,4330,1910,2420,4330,1910,2420,0,0,0,260,149,111,260,149,111,0,0,0
