,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
0,Total Geo,5060239.0,2507431.0,2552808.0,3614498.0,1784912.0,1829586.0,1445741.0,722519.0,723222.0,2354566.0,1081791.0,1272775.0,1659439.0,750580.0,908859.0,695127.0,331211.0,363916.0,2479936.0,1294946.0,1184990.0,1827724.0,957165.0,870559.0,652212.0,337781.0,314431.0,225737.0,130694.0,95043.0,127335.0,77167.0,50168.0,98402.0,53527.0,44875.0
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",14742.0,8213.0,6529.0,2996.0,1346.0,1650.0,11746.0,6867.0,4879.0,12129.0,6392.0,5737.0,2206.0,958.0,1248.0,9923.0,5434.0,4489.0,2359.0,1706.0,653.0,790.0,388.0,402.0,1569.0,1318.0,251.0,254.0,115.0,139.0,0.0,0.0,0.0,254.0,115.0,139.0
2,Ulster County (East) PUMA,58526.0,29492.0,29034.0,42315.0,21685.0,20630.0,16211.0,7807.0,8404.0,19127.0,7854.0,11273.0,15100.0,6598.0,8502.0,4027.0,1256.0,2771.0,36220.0,19628.0,16592.0,25361.0,14028.0,11333.0,10859.0,5600.0,5259.0,3179.0,2010.0,1169.0,1854.0,1059.0,795.0,1325.0,951.0,374.0
3,Albany County (East Central)--Albany City PUMA,25679.0,14008.0,11671.0,14696.0,8081.0,6615.0,10983.0,5927.0,5056.0,14107.0,7121.0,6986.0,9343.0,4794.0,4549.0,4764.0,2327.0,2437.0,10349.0,5880.0,4469.0,4864.0,2798.0,2066.0,5485.0,3082.0,2403.0,1223.0,1007.0,216.0,489.0,489.0,0.0,734.0,518.0,216.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,44096.0,21169.0,22927.0,32127.0,15882.0,16245.0,11969.0,5287.0,6682.0,12149.0,6182.0,5967.0,10067.0,5051.0,5016.0,2082.0,1131.0,951.0,29196.0,12844.0,16352.0,20220.0,9192.0,11028.0,8976.0,3652.0,5324.0,2751.0,2143.0,608.0,1840.0,1639.0,201.0,911.0,504.0,407.0
5,Ontario & Yates Counties PUMA,59565.0,29162.0,30403.0,48812.0,23275.0,25537.0,10753.0,5887.0,4866.0,22521.0,9386.0,13135.0,19640.0,8263.0,11377.0,2881.0,1123.0,1758.0,34131.0,18104.0,16027.0,26708.0,13647.0,13061.0,7423.0,4457.0,2966.0,2913.0,1672.0,1241.0,2464.0,1365.0,1099.0,449.0,307.0,142.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,37478.0,18559.0,18919.0,34986.0,17544.0,17442.0,2492.0,1015.0,1477.0,16437.0,6403.0,10034.0,15621.0,6200.0,9421.0,816.0,203.0,613.0,19995.0,11280.0,8715.0,18519.0,10668.0,7851.0,1476.0,612.0,864.0,1046.0,876.0,170.0,846.0,676.0,170.0,200.0,200.0,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,32776.0,16412.0,16364.0,25681.0,13418.0,12263.0,7095.0,2994.0,4101.0,20488.0,10463.0,10025.0,17662.0,8971.0,8691.0,2826.0,1492.0,1334.0,11574.0,5668.0,5906.0,7693.0,4266.0,3427.0,3881.0,1402.0,2479.0,714.0,281.0,433.0,326.0,181.0,145.0,388.0,100.0,288.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",74014.0,36845.0,37169.0,58194.0,29710.0,28484.0,15820.0,7135.0,8685.0,20561.0,7843.0,12718.0,17942.0,6704.0,11238.0,2619.0,1139.0,1480.0,49420.0,27222.0,22198.0,37857.0,21678.0,16179.0,11563.0,5544.0,6019.0,4033.0,1780.0,2253.0,2395.0,1328.0,1067.0,1638.0,452.0,1186.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,53084.0,25661.0,27423.0,36553.0,17570.0,18983.0,16531.0,8091.0,8440.0,17938.0,8704.0,9234.0,14137.0,6851.0,7286.0,3801.0,1853.0,1948.0,32451.0,15302.0,17149.0,21494.0,10188.0,11306.0,10957.0,5114.0,5843.0,2695.0,1655.0,1040.0,922.0,531.0,391.0,1773.0,1124.0,649.0
