,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
0,Total Geo,1374157.0,684607.0,689550.0,1163675.0,589051.0,574624.0,210482.0,95556.0,114926.0,671100.0,319720.0,351380.0,613899.0,295660.0,318239.0,57201.0,24060.0,33141.0,611324.0,315225.0,296099.0,488190.0,258165.0,230025.0,123134.0,57060.0,66074.0,91733.0,49662.0,42071.0,61586.0,35226.0,26360.0,30147.0,14436.0,15711.0
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,34548.0,17960.0,16588.0,31025.0,16272.0,14753.0,3523.0,1688.0,1835.0,31768.0,15986.0,15782.0,29039.0,14783.0,14256.0,2729.0,1203.0,1526.0,2477.0,1671.0,806.0,1683.0,1186.0,497.0,794.0,485.0,309.0,303.0,303.0,0.0,303.0,303.0,0.0,0.0,0.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,3396.0,1918.0,1478.0,2531.0,1451.0,1080.0,865.0,467.0,398.0,570.0,304.0,266.0,339.0,234.0,105.0,231.0,70.0,161.0,2279.0,1299.0,980.0,1645.0,902.0,743.0,634.0,397.0,237.0,547.0,315.0,232.0,547.0,315.0,232.0,0.0,0.0,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,27312.0,13742.0,13570.0,26268.0,13404.0,12864.0,1044.0,338.0,706.0,24702.0,12208.0,12494.0,23989.0,12132.0,11857.0,713.0,76.0,637.0,2509.0,1534.0,975.0,2178.0,1272.0,906.0,331.0,262.0,69.0,101.0,0.0,101.0,101.0,0.0,101.0,0.0,0.0,0.0
4,Madison & Cortland Counties PUMA,13287.0,7020.0,6267.0,10800.0,5609.0,5191.0,2487.0,1411.0,1076.0,1925.0,695.0,1230.0,1755.0,599.0,1156.0,170.0,96.0,74.0,9509.0,4758.0,4751.0,7819.0,4070.0,3749.0,1690.0,688.0,1002.0,1853.0,1567.0,286.0,1226.0,940.0,286.0,627.0,627.0,0.0
5,Ontario & Yates Counties PUMA,10259.0,5627.0,4632.0,8088.0,4518.0,3570.0,2171.0,1109.0,1062.0,2837.0,1100.0,1737.0,2716.0,1061.0,1655.0,121.0,39.0,82.0,6973.0,4220.0,2753.0,5116.0,3255.0,1861.0,1857.0,965.0,892.0,449.0,307.0,142.0,256.0,202.0,54.0,193.0,105.0,88.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,9279.0,4721.0,4558.0,8570.0,4508.0,4062.0,709.0,213.0,496.0,3358.0,1821.0,1537.0,3283.0,1821.0,1462.0,75.0,0.0,75.0,5420.0,2621.0,2799.0,4786.0,2408.0,2378.0,634.0,213.0,421.0,501.0,279.0,222.0,501.0,279.0,222.0,0.0,0.0,0.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,1174.0,550.0,624.0,1174.0,550.0,624.0,0.0,0.0,0.0,453.0,69.0,384.0,453.0,69.0,384.0,0.0,0.0,0.0,650.0,481.0,169.0,650.0,481.0,169.0,0.0,0.0,0.0,71.0,0.0,71.0,71.0,0.0,71.0,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",13947.0,5938.0,8009.0,10341.0,4912.0,5429.0,3606.0,1026.0,2580.0,2438.0,1034.0,1404.0,2347.0,977.0,1370.0,91.0,57.0,34.0,10082.0,4627.0,5455.0,7565.0,3753.0,3812.0,2517.0,874.0,1643.0,1427.0,277.0,1150.0,429.0,182.0,247.0,998.0,95.0,903.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,46023.0,17640.0,28383.0,42912.0,16164.0,26748.0,3111.0,1476.0,1635.0,41297.0,15351.0,25946.0,38639.0,14328.0,24311.0,2658.0,1023.0,1635.0,4726.0,2289.0,2437.0,4273.0,1836.0,2437.0,453.0,453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
