,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
0,Total Geo,4138842,2156079,1982763,4009896,2082156,1927740,128946,73923,55023,2095064,999988,1095076,2047817,975369,1072448,47247,24619,22628,1914168,1068410,845758,1842678,1026775,815903,71490,41635,29855,129610,87681,41929,119401,80012,39389,10209,7669,2540
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,50866,26640,24226,48834,25417,23417,2032,1223,809,47462,24254,23208,45898,23499,22399,1564,755,809,3404,2386,1018,2936,1918,1018,468,468,0,0,0,0,0,0,0,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,23015,12381,10634,22572,12016,10556,443,365,78,13318,5835,7483,13168,5763,7405,150,72,78,9076,6157,2919,8783,5864,2919,293,293,0,621,389,232,621,389,232,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,39576,20169,19407,38654,19488,19166,922,681,241,36290,18037,18253,35789,17777,18012,501,260,241,3064,1910,1154,2643,1489,1154,421,421,0,222,222,0,222,222,0,0,0,0
4,Madison & Cortland Counties PUMA,42180,22109,20071,40578,21109,19469,1602,1000,602,12203,4995,7208,11948,4870,7078,255,125,130,27307,14848,12459,26297,14263,12034,1010,585,425,2670,2266,404,2333,1976,357,337,290,47
5,Ontario & Yates Counties PUMA,49425,24514,24911,48190,23518,24672,1235,996,239,20425,8675,11750,19856,8106,11750,569,569,0,27537,14721,12816,26921,14320,12601,616,401,215,1463,1118,345,1413,1092,321,50,26,24
6,Monroe County (Central)--Greece & Gates Towns PUMA,41778,20648,21130,40541,20300,20241,1237,348,889,17578,8406,9172,17296,8124,9172,282,282,0,23073,11523,11550,22118,11457,10661,955,66,889,1127,719,408,1127,719,408,0,0,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,26091,13136,12955,25854,13069,12785,237,67,170,16332,7640,8692,16186,7573,8613,146,67,79,9313,5199,4114,9222,5199,4023,91,0,91,446,297,149,446,297,149,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",56142,30103,26039,54706,29127,25579,1436,976,460,17853,6913,10940,17473,6629,10844,380,284,96,36334,22014,14320,35382,21426,13956,952,588,364,1955,1176,779,1851,1072,779,104,104,0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,63960,27914,36046,61886,27097,34789,2074,817,1257,59700,25855,33845,57626,25038,32588,2074,817,1257,4000,1910,2090,4000,1910,2090,0,0,0,260,149,111,260,149,111,0,0,0
