,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,3553145,1971420,1581725,3411219,1890475,1520744,141926,80945,60981,1857693,932717,924976,1824306,915328,908978,33387,17389,15998,1598011,968592,629419,1505676,916600,589076,92335,51992,40343,97441,70111,27330,81237,58547,22690,16204,11564,4640
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",10872,6391,4481,10418,6328,4090,454,63,391,8617,4779,3838,8365,4779,3586,252,0,252,2116,1612,504,2053,1549,504,63,63,0,139,0,139,0,0,0,139,0,139
2,Ulster County (East) PUMA,40407,22555,17852,38735,21573,17162,1672,982,690,14221,6512,7709,13727,6378,7349,494,134,360,24359,14743,9616,23476,14190,9286,883,553,330,1827,1300,527,1532,1005,527,295,295,0
3,Albany County (East Central)--Albany City PUMA,16158,10154,6004,15785,9945,5840,373,209,164,10276,5414,4862,10031,5333,4698,245,81,164,5682,4540,1142,5554,4412,1142,128,128,0,200,200,0,200,200,0,0,0,0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,28644,15262,13382,27120,14137,12983,1524,1125,399,10130,5798,4332,9899,5567,4332,231,231,0,17985,9119,8866,16803,8336,8467,1182,783,399,529,345,184,418,234,184,111,111,0
5,Ontario & Yates Counties PUMA,41715,22236,19479,39972,21133,18839,1743,1103,640,17064,7485,9579,16840,7485,9355,224,0,224,23386,13671,9715,21959,12660,9299,1427,1011,416,1265,1080,185,1173,988,185,92,92,0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,26917,15073,11844,26917,15073,11844,0,0,0,12576,5500,7076,12576,5500,7076,0,0,0,14023,9255,4768,14023,9255,4768,0,0,0,318,318,0,318,318,0,0,0,0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,23763,13782,9981,23389,13716,9673,374,66,308,15828,9544,6284,15750,9544,6206,78,0,78,7662,4060,3602,7366,3994,3372,296,66,230,273,178,95,273,178,95,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",47222,26943,20279,44097,24774,19323,3125,2169,956,15354,6269,9085,14571,5659,8912,783,610,173,30548,19745,10803,28281,18225,10056,2267,1520,747,1320,929,391,1245,890,355,75,39,36
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,36354,20722,15632,32364,18403,13961,3990,2319,1671,14029,7696,6333,13558,7310,6248,471,386,85,20992,11996,8996,18056,10587,7469,2936,1409,1527,1333,1030,303,750,506,244,583,524,59
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",948,484,464,740,473,267,208,11,197,322,234,88,322,234,88,0,0,0,418,239,179,418,239,179,0,0,0,208,11,197,0,0,0,208,11,197
11,Livingston & Wyoming Counties PUMA,32244,18446,13798,30916,17609,13307,1328,837,491,8232,3788,4444,8067,3623,4444,165,165,0,23149,14115,9034,22187,13551,8636,962,564,398,863,543,320,662,435,227,201,108,93
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,26276,12825,13451,26090,12825,13265,186,0,186,24860,12050,12810,24674,12050,12624,186,0,186,1416,775,641,1416,775,641,0,0,0,0,0,0,0,0,0,0,0,0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,15310,8685,6625,14845,8220,6625,465,465,0,6795,2790,4005,6795,2790,4005,0,0,0,7966,5660,2306,7501,5195,2306,465,465,0,549,235,314,549,235,314,0,0,0
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,26704,13786,12918,24661,13241,11420,2043,545,1498,10470,5566,4904,10255,5351,4904,215,215,0,15213,7992,7221,13721,7662,6059,1492,330,1162,1021,228,793,685,228,457,336,0,336
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,20999,12866,8133,20565,12504,8061,434,362,72,16918,10146,6772,16556,9784,6772,362,362,0,3838,2589,1249,3766,2589,1177,72,0,72,243,131,112,243,131,112,0,0,0
16,Monroe County (Central)--Rochester City (East) PUMA,17951,9661,8290,17295,9584,7711,656,77,579,12363,6326,6037,12363,6326,6037,0,0,0,5242,3335,1907,4932,3258,1674,310,77,233,346,0,346,0,0,0,346,0,346
17,Westchester County (Northwest) PUMA,29212,15712,13500,28951,15647,13304,261,65,196,19689,9783,9906,19612,9783,9829,77,0,77,8979,5670,3309,8795,5605,3190,184,65,119,544,259,285,544,259,285,0,0,0
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,926,406,520,926,406,520,0,0,0,79,79,0,79,79,0,0,0,0,847,327,520,847,327,520,0,0,0,0,0,0,0,0,0,0,0,0
19,Onondaga County (Central)--Syracuse City PUMA,20172,11736,8436,18698,10752,7946,1474,984,490,8333,3975,4358,7884,3711,4173,449,264,185,10766,6934,3832,10020,6493,3527,746,441,305,1073,827,246,794,548,246,279,279,0
20,Westchester County (Northeast) PUMA,32363,19890,12473,32293,19820,12473,70,70,0,24648,13999,10649,24578,13929,10649,70,70,0,7486,5662,1824,7486,5662,1824,0,0,0,229,229,0,229,229,0,0,0,0
21,Madison & Cortland Counties PUMA,37021,19952,17069,34629,18870,15759,2392,1082,1310,11324,4786,6538,11120,4677,6443,204,109,95,23343,13165,10178,21528,12518,9010,1815,647,1168,2354,2001,353,1981,1675,306,373,326,47
22,Erie County (West Central)--Buffalo City (West) PUMA,24130,13019,11111,22575,12261,10314,1555,758,797,15239,7243,7996,14809,7150,7659,430,93,337,8343,5228,3115,7351,4696,2655,992,532,460,548,548,0,415,415,0,133,133,0
23,Monroe County (Central)--Rochester City (West) PUMA,8537,4728,3809,7613,4014,3599,924,714,210,3087,1757,1330,3087,1757,1330,0,0,0,4941,2672,2269,4227,1958,2269,714,714,0,509,299,210,299,299,0,210,0,210
24,Suffolk County (Central)--Islip Town (East) PUMA,30289,16689,13600,29411,16011,13400,878,678,200,14593,6057,8536,14266,5930,8336,327,127,200,15518,10509,5009,14967,9958,5009,551,551,0,178,123,55,178,123,55,0,0,0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,26948,15611,11337,26948,15611,11337,0,0,0,17925,10077,7848,17925,10077,7848,0,0,0,8512,5208,3304,8512,5208,3304,0,0,0,511,326,185,511,326,185,0,0,0
