,puma,BABS_Home_Ownership_Total,BABS_Home_Ownership_M,BABS_Home_Ownership_F,HS_Home_Ownership_Total,HS_Home_Ownership_M,HS_Home_Ownership_F,HSINC_Home_Ownership_Total,HSINC_Home_Ownership_M,HSINC_Home_Ownership_F
0,Total Geo,70.47748926978475,69.38308786077903,71.40767221229204,73.70045033420217,73.91543740047848,73.46551447691542,56.40856394831153,59.04402650465974,52.78452910787749
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,39.5763778665645,37.93422709428931,41.170759771313506,30.59643687064291,29.24812030075188,33.55317394888706,0.0,0.0,#DIV/0!
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,96.16605142154006,95.46674619743514,96.70291929021178,80.43163012880662,80.98653395784542,79.65651196074423,29.23673997412678,19.02313624678663,39.58333333333333
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,35.025939317717345,32.809086937527304,37.07061549309963,31.69071603593793,30.05015959872321,34.12162162162162,73.28042328042328,100.0,0.0
4,Madison & Cortland Counties PUMA,86.04751001717229,87.07128748428802,85.36933507791127,72.15675138435326,71.9545767377839,72.35502559199055,57.036029911624745,54.94474355341457,65.38461538461539
5,Ontario & Yates Counties PUMA,87.20749522667732,88.03537183038569,86.61591168633423,78.25144296973427,75.38113124171454,81.49372933175266,84.5863371095091,81.63875598086125,88.55761482675261
6,Monroe County (Central)--Greece & Gates Towns PUMA,81.78959710083137,79.22192749778957,84.18073281185673,78.85490528098211,79.5078332840674,78.25852176847789,64.08602150537635,67.70833333333334,58.19209039548022
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,97.43560713274837,99.11231184870705,96.11807521229277,94.77113667444293,92.36144195648721,97.24486468862081,87.82161234991423,100.0,67.72727272727272
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",87.26229269004426,85.47749585617748,88.36295014939456,76.60259004451639,79.63411946219969,72.88494458960267,59.38507314654103,74.6067415730337,47.35907678650688
9,NYC-Manhattan Community District 8--Upper East Side PUMA,35.79445834769447,42.2748643761302,31.20953916225276,19.64542405366555,0.0,31.55464340687532,42.69230769230769,0.0,100.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,95.02344482650828,97.80730039984522,92.4047561271536,91.09985528219971,91.90459610027855,90.09954555291063,91.94097616345063,100.0,89.97175141242938
11,Erie County (Northwest) PUMA,89.08747889981133,88.1154879140555,89.86257362127432,80.74534161490683,79.58536069388619,82.05659625348744,89.80044345898004,82.64150943396227,100.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",70.03298925188889,67.60426770126091,71.93248625071116,47.9930862300749,37.52317389692251,59.24302788844622,39.260969976905315,50.74626865671642,0.0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,29.900332225913623,20.74468085106383,34.05797101449276,20.728744939271255,17.98469387755102,25.49889135254989,78.8679245283019,100.0,70.98445595854922
14,Rockland County (North)--New City & Congers PUMA,92.26986322422007,94.14758269720102,90.89456869009584,91.01063829787233,86.30050505050505,95.82616179001721,79.11040508339953,73.59437751004016,100.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",84.10995880096604,77.72453238522182,89.53870416611906,81.37830858618463,85.91961498439126,76.90335811330428,65.91271105447595,64.00594942984631,69.34046345811052
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,41.33276010318143,44.21052631578947,39.277818717759764,38.031199569661105,40.672538030424334,32.622950819672134,51.162790697674424,67.97752808988764,0.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,55.91908531222516,66.07329842931937,45.60283687943262,31.213296398891966,29.13142149783371,33.62853039731929,28.321678321678323,29.891304347826086,26.85810810810811
18,Tompkins County PUMA,68.82279646784765,61.39581506076933,74.47986256919259,72.6533523537803,75.8712015611932,69.28133216476775,65.62099871959028,57.64102564102564,78.87563884156728
19,Dutchess County (Southwest) PUMA,83.69791897768116,90.52432090966519,78.72536237441523,72.72460555483113,70.8531341932564,75.26923076923076,62.81690140845071,70.58125741399762,54.14181577203446
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,54.40677966101695,55.97122302158274,52.81173594132029,46.92749778956676,43.865842894969106,50.0,44.71830985915493,100.0,32.61802575107296
21,Westchester County (Northwest) PUMA,85.32478859353077,87.38341968911917,83.71306875802853,81.56859941374132,79.20754716981132,84.67782010932582,82.76220145379024,100.0,69.59706959706959
22,Albany County (Outside Albany City) PUMA,82.3398993775049,82.62023217247098,82.12971252362479,76.382749970135,78.78957429943581,73.85339082712662,50.983836964160226,58.861885002963845,39.51682484900776
23,Monroe County (South) PUMA,85.3896103896104,87.57452499024907,83.70846730975349,75.32230004014811,72.09243908565686,79.00515562344854,44.72984942426926,62.8992628992629,34.48753462603878
24,Jefferson & Lewis Counties PUMA,70.018443378827,66.64481232584822,72.77971558894554,72.30666070630308,71.00150201075634,73.67911550415245,66.81792399319342,78.24013870827915,45.20098441345365
25,"Chenango, Delaware & Broome (East) Counties PUMA",83.9678463771352,91.43135345666991,77.6448752320066,76.92059960182691,78.15902536637043,75.69472764346054,83.83308869784022,85.69439610163592,81.0126582278481
26,Erie County (Central) PUMA,81.14653875094055,81.26304801670146,81.05100992810681,77.55746157182094,83.00230493845324,72.29931328439498,36.33972190905674,34.71856917411888,40.39473684210526
27,St. Lawrence County PUMA,83.96960885470406,85.44711951848667,82.82576135796306,79.64973403428003,80.6695992179863,78.59179922682046,66.16915422885572,80.43684710351377,46.2962962962963
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",18.187814329293428,14.987484355444305,21.75352971936552,33.48876642645189,22.743259085580306,61.56202143950995,0.0,0.0,0.0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,95.035590436211,96.8296111197876,93.89077137731712,92.61815453863466,94.57446808510637,90.08605851979345,80.87954110898661,77.1689497716895,100.0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,17.95134940226888,15.27180783817952,21.206536429536797,23.628407943453382,21.452288147827343,26.669356465604192,4.074241738343141,4.12324422292705,4.025327905924921
