,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,3557565,1974672,1582893,87228.25005642905,98634.89371399402,72998.36853912425,1859134,933428,925706,114658.47741260179,137633.15115252597,91492.15488718881,1600633,970873,629760,57871.55132750606,64852.35266198566,47109.56019753557,97798,70371,27427,46254.32882063028,47427.60000568416,43244.00080212929
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,44507,23874,20633,192214.26067809557,226484.46217642623,152560.94848058934,42507,22782,19725,196952.77718963937,231988.4404354315,156487.25221799748,2000,1092,908,91504.2,111656.95970695971,67267.62114537445,0,0,0,#DIV/0!,0.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,19942,11863,8079,123035.52301674857,142095.10326224394,95048.91570738953,11331,5663,5668,150884.46739034506,189809.50203072577,111993.77028934368,8222,5811,2411,88300.23108732668,102028.05024952676,55213.39693073413,389,389,0,46010.28277634962,46010.28277634962,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,35835,18297,17538,154579.00376726664,190303.5497622561,117308.3903523777,33450,16666,16784,158284.22122571,196847.77691107645,119991.7868207817,2139,1486,653,90310.14492753622,101325.0336473755,65244.10413476263,246,145,101,209585.36585365853,350000.0,8000.0
4,Madison & Cortland Counties PUMA,37097,20013,17084,54899.51990727013,57875.879178533956,51412.87286349801,11324,4786,6538,73008.23825503356,83117.95236105307,65607.64301009483,23360,13182,10178,46368.97688356164,48975.629646487636,42992.9799567695,2413,2045,368,52500.16576875259,56171.491442542785,32098.369565217392
5,Ontario & Yates Counties PUMA,41715,22236,19479,66493.60038355508,73651.18456556935,58322.95292366138,17064,7485,9579,90169.78023909985,104399.0714762859,79051.05752166196,23386,13671,9715,49235.86846831437,56891.98302977105,38462.14307771487,1265,1080,185,66160.78260869565,72694.80555555556,28016.216216216217
6,Monroe County (Central)--Greece & Gates Towns PUMA,34873,18967,15906,61958.49941215267,69165.9355723098,53364.04187099208,14823,7631,7192,80759.64986844768,92584.82243480539,68212.66824249165,18928,10622,8306,48457.17244294167,54229.01713424967,41075.93787623405,1122,714,408,41337.878787878784,41085.294117647056,41779.901960784315
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,21074,11873,9201,113000.27806776122,133398.96908953087,86677.74154983154,13834,7034,6800,132375.27757698426,163897.34006255332,99768.48529411765,6794,4542,2252,76261.59405357669,90232.73227653017,48083.5701598579,446,297,149,71674.88789237668,71228.95622895623,72563.75838926174
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",47477,27134,20343,58185.70613138994,62069.74460086976,53005.07889691786,15354,6269,9085,79554.29204116191,92172.11836018504,70847.5057787562,30803,19936,10867,48025.37317793722,53580.00300963082,37835.15505659336,1320,929,391,46727.72727272727,41122.174381054894,60046.291560102305
9,NYC-Manhattan Community District 8--Upper East Side PUMA,59973,27415,32558,164848.23370516734,209626.43990516142,127143.38319307083,55383,25356,30027,170350.13939295453,216797.14466004103,131128.43007959504,4330,1910,2420,101254.81524249422,127665.15706806282,80410.28925619835,260,149,111,51953.846153846156,40000.0,68000.0
