,puma,BABS_Poverty_Total,BABS_Poverty_M,BABS_Poverty_F,HS_Poverty_Total,HS_Poverty_M,HS_Poverty_F,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,5.0290036932302655,4.78297043365328,5.238511155026752,16.04064992406005,13.283373054718925,19.064319718083716,41.46790843239696,37.35322667625382,47.26865414440806
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",9.506142303569955,8.839173967459324,10.249259194701063,5.867768595041322,6.394009216589862,4.5321637426900585,100.0,100.0,100.0
2,Ulster County (East) PUMA,10.293505412156536,7.321110262286733,12.348178137651821,14.509467360403368,11.713633657471721,17.79918272037361,36.63663663663664,47.01527070800555,17.4508126603935
3,Albany County (East Central)--Albany City PUMA,9.824909619337916,15.208538126667603,4.337245920412253,22.250883729817524,18.75625208402801,26.941150145446407,85.79545454545455,82.50218722659667,100.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1.9013910609926743,3.7366548042704624,0.0,20.347470618293308,19.080531179622582,21.337540963709188,28.76074498567335,21.09626900046062,55.55555555555556
5,Ontario & Yates Counties PUMA,2.2956351849385017,1.662049861495845,2.7483821850019035,17.278919485358326,17.744311671304633,16.746739876458477,29.702322538436377,33.50369108461101,24.537037037037038
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,2.0137494676644154,0.0,3.2987841339445887,5.0890458660829765,4.756000354264459,5.515832482124617,31.130434782608695,32.096069868995635,27.350427350427353
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,1.9893705202593985,0.35291873330789775,3.7007481296758105,5.77934960752178,2.9365218920344645,8.516762614290553,31.98433420365535,0.0,50.51546391752577
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",7.469320707314717,13.32080200501253,3.797766944488127,17.912194334597693,14.329659061779033,22.30758862380375,50.03397508493771,35.90974555928948,62.650085763293305
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,6.976873471203024,7.847840986977382,6.151180420186268,26.54785681364265,21.167835801506886,31.377922910956908,64.06509465293922,71.02993404363266,50.86538461538461
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",35.34136546184739,42.926829268292686,0.0,21.49390243902439,32.86713286713287,0.0,100.0,100.0,100.0
11,Livingston & Wyoming Counties PUMA,2.749372950028941,5.460599334073252,0.66541545811295,13.087686014110393,11.957181482094576,14.400102491832682,66.14819004524887,65.35836177474403,66.92913385826772
