,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
0,Total Geo,2.255157837660329,2.461929543154518,2.066340601017646,3.7347819000213147,3.8969122340674462,3.5299695657623102,7.876707044209552,8.746478712605924,6.057859715232894
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,3.2952677931819143,3.1128885956955554,3.4858669424336437,13.748531139835487,19.61441743503772,0.0,#DIV/0!,#DIV/0!,#DIV/0!
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1.1262952395254542,1.2339331619537275,1.0423626887611919,3.2282944028206257,4.75881110930648,0.0,0.0,0.0,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,1.380545604849821,1.4414813993457893,1.3203309045088478,13.740208877284596,22.041884816753925,0.0,0.0,0.0,#DIV/0!
4,Madison & Cortland Counties PUMA,2.0896500860444154,2.5025025025025025,1.8035516093229744,3.6986853187827293,3.9399245689655173,3.411188698932498,12.621722846441946,12.797881729920565,11.633663366336634
5,Ontario & Yates Counties PUMA,2.785801713586291,6.5590778097982705,0.0,2.236990231325126,2.723999728279329,1.6775905118601746,3.417634996582365,2.3255813953488373,6.956521739130435
6,Monroe County (Central)--Greece & Gates Towns PUMA,1.6042780748663104,3.354746609564597,0.0,4.139036969618169,0.5727675084613382,7.696969696969696,0.0,0.0,0.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.8939505265735979,0.8769633507853403,0.9088817303267372,0.9771287447653817,0.0,2.2119591638308216,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",2.128493810564051,4.108201938376971,0.8775137111517367,2.6201354103594428,2.6710275279367672,2.541899441340782,5.319693094629156,8.843537414965986,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,3.474036850921273,3.159930380970798,3.713990249667602,0.0,0.0,0.0,0.0,0.0,0.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,1.8033014287695937,2.9921700223713645,0.63308560418387,3.717056190949776,1.8544626396269384,6.218144750254842,0.0,0.0,0.0
11,Erie County (Northwest) PUMA,3.904364992322878,6.574141709276844,1.7162243065256437,3.2922011412963954,3.8292682926829267,2.486895038400585,0.0,0.0,0.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",7.3177972391272075,9.336397586900317,5.159705159705159,2.5792188651436994,4.400670578373847,0.0,19.1044776119403,19.1044776119403,#DIV/0!
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Rockland County (North)--New City & Congers PUMA,2.212051868802441,1.324252743094968,2.9325963457699986,3.4298678766849062,1.6953378209922714,5.427914991384262,0.0,0.0,0.0
