,puma,BABS_Working_Poor_Total,BABS_Working_Poor_M,BABS_Working_Poor_F,HS_Working_Poor_Total,HS_Working_Poor_M,HS_Working_Poor_F,HSINC_Working_Poor_Total,HSINC_Working_Poor_M,HSINC_Working_Poor_F
0,Total Geo,1.79722914388976,1.8643382719517283,1.729558388541973,5.778120425954515,5.367791598526521,6.409561834008824,16.629550189345345,16.49384547360614,16.977680204903038
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",2.924451665312754,0.0,6.565919749869724,2.977315689981096,3.9081885856079404,0.0,100.0,#DIV/0!,100.0
2,Ulster County (East) PUMA,3.473736024189579,2.057739557739558,4.669866389933844,3.624943552690997,3.7509326460014925,3.431780366056572,16.146688560481664,22.692307692307693,0.0
3,Albany County (East Central)--Albany City PUMA,2.3841961852861036,1.4961211673439232,3.37309749074455,2.2527279127067934,2.8193832599118944,0.0,0.0,0.0,#DIV/0!
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,2.28035538005923,3.9841324594687824,0.0,6.572143452877397,8.58646781445334,4.500338371306113,20.982986767485823,32.17391304347826,0.0
5,Ontario & Yates Counties PUMA,1.3127051101734646,0.0,2.3384486898423633,6.101941332421107,7.395216150976519,4.282038085434895,7.2727272727272725,8.518518518518519,0.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.4927975739196361,0.0,1.2412476129853598,3.86322109109893,1.625615763546798,6.385341476957246,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",5.0996483001172335,9.730419524645079,1.9042377545404512,7.421107764829121,7.6981514307419605,6.914745903915579,5.681818181818182,4.198062432723358,9.207161125319693
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,3.357331242426403,5.015592515592516,1.342175903994947,13.986280487804878,11.745581860620206,16.974210760337925,43.735933983495876,50.873786407766985,19.471947194719473
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0
11,Livingston & Wyoming Counties PUMA,2.0043731778425657,4.355860612460401,0.0,4.155687070715797,3.9957492029755577,4.405578924064645,23.290845886442643,19.88950276243094,29.062500000000004
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.748189863234111,0.0,1.4519906323185012,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.0,0.0,0.0,5.83730856138589,8.215547703180212,0.0,0.0,0.0,0.0
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,2.053486150907354,3.8627380524613724,0.0,9.807401564451455,4.129129129129129,16.091954022988507,32.90891283055827,0.0,42.37074401008827
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,2.139732828939591,3.5679085353834026,0.0,1.8759770713913497,0.0,5.764611689351481,0.0,0.0,0.0
16,Monroe County (Central)--Rochester City (East) PUMA,0.0,0.0,0.0,5.9137733689431515,2.3088455772113945,12.21814368117462,100.0,#DIV/0!,100.0
17,Westchester County (Northwest) PUMA,0.3910813144395348,0.0,0.7773066828184938,2.049225971711772,1.1463844797178129,3.5962526443034153,0.0,0.0,0.0
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.0,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
19,Onondaga County (Central)--Syracuse City PUMA,5.388215528621145,6.6415094339622645,4.245066544286369,6.929221623629946,6.3599653879434666,7.95929018789144,26.001863932898416,33.736396614268436,0.0
20,Westchester County (Northeast) PUMA,0.2839987017202207,0.5000357168369168,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
21,Madison & Cortland Counties PUMA,1.8014835747085833,2.277475971583786,1.453043744264301,7.775350212055006,4.914546145081656,11.475731970917666,15.84536958368734,16.291854072963517,13.314447592067987
22,Erie County (West Central)--Buffalo City (West) PUMA,2.821707461119496,1.2839983432279443,4.214607303651826,11.890207359463023,10.175975516449885,14.767255216693421,24.27007299270073,24.27007299270073,#DIV/0!
23,Monroe County (Central)--Rochester City (West) PUMA,0.0,0.0,0.0,14.450516089860352,26.721556886227543,0.0,41.2573673870334,0.0,100.0
24,Suffolk County (Central)--Islip Town (East) PUMA,2.2408003837456314,2.0967475648010563,2.343017806935333,3.5507152983631913,5.243124940527167,0.0,0.0,0.0,0.0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
27,St. Lawrence County PUMA,1.950730130420243,3.0219088390833546,1.0999999999999999,9.690971898048735,6.482694827719109,14.617114451414368,46.08096468561585,43.06864064602961,51.43540669856459
28,Columbia & Greene Counties PUMA,6.702821794763156,5.381259089964678,7.613050944476245,8.448694917045335,11.276146950254878,4.186539480657127,0.0,0.0,0.0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.6323777403035413,0.563090336643255,0.7009345794392523,0.0,0.0,0.0,41.05691056910569,0.0,100.0
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
31,Monroe County (North & West) PUMA,3.481564524165421,0.903225806451613,5.887310378039971,4.876969864528615,3.8035168195718656,6.350872588899096,0.0,0.0,0.0
32,Schenectady County--Schenectady City PUMA,0.6339320469332147,0.0,1.1625535386498063,5.375902073627478,2.829268292682927,9.335978527249388,0.0,0.0,0.0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",2.7414176339836995,1.763322884012539,4.408817635270541,32.610267534345624,34.02537485582468,27.485380116959064,59.0465872156013,59.0465872156013,#DIV/0!
34,Niagara County (North & East) PUMA,3.808548281962939,3.16651904340124,4.274465691788527,6.702338668757784,5.086571758368604,9.120221096269,23.96039603960396,55.8252427184466,2.0066889632107023
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.5309063329541145,1.261488556496666,0.0,1.2250161186331399,1.5938657706556387,0.8014247551202136,0.0,0.0,0.0
36,Suffolk County (East) PUMA,2.67580452920143,3.3039413576968024,1.87321840640695,2.766205632394601,1.6826623457559517,4.9509927117366175,34.46601941747573,34.46601941747573,#DIV/0!
37,Warren & Washington Counties PUMA,1.2635242490731633,2.672,0.0,6.831020012911555,6.736613603473226,6.950018241517694,35.0383631713555,40.80505130228887,10.437710437710438
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,1.5529879488135172,0.0,2.8558373315055974,5.768554344002814,8.493008803728639,0.0,0.0,0.0,#DIV/0!
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1.6361416361416363,3.0565693430656937,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
40,Westchester County (Central)--White Plains City PUMA,4.391191709844559,0.8683068017366137,9.002093510118632,1.7967599410898378,0.0,4.417089065894279,#DIV/0!,#DIV/0!,#DIV/0!
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",10.227272727272728,62.5,0.0,10.970464135021098,26.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
42,Erie County (North Central) PUMA,2.352115148323679,3.7030474840538625,1.026086956521739,0.984312519224854,1.6210739614994936,0.0,0.0,0.0,0.0
43,Chautauqua County PUMA,5.995180722891566,0.5668192718552431,10.297166551485832,11.369290918784431,10.776434411908589,12.403951701427003,28.679750223015166,35.14450867052023,6.8359375
44,Dutchess County (Southwest) PUMA,1.024880752868377,2.1641486320947325,0.0,0.9965932780800326,0.33036263060848187,2.3004059539918806,0.0,0.0,0.0
45,Westchester County (Southeast) PUMA,0.0,0.0,0.0,2.268385864374403,0.0,6.449422946367957,0.0,0.0,0.0
46,Rockland County (North)--New City & Congers PUMA,0.0,0.0,0.0,2.903124013884506,2.3665382498624106,3.6242603550295858,0.0,0.0,#DIV/0!
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,1.1217948717948718,1.906318082788671,0.0,4.981178324433161,7.321396915440524,2.698028363887928,0.0,0.0,0.0
48,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,0.0,1.1214658031906493,1.771899176441228,0.0,0.0,0.0,0.0
49,Erie County (West Central)--Buffalo City (East) PUMA,2.904479443649008,6.01440067767895,0.0,11.27955758962624,5.187319884726225,20.249882131070247,51.20226308345121,31.698973774230332,83.05400372439479
50,Wayne & Seneca Counties PUMA,0.18307567127746135,0.0,0.3591380686352753,8.640392645227456,6.030511516601854,12.760933219986775,24.397031539888683,27.109515260323157,15.051546391752577
51,Monroe County (South) PUMA,1.7085294795404418,2.5243607350729187,0.8816120906801008,3.0437853107344632,3.7970314118053157,1.846772718961419,14.082503556187767,24.324324324324326,0.0
52,Tompkins County PUMA,2.4989616502838157,0.0,4.714024549490729,14.23494983277592,10.694288913773796,18.741092636579573,18.499353169469597,12.688821752265861,53.153153153153156
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,0.0,0.0,0.0,2.4383848977451494,1.4002036659877801,4.117485588800439,50.32211882605584,50.78534031413613,48.20717131474104
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",5.641073775107941,2.7875932469572047,8.255395683453237,7.882375046974821,5.739827888712507,10.634188217619917,23.08157099697885,30.4140127388535,0.0
55,NYC-Manhattan Community District 8--Upper East Side PUMA,0.9770986851611039,1.3847246331071486,0.6329113924050633,4.780600461893765,0.0,8.553719008264462,0.0,0.0,0.0
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",1.5524135004132325,1.3845428436709675,1.7350746268656716,5.529157667386609,0.0,15.458937198067632,0.0,0.0,0.0
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",7.521367521367521,6.8349647947793235,8.007788730680296,0.0,0.0,0.0,60.854092526690394,#DIV/0!,60.854092526690394
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,2.1585636473673593,3.0427631578947367,1.306930693069307,2.728544776119403,0.0,8.125,21.62162162162162,0.0,100.0
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",0.0,0.0,0.0,0.0,0.0,0.0,54.83870967741935,54.83870967741935,#DIV/0!
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,2.631578947368421,0.0,7.227722772277227,0.0,0.0,0.0,0.0,0.0,#DIV/0!
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",1.1963589076723018,2.318548387096774,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
62,Saratoga County (South & Central) PUMA,1.0936804077794824,1.592266135911288,0.5488815244407622,2.6283767339985395,1.781435566204813,3.8174637999122423,0.0,0.0,0.0
63,Cattaraugus & Allegany Counties PUMA,2.863202545068929,3.6354823073194376,2.1325384086218757,10.978184377199156,10.471392587261604,11.664392905866302,25.894854586129757,25.812274368231048,26.984126984126984
64,Genesee & Orleans Counties PUMA,1.8980215538040857,0.0,3.252480705622933,5.625204850868568,2.2752192982456143,10.605134474327627,32.39719157472417,35.967926689576174,7.258064516129033
65,Cayuga & Onondaga (South) Counties PUMA,1.5349389416553596,0.7925325818950335,2.2244030094864247,4.838387869114126,5.247909941230031,4.217396761641772,37.663551401869164,30.407523510971785,40.74567243675099
