,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_Ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_Ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_Ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_Ownership_HS_grade,Overall_HS_grade
0,Total Geo,-0.23151058207276642,0.01616334832370088,0.19318670118609893,0.11615949532527119,0.13161774489026754,-0.1860710425943452,-0.22786908129090078,-0.02690334517609627,-0.1875541604727481,0.13364600056964385,0.1677562861208761,0.16010140849889248,0.2019947014556544,-0.10524023679237877,-0.12147783466548023,0.03560373781635139,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",-0.16600629865811825,0.2216858287183041,0.1453185886946828,0.1032987289836077,0.2058838575799618,-0.4600066183548068,-0.39693474290560415,-0.049537236563138964,#DIV/0!,0.054640303807838964,0.5883109777437407,0.1997774101911332,0.6325416627574928,2.93028455312987,0.2730979719392418,#DIV/0!,C,C,C,C,C,C-,C-,C,#DIV!0,C,B-,C,B-,B-,A,#DIV!0
2,Ulster County (East) PUMA,0.6281165546507005,-1.9277553350593686,-0.3234916636110793,-0.18340976489190206,#DIV/0!,4.4367175654334785,5.2538113084493805,#DIV/0!,0.7322121030548967,0.7362853022665931,1.1043973660103048,0.6212025689114916,0.9590922053550064,0.1113169426376454,2.8839083394265588,1.0212021182374997,B-,E,C-,C,#DIV!0,A,A,#DIV!0,B-,B-,B,B-,A,B,C,B
3,Albany County (East Central)--Albany City PUMA,#DIV/0!,-0.29360040891323413,0.14509440866932258,0.5602332695542469,0.29855144082379464,-1.3229414630038359,0.5446427499977182,#DIV/0!,#DIV/0!,0.5570405189269815,0.6040093886668542,#DIV/0!,0.9140647653087243,-0.5512457471254523,0.499183596476039,#DIV/0!,#DIV!0,C-,C,B-,B-,D-,B-,#DIV!0,#DIV!0,B-,B-,#DIV!0,B-,B,C-,#DIV!0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,0.345645199862727,#DIV/0!,#DIV/0!,#DIV/0!,0.9630244674030835,-0.08159203044810648,#DIV/0!,#DIV/0!,-2.6335409515971433,0.37364500611763424,#DIV/0!,#DIV/0!,-1.597088731241979,-0.9993980417336416,#DIV/0!,#DIV!0,B-,#DIV!0,#DIV!0,#DIV!0,B,C,#DIV!0,#DIV!0,E,B-,#DIV!0,D,#DIV!0,D-,#DIV!0
5,Ontario & Yates Counties PUMA,#DIV/0!,-1.7508708374671154,#DIV/0!,#DIV/0!,#DIV/0!,-0.6046457091029642,0.4218172977688124,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,E,#DIV!0,#DIV!0,#DIV!0,C-,B-,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,#DIV/0!,-1.5539171026140477,0.5783377904858501,0.5602332695542469,#DIV/0!,-0.3293430960036868,-0.01530925031829724,#DIV/0!,#DIV/0!,-0.23835792788331883,-0.6358498833781467,-0.1154092994181221,#DIV/0!,0.11203995861286713,-0.6764223529420883,#DIV/0!,#DIV!0,D-,B-,B-,#DIV!0,C-,C,#DIV!0,#DIV!0,C,C-,C,C-,#DIV!0,C,#DIV!0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.2830298633615044,-0.6539731456659448,0.4286033813585015,0.5602332695542469,0.2997295128929666,-0.7305193428285285,-0.370845155852672,-0.026248802454275133,#DIV/0!,-0.4454998164549413,0.40722640524508025,0.08606848102342396,0.6556037624369137,-0.2516535270512604,-0.11844260778891073,#DIV/0!,B-,C-,B-,B-,B-,C-,C-,C,#DIV!0,C-,B-,C,C,B-,C-,#DIV!0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.6281165546507005,0.345645199862727,#DIV/0!,#DIV/0!,#DIV/0!,0.2410014496879593,-1.1976278369667588,#DIV/0!,#DIV/0!,0.7541620680544678,-0.008491656851265378,0.4896104745389293,#DIV/0!,-0.08127971902431685,0.31652382383063965,#DIV/0!,B-,B-,#DIV!0,#DIV!0,#DIV!0,C,D,#DIV!0,#DIV!0,B,C,B-,B-,#DIV!0,C,#DIV!0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.6281165546507005,0.10099950596021673,0.5783377904858501,0.5602332695542469,#DIV/0!,1.280477026020832,1.8874652912118406,#DIV/0!,0.8293320286307101,-0.0686857695374584,0.5943434968473711,0.5471623394798059,#DIV/0!,-0.2308552842645322,0.05708315932245688,#DIV/0!,B-,C,B-,B-,#DIV!0,A-,A,#DIV!0,B,C,B-,B-,C,#DIV!0,C,#DIV!0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.6281165546507005,0.3855968688067828,-0.12846877944472027,-0.5269495801010483,0.4166347492052265,0.6711617411685337,0.12010189868545924,0.22374192185299058,-2.889113184821455,0.18667274216909352,-0.18290971746732662,-0.09651698063781965,-0.22090446900537136,-0.7712957011489082,0.22741840766987353,-0.5352355576059876,B-,B-,C,C-,B-,B-,C,C,E,C,C,C,C,C,D,C-
