,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade
0,Total Geo,0.10140531757638094,0.04588203723046679,0.18196624615870197,0.15188368389743587,0.13542086441742948,-0.218012262346789,-0.09085568149482341,0.04395574363411466,0.13559278367466115,0.05156697368975798,0.09815218564090483,0.14063486074296186,0.21386348938137223,-0.7840428554829605,-0.044246901737505936,-0.026925637727258336,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.25342768752800265,0.48813007058752145,0.5167058066910974,0.2449273281120605,0.22588696195609645,0.09948174716101701,0.2971496845628139,0.3036727552283728,-0.1724500528914486,0.11922742582905732,0.38146002790094163,0.6589106542199268,-0.3839451044966878,-0.1685997291064824,-0.24163901055627804,0.027566315842718406,B-,B-,B-,C,C,C,B-,B-,C,C,B-,B-,C,C-,C,C
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,-0.3277763287293181,0.24360443159943784,0.846919348290161,0.2092457902688096,0.6074212282153131,0.21012693372974153,-0.20525268091999258,0.22632696035059321,0.05627797695654262,-0.16526926628215674,0.2706690154908339,0.540890373076149,0.6372800234410596,0.08710616058097297,-0.7450503379413947,0.09741484933171521,C-,C,B,C,B-,C,C,C,C,C,B-,B-,C-,B-,C,C
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.24486162809402148,-0.1572766585697903,0.20327208009660705,0.25539162976220653,-0.12461282964416028,1.536892083781913,-0.20250586813032184,0.2508602950557823,0.29086330598297255,1.6659701292129507,1.0824087287479038,0.425340912355489,0.37621242800670973,5.975243303243407,0.5635519354979014,1.4827986775781905,C,C,C,B-,C,A-,C,B-,B-,A-,B,B-,B-,B-,A,A-
4,Madison & Cortland Counties PUMA,0.3371628770216019,-1.891203223637131,0.043340204917020925,-0.18543326763212467,0.6074212282153131,-0.5427093836009277,-0.608213984312289,-0.3199479355755052,0.29086330598297255,-0.7212536844432023,-0.18497918596315316,0.6589106542199268,0.6372800234410596,0.10020402489421289,-0.16918106545972636,0.08740629609601287,B-,E,C,C,B-,C-,C-,C-,B-,C-,C,B-,C,B-,C,C
5,Ontario & Yates Counties PUMA,0.3371628770216019,-0.5539446513150239,-0.20822123179385707,0.27108147102146396,0.6074212282153131,0.17741521278630618,-0.337941632483931,0.04185332477883902,-3.4071716541466825,-0.7039464117049439,1.232486395063546,0.6589106542199268,0.6372800234410596,0.3208556331215384,-1.0949426250525267,-0.3366468550082975,B-,C-,C,B-,B-,C,C-,C,E,C-,B,B-,D,B-,B-,C-
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.3371628770216019,1.4670652856655497,-1.4493595208066679,-0.09140153732026265,0.6074212282153131,0.43267066382008884,-0.018768899148178274,0.18354144249249213,0.29086330598297255,-0.21623517900239356,0.6567360440668671,0.17748874797546246,-0.174541327253093,0.05948840267065057,-0.1886215089883443,0.08645406935030311,B-,A-,D-,C,B-,B-,C,C,B-,C,B-,C,C,C,C,C
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,-0.0019150261218964272,0.6646124248011192,#DIV/0!,#DIV/0!,#DIV/0!,0.23029708639427426,-0.3263615466222269,#DIV/0!,0.29086330598297255,1.5916346858000967,0.5572510061972669,-5.649125624784331,#DIV/0!,-0.14403996769628935,0.02083494251085513,#DIV/0!,C,B-,#DIV!0,#DIV!0,#DIV!0,C,C-,#DIV!0,B-,A-,B-,E,C,#DIV!0,C,#DIV!0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",-0.12318541486172445,1.613321938202009,0.8879733969203191,0.27108147102146396,0.6074212282153131,0.7536315549538827,-0.27704682108565687,0.5333139076236579,-1.1624417730233603,-0.13978405917712197,-0.6805934943254804,-0.19156461573748268,0.14469359606939053,0.41348919352823765,-0.44157737290422827,-0.29396836079572086,C,A-,B,B-,B-,B,C-,B-,D,C,C-,C,C-,C,B-,C-
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.27831206686679566,0.0019222185184424444,0.26534497027253695,0.22369191717596612,0.3247292892625507,-0.2163342483806472,0.04267990024136418,0.13147801627957267,#DIV/0!,0.4712048470985366,1.232486395063546,0.6589106542199268,0.6372800234410596,0.7701376106193702,-0.7797769215732141,#DIV/0!,B-,C,B-,C,B-,C,C,C,#DIV!0,B-,B,B-,D,B-,B,#DIV!0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.3371628770216019,0.27805550181055216,-0.8297909109019707,#DIV/0!,#DIV/0!,0.18483645477711025,-0.45879647677948243,#DIV/0!,-0.09987564253721441,-1.6020325511402527,-2.615331571252498,-1.8095598609537926,0.6372800234410596,-0.2637698828060304,0.1663734648693041,-0.7981308600542035,B-,B-,D,#DIV!0,#DIV!0,C,C-,#DIV!0,C,D-,E,E,C,B-,C-,D
11,Erie County (Northwest) PUMA,-0.2613981042693555,-1.9001378326821272,-1.135859441370707,-0.6971388725832894,-2.2627407522498246,-0.5261888395848587,-0.7440518616525372,-1.0753593863418143,0.29086330598297255,1.2569861833137317,-1.2396653862744005,0.6589106542199268,0.6372800234410596,0.40897764781979906,1.3574721885826617,0.48154637386939303,C-,E,D,C-,E,C-,C-,D,B-,A-,D,B-,A-,B-,B-,B-
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.292714629279256,-0.412393006696441,0.2220402924545175,0.12136664885958105,0.41838093003033283,0.7413201575147867,-0.06341126312959973,0.18857405547320477,0.13925589317913228,-0.20827025848992445,-1.5585239124262167,-0.5545924785292794,-0.48969272921592694,-0.18427421737758817,0.387502264897919,-0.35265649113741204,B-,C-,C,C,B-,B-,C,C,C,C,D-,C-,B-,C-,C,C-
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.3371628770216019,0.584689210500246,-0.46435193745608155,#DIV/0!,-0.08614473527419117,0.798159212978035,-0.1546271148291141,#DIV/0!,0.2641274176702652,0.1584996486327838,0.7329702609754396,0.43220421473886866,0.32404437017919185,0.18894253538270533,1.159192618146929,0.4657115808180262,B-,B-,C-,#DIV!0,C,B,C,#DIV!0,B-,C,B-,B-,B,B-,C,B-
14,Rockland County (North)--New City & Congers PUMA,-0.005901853471160387,0.31720140701421995,0.6669558653119152,#DIV/0!,-0.06065745663110066,0.7760565369001483,-0.3679814078517054,#DIV/0!,0.1733043634566631,0.18736541022490535,0.8100328810189524,0.6589106542199268,-2.632527214176715,0.2183917829888702,0.020425417844782995,-0.0805852434889449,C,B-,B-,#DIV!0,C,B,C-,#DIV!0,C,C,B,B-,C,E,C,C
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.3371628770216019,-0.17855618630542675,0.009864534450526296,-0.1517158619513053,0.09693354387284332,-2.7493984902915614,-0.2756001965867684,-0.41590139711287005,0.29086330598297255,-0.13493154736702742,0.45160878670523624,0.6589106542199268,-2.751879372246303,0.5392868182843303,0.3738640841931054,-0.08175389574682271,B-,C,C,C,C,E,C-,C-,B-,C,B-,B-,B-,E,B-,C
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.3371628770216019,0.21183715283765878,0.5199179331290863,0.17227592488625829,-0.31327778698052466,0.24289675441299546,-0.251080808752608,0.131390292364924,0.13697065689361596,-0.5055212203718095,-0.13642897783248828,-0.3400372340802202,0.3004733715452268,0.8921664454675045,-0.42457766565435623,-0.010993517718932413,B-,C,B-,C,C-,C,C-,C,C,C-,C,C-,C-,B-,B,C
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,0.09154863100696801,-0.08743239033362038,-0.3096039395384018,0.18458024399714912,-0.023590563111190517,-0.21494773411979373,0.03340976081664407,-0.046576570183177894,0.21204267472799956,-0.22223856041488382,-0.19803462047487855,0.12000534848431729,0.12368886733791953,1.0020064032771392,0.11091257395059442,0.16405466955545825,C,C,C-,C,C,C,C,C,C,C,C,C,C,C,B,C
