,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade
0,Total Geo,0.09185753186948557,0.11122659597508207,0.22370155821828008,0.059117276948769705,0.17001031825041943,-0.22013451649584084,0.18720068431278863,0.08899706415414066,0.18885138302117507,0.0876252390489967,0.1254147303423751,0.1014034597291107,0.18520444894211194,-0.5622291496010542,0.14619233560801534,0.03892320672724725,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C-,C
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.2872131981065035,0.5620069508399426,0.2421435348637836,0.10328985133279918,0.23339863501235955,0.09990778862655349,0.31005583753532556,0.2625736851881811,-0.8032269388552117,0.7197305457828594,0.29254491361855867,0.38941524584000936,-2.6884367090339416,0.3254935159506013,-0.24942019753308886,-0.2876999463186019,B-,B-,C,C,C,C,B-,B-,D,B-,B-,B-,C,E,B-,C-
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,-0.7319414656357156,0.638916174365393,0.6016550444776122,#DIV/0!,0.5152204676689154,-0.0040940104945911895,0.6788027577678065,#DIV/0!,#DIV/0!,-0.44050550249463033,-0.593267022745697,0.38941524584000936,0.748413171698576,-0.20248913304632293,-0.4383442732877866,#DIV/0!,C-,B-,B-,#DIV!0,B-,C,B-,#DIV!0,#DIV!0,C-,C-,B-,C-,B-,C,#DIV!0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.2872131981065035,0.02301647489689463,0.4358024580673235,0.25260502469574375,-0.07138919507322129,0.664376679484637,0.3677505257385023,0.27991073798805477,0.39709296645119074,1.243785677298469,0.9339180260894562,0.38941524584000936,0.48046003030980705,4.59834614232004,0.6483792473149435,1.2416281908034166,B-,C,B-,B-,C,B-,B-,B-,B-,B,B,B-,B-,B-,A,B
4,Madison & Cortland Counties PUMA,0.2872131981065035,-0.7627581536145092,-0.09444304073356186,-3.9269255421724467,0.5152204676689154,-0.21257179812421864,-1.2697178142737757,-0.7805689547347275,0.39709296645119074,-0.03696660230505323,0.033878962403932004,0.38941524584000936,0.748413171698576,-0.1422890192723467,0.0814530832719974,0.2101425440126151,B-,D,C,E,B-,C,D-,D,B-,C,C,B-,C,B-,C,C
5,Ontario & Yates Counties PUMA,#DIV/0!,-1.9211368215666935,-1.5290230097176847,0.4546808747475493,0.5152204676689154,-0.19151748134129237,-0.14273428895915147,#DIV/0!,-2.612869775506649,0.07772416888040683,0.9339180260894562,0.38941524584000936,0.748413171698576,-0.06196873710221107,-0.5137921064064501,-0.14845142950098025,#DIV!0,E,D-,B-,B-,C,C,#DIV!0,E,C,B,B-,C-,B-,C,C
6,Monroe County (Central)--Greece & Gates Towns PUMA,#DIV/0!,1.179482169530902,-1.7584642383049447,#DIV/0!,0.5152204676689154,0.2422847888212391,0.24795184304502876,#DIV/0!,0.39709296645119074,0.2695025958545942,0.9339180260894562,0.38941524584000936,#DIV/0!,0.5481037479957649,0.28177545158032796,#DIV/0!,#DIV!0,B,E,#DIV!0,B-,C,C,#DIV!0,B-,B-,B,B-,B-,#DIV!0,B-,#DIV!0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.2872131981065035,0.5712618700588712,#DIV/0!,#DIV/0!,#DIV/0!,0.1413478586853725,0.1967938079142058,#DIV/0!,0.39709296645119074,1.2555123955410668,-0.2806011165834142,-7.3163165452018255,#DIV/0!,-0.05124020950760895,-0.2620788975460992,#DIV/0!,B-,B-,#DIV!0,#DIV!0,#DIV!0,C,C,#DIV!0,B-,A-,C-,E,C-,#DIV!0,C,#DIV!0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.2872131981065035,1.184109124126829,0.6016550444776122,0.4546808747475493,0.5152204676689154,0.42933155294963,-0.9054572708099782,0.3666789987524373,-1.8799942612251035,0.37181655361310373,-0.3859352383608515,0.1533839553778088,-0.50123341875259,0.22906939470629722,0.2987325193311517,-0.2448800707585976,B-,B,B-,B-,B-,B-,D,B-,E,B-,C-,C,B-,C-,C,C
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.2655325369968114,0.07233560871399972,0.07425593476963194,-0.08055816743861359,0.20177881744764423,-0.018920915159998483,0.2397986005677342,0.10774605941388705,#DIV/0!,0.7066203701961313,0.9339180260894562,0.38941524584000936,0.748413171698576,0.31923569523948236,-0.28783662664778203,#DIV/0!,B-,C,C,C,C,C,C,C,#DIV!0,B-,B,B-,C-,B-,B-,#DIV!0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.2872131981065035,-0.04239131960380655,-1.78008504513603,#DIV/0!,#DIV/0!,0.16900839258058742,-0.3108711062239122,#DIV/0!,0.39709296645119074,-2.5347488422486717,-6.154840882851158,#DIV/0!,#DIV/0!,0.21958052784341334,-1.7673187882513464,#DIV/0!,B-,C,E,#DIV!0,#DIV!0,C,C-,#DIV!0,B-,E,E,#DIV!0,E,#DIV!0,C,#DIV!0
11,Erie County (Northwest) PUMA,0.2872131981065035,-1.294502071991732,-0.3934171428869117,#DIV/0!,-0.282511215904361,-0.6031262890800039,-1.233415175644306,#DIV/0!,0.39709296645119074,1.668845289120133,-1.7317896018258319,0.38941524584000936,#DIV/0!,0.22730237553908056,5.201711450205763,#DIV/0!,B-,D-,C-,#DIV!0,C-,C-,D,#DIV!0,B-,A-,D-,B-,A,#DIV!0,C,#DIV!0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.25746665211697645,0.12112112461578778,0.26028650883013743,0.20651884214909685,0.4144731321461176,0.1755168506475103,0.46659413280161244,0.271711034758177,0.07467617914306242,-0.3786442395850282,-0.8843008300042661,0.04220437962471653,-0.5453544563321483,-0.055227895269323805,-0.06572927674408466,-0.2589108770238674,B-,C,B-,C,B-,C,B-,B-,C,C-,D,C,C,C-,C,C-
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.2872131981065035,0.6307666661693426,-0.44991466265123936,#DIV/0!,0.15431245771538377,0.0962307095612911,-0.022646824689052852,#DIV/0!,0.2646686049081679,0.12712147820311273,0.5479590661689326,0.3016513376840203,0.35013707194257243,-0.02576930771502381,1.4243022754182901,0.42715293237286744,B-,B-,C-,#DIV!0,C,C,C,#DIV!0,B-,C,B-,B-,A-,B-,C,B-
14,Rockland County (North)--New City & Congers PUMA,0.09627219930689984,1.2768830673130063,0.39476732592553565,#DIV/0!,0.5152204676689154,0.5288773982165145,-0.4023027566885631,#DIV/0!,0.23045923182488004,0.6757940340258548,0.5873598233517651,0.38941524584000936,-0.5481503094157032,-0.22781097587551777,0.017864115153168957,0.16070445212920817,C,A-,B-,#DIV!0,B-,B-,C-,#DIV!0,C,B-,B-,B-,C,C-,C,C
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.2872131981065035,1.0243192438258886,-0.054646893656584254,-1.9330675575154943,-3.056570227435748,-1.7565398762473978,-0.7553174155527339,-0.8920870754965096,0.39709296645119074,0.1562130576450772,0.9339180260894562,0.38941524584000936,#DIV/0!,0.36060258719413524,0.8184258589106899,#DIV/0!,B-,B,C,E,E,E,D,D,B-,C,B,B-,B,#DIV!0,B-,#DIV!0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.2872131981065035,0.43346650648868523,0.6016550444776122,0.4546808747475493,-0.2779502553041267,-0.20480625650306136,-0.2624244876913817,0.1474049463316829,-0.3339849026927012,0.13885587313036246,0.18102946363094413,#DIV/0!,0.3714988748203407,0.9833074862103622,-0.4636324693524642,#DIV/0!,B-,B-,B-,B-,C-,C,C-,C,C-,C,C,#DIV!0,C-,B-,B,#DIV!0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,-0.09188891184230534,0.17238746210484265,-0.2011922809001045,-0.26540582236170807,0.22871629329437795,-0.12759940289963423,0.588743665172791,0.04339442893832278,0.18031622201058964,-0.3741209564676332,0.01687403826065329,0.3476359750260372,0.1401058996871634,0.5537318882537761,0.2920992144965971,0.16523461160959765,C,C,C,C-,C,C,B-,C,C,C-,C,B-,B-,C,B-,C
18,Tompkins County PUMA,-0.26361792536958406,-1.1604297093777853,0.27566998818993155,0.0181542558571463,0.21098074128041372,-0.6848550758563675,-0.756711031802454,-0.33725839386838563,0.39709296645119074,0.552011584933731,0.9339180260894562,0.38941524584000936,#DIV/0!,0.6638887444792402,-0.43043457253885214,#DIV/0!,C-,D,B-,C,C,C-,D,C-,B-,B-,B,B-,C-,#DIV!0,B-,#DIV!0
19,Dutchess County (Southwest) PUMA,0.2872131981065035,-0.9044131703473235,0.5333727374845242,#DIV/0!,#DIV/0!,0.12510353212710634,-0.5832932027547252,#DIV/0!,-0.18775916423428096,0.5152856842127709,-1.2256452119251668,0.1686071830525022,-0.2924164210355555,-0.42327987478460144,-0.18340234554556226,-0.23265859289427054,B-,D,B-,#DIV!0,#DIV!0,C,C-,#DIV!0,C,B-,D,C,C,C-,C-,C
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,0.18961723730662208,-0.36467578127106887,0.42731043788342327,-0.027364470696601393,0.16703246659928483,0.11879500453764105,0.6970137287564646,0.17253266044510937,0.2997133210966378,0.2283762715134295,-0.2353228238807075,0.23608273967053664,-0.9650743140146124,0.5752029873653743,0.13653286895537756,0.0393587215294337,C,C-,B-,C,C,C,B-,C,B-,C,C,C,C,D,B-,C
21,Westchester County (Northwest) PUMA,-0.21728705232423276,-0.10014423906842707,0.40359609271150976,0.4546808747475493,0.039060963833033306,0.4758171615397574,-0.6132549108973319,0.06320984150597975,0.33212302880389705,-0.21703884759041295,-0.417994104408593,-0.14977745078726656,-0.013428490095349473,-0.49488713000270945,-0.4473259395605564,-0.2011898476629987,C,C,B-,B-,C,B-,C-,C,B-,C,C-,C,C-,C,C-,C
22,Albany County (Outside Albany City) PUMA,0.2872131981065035,0.7141218780776117,-0.23119217703224157,0.4546808747475493,0.14839390903862837,-0.001917456343706396,0.37749909015478306,0.24982847382130396,0.39709296645119074,1.022922301862553,0.9339180260894562,0.38941524584000936,0.748413171698576,0.11841966118938196,-0.01837359084422222,0.5131153974695636,B-,B-,C,B-,C,C,B-,C,B-,B,B,B-,C,B-,C,B-
23,Monroe County (South) PUMA,-0.4096040838090152,1.301199558633044,0.1179542501714038,-2.546555311773359,-0.30804442167692647,0.02172401256289777,0.42721651267615984,-0.19944421188797073,-3.8402531770430337,-0.6762427921235858,-0.06828003973173401,0.38941524584000936,0.748413171698576,-0.5746057777910059,1.6833386460949216,-0.3340306747222647,C-,A-,C,E,C-,C,B-,C,E,C-,C,B-,A-,B-,C-,C-
24,Jefferson & Lewis Counties PUMA,0.2872131981065035,0.6030511071036336,0.6016550444776122,0.4546808747475493,0.5152204676689154,-1.5734357594299533,-0.30308920344409895,0.0836136756043088,0.39709296645119074,-2.2032412342050613,-0.03894532735247509,0.38941524584000936,0.11260715586718453,-0.6827776797573184,-0.5820452326922904,-0.3725563008355372,B-,B-,B-,B-,B-,D-,C-,C,B-,E,C,B-,C-,C,C-,C-
25,"Chenango, Delaware & Broome (East) Counties PUMA",-9.071834215430638,0.8780211327532959,0.34882117346925734,0.4546808747475493,#DIV/0!,0.7996237662876545,-0.4367047571911379,#DIV/0!,0.39709296645119074,0.5746777877215222,0.3297028588860255,0.38941524584000936,#DIV/0!,0.39063791536788056,1.2126182563480652,#DIV/0!,E,B,B-,B-,#DIV!0,B,C-,#DIV!0,B-,B-,B-,B-,B,#DIV!0,B-,#DIV!0
26,Erie County (Central) PUMA,0.2872131981065035,-0.581511592296198,0.6016550444776122,0.4546808747475493,0.5152204676689154,-0.16322372838441218,-0.7360239431230465,0.05400147445670337,0.39709296645119074,-1.3600783714069897,0.06828653474691791,0.014160182927031138,0.2301021964362408,-0.10804581374329317,0.5266985832951327,-0.03311196018482421,B-,C-,B-,B-,B-,C,C-,C,B-,D-,C,C,B-,C,C,C
27,St. Lawrence County PUMA,#DIV/0!,-0.5237669974940572,-0.9826286807432599,0.4546808747475493,0.5152204676689154,-0.08405307755399677,0.5606116112462243,#DIV/0!,-2.6897665440384473,1.1165843432918394,-0.5647782238268673,-0.9206060413052626,0.748413171698576,-0.6394218181784956,-1.6671476042485032,-0.6595318166581657,#DIV!0,C-,D,B-,B-,C,B-,#DIV!0,E,B,C-,D,D-,B-,C-,C-
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.09244224673089936,0.02578960647340908,0.17257981258199465,0.136259312721754,0.12873236895942403,0.144885217032141,-0.1189504347270134,0.08310544711037267,0.39709296645119074,-0.3557268613872657,0.5834521716475376,0.2611058321238056,0.5385947617350845,2.5863864589473757,0.8000735916599212,0.6872827030253784,C,C,C,C,C,C,C,C,B-,C-,B-,B-,B,B-,A,B-
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.2872131981065035,-1.6364565164191045,0.6016550444776122,#DIV/0!,0.5152204676689154,-0.07615650922778626,0.18080040692687352,#DIV/0!,0.39709296645119074,-0.08444378488120444,-2.8747830474875995,#DIV/0!,-0.3943974010094406,-0.13816096497551975,-0.12371593193385025,#DIV/0!,B-,D-,B-,#DIV!0,B-,C,C,#DIV!0,B-,C,E,#DIV!0,C,C-,C,#DIV!0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,-0.22933346033341231,0.02751634941284817,0.24429724419443405,-0.07855761970158104,0.030651424950678206,0.3631435785849918,-0.47863918055156507,-0.017274523349086603,0.39709296645119074,1.259929452866166,0.08880859548450117,-0.3114837644580779,0.01177680360375259,-0.16720025596110658,-0.6415274543287186,0.09105662052252968,C,C,C,C,C,B-,C-,C,B-,A-,C,C-,C-,C,C,C
31,Cayuga & Onondaga (South) Counties PUMA,#DIV/0!,0.4899013302105799,0.6016550444776122,0.4546808747475493,0.5152204676689154,-0.3484271174472174,-1.08617959730483,#DIV/0!,0.39709296645119074,-0.9705091652399792,-0.07666553592493205,0.38941524584000936,0.748413171698576,-0.30851319242306013,-0.1874072221921125,-0.0011676759700439726,#DIV!0,B-,B-,B-,B-,C-,D,#DIV!0,B-,D,C,B-,C,B-,C-,C
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.2872131981065035,0.021305099429865037,0.6016550444776122,#DIV/0!,#DIV/0!,0.3024558398635585,0.7412800546960099,#DIV/0!,0.39709296645119074,-0.690322617950246,0.9339180260894562,0.38941524584000936,#DIV/0!,-0.01620771638444991,-0.26728757338697834,#DIV/0!,B-,C,B-,#DIV!0,#DIV!0,B-,B-,#DIV!0,B-,C-,B,B-,C-,#DIV!0,C,#DIV!0
33,Fulton & Montgomery Counties PUMA,0.2872131981065035,0.7780056810030378,0.6016550444776122,0.4546808747475493,#DIV/0!,0.5535116725873478,0.1818187280201676,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-1.7673187882513464,#DIV/0!,B-,B,B-,B-,#DIV!0,B-,C,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,E,#DIV!0,#DIV!0,#DIV!0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.2872131981065035,-0.4695802508715042,0.6016550444776122,0.4546808747475493,0.5152204676689154,-0.5377252724633796,1.689910791087898,0.36305355039337067,0.39709296645119074,-0.4809372617857632,0.21534175492779237,0.38941524584000936,0.748413171698576,0.17112261196416678,0.2489656957717672,0.2413448835525342,B-,C-,B-,B-,B-,C-,A-,B-,B-,C-,C,B-,C,B-,C,C
