,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_Ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_Ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_Ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_Ownership_HS_grade,Overall_HS_grade
0,Total Geo,0.05496122456883222,0.08186604733578805,0.10878549699995978,-0.19599396718652762,0.10764392576462863,-0.23903918025943907,0.13310565343765107,0.0073327429515561504,0.10330194450643596,-0.10004986595783381,0.15818679510986827,-0.1318585449319379,0.14999769467188795,-0.596913994089779,0.34531133496657546,-0.01028923367496901,C,C,C,C,C,C,C,C,C,C,C,C,B-,C,C-,C
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.12358239944808021,0.23639105261385313,0.21785053015009967,0.45632952966874596,0.21370009833584752,-0.2626383447141741,-0.11590799158952286,0.12418675341613279,#DIV/0!,-0.29669685872477974,-0.7413445947698473,#DIV/0!,#DIV/0!,-0.6381967486931447,0.40778704712658964,#DIV/0!,C,C,C,B-,C,C-,C,C,#DIV!0,C-,C-,#DIV!0,B-,#DIV!0,C-,#DIV!0
2,Ulster County (East) PUMA,0.1821493259208712,-1.4540997220292655,-0.7930644062350888,-2.2944591153163603,-5.531308596575447,0.4842025496563498,-0.6895964486655787,-1.4423109161777885,0.3248011035033778,0.5757462608832159,0.6153667878907039,0.4611273738870843,0.6503905676593816,-0.5225287224208591,-0.27439260596736986,0.2615015379193621,C,D-,D,E,E,B-,C-,D-,B-,B-,B-,B-,C-,B-,C-,B-
3,Albany County (East Central)--Albany City PUMA,0.1821493259208712,0.17118853928164696,-0.1321586297950848,0.45632952966874596,-0.40026563779326074,-1.0862693903562657,0.049474642426657583,-0.10850737437809851,#DIV/0!,2.767601209953978,0.5347829065310676,#DIV/0!,0.5010857677880945,-1.2869087864497748,0.780082024852992,#DIV/0!,C,C,C,B-,C-,D,C,C,#DIV!0,A,B-,#DIV!0,B,B-,D-,#DIV!0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,0.5053662835872672,#DIV/0!,#DIV/0!,#DIV/0!,0.21570725626155107,1.0199488319754701,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-1.453176168077994,#DIV/0!,#DIV!0,B-,#DIV!0,#DIV!0,#DIV!0,C,B,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,D-,#DIV!0,#DIV!0,#DIV!0
5,Ontario & Yates Counties PUMA,#DIV/0!,-2.418010440553383,-3.1032544913918247,0.45632952966874596,0.5463541997492823,-0.13538899610098007,-1.059637769427062,#DIV/0!,-4.295666875725937,-0.13884553806167613,0.6153667878907039,0.4611273738870843,0.6503905676593816,0.20576931730590828,-0.23402325746097508,-0.3908402320722158,#DIV!0,E,E,B-,B-,C,D,#DIV!0,E,C,B-,B-,C,B-,C,C-
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.1821493259208712,-0.6815599856727943,0.5436730995327466,#DIV/0!,0.5463541997492823,-0.3130777871882946,0.6983167212633214,#DIV/0!,0.3248011035033778,-0.6833791279981237,-1.7244962699776631,#DIV/0!,-0.25058281643281927,0.04260865324165464,1.301256051427521,#DIV/0!,C,C-,B-,#DIV!0,B-,C-,B-,#DIV!0,B-,C-,D-,#DIV!0,A-,C-,C,#DIV!0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,-0.0065551347635345834,0.4565978887373837,0.14673583215798278,0.45632952966874596,0.3837154676413386,-0.5362883161184342,0.30676631583149133,0.1724716547364248,0.21942953512259272,-0.47113707194350835,-0.5011659646916223,-0.6766039814556285,0.18730916339065198,-0.7645246990683561,0.384013538348917,-0.2318113543281362,C,B-,C,B-,B-,C-,B-,C,C,C-,C-,C-,B-,C,D,C
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.1821493259208712,0.7969206272622305,0.5436730995327466,0.45632952966874596,#DIV/0!,0.5363929422395153,1.0437608399046658,#DIV/0!,-5.406771389556979,0.716319328257819,-0.8992091441571063,-3.281902232641795,#DIV/0!,0.782778238391358,-0.5993974582685152,#DIV/0!,C,B,B-,B-,#DIV!0,B-,B,#DIV!0,E,B-,D,E,C-,#DIV!0,B,#DIV!0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,#DIV/0!,0.20431806927900814,0.5436730995327466,0.45632952966874596,#DIV/0!,0.8110661528482344,1.2249822596491924,#DIV/0!,0.3248011035033778,-1.9030205967005125,-0.027453895933446066,#DIV/0!,0.6503905676593816,-0.7667515445238422,-1.453176168077994,#DIV/0!,#DIV!0,C,B-,B-,#DIV!0,B,B,#DIV!0,B-,E,C,#DIV!0,D-,B-,D,#DIV!0
