,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade,Home_Ownership_BABS_score
0,Total Geo,0.11477818624979927,0.06163009432782349,0.08607595147085786,0.03257598838964395,-0.020676693441834506,-0.2333080214286329,-0.1153991273322269,-0.010617660252081397,0.14339692865011994,-0.09937243022598737,0.16882922333083777,0.23497184918611025,0.18222476092473625,-0.7294718761039636,0.13465651818886434,0.00503356770724537,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C-,C,#DIV/0!
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.14741863583404566,0.43753774993206856,0.23612617142566011,0.30510379058935067,0.20651849375055,0.19887937692582003,0.6710886395128088,0.3146675511386148,0.29146255447013436,1.3119532731936219,0.4206563546612556,0.5515468531150173,0.2741848038064632,0.17133100614829067,-1.329401058341222,0.24167625529336587,C,B-,C,B-,C,C,B-,B-,B-,A-,B-,B-,D-,B-,C,C,#DIV/0!
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,-0.024019695897388556,0.3515340059462585,0.5650481016295411,0.3167459751950743,0.6670975407403884,0.24257740339807005,-0.22493488582668822,0.27057834931217933,-0.028202571592720167,-0.19063360744864785,0.3316440894017104,0.3576504963572152,0.35519778812237746,0.3554308070165309,-0.740394000460797,0.06295614305652412,C,B-,B-,B-,B-,C,C,B-,C,C,B-,B-,C-,B-,B-,C,#DIV/0!
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.10404656516074669,-0.16350048938858905,-0.5368181166421004,0.09094736265498532,-1.7075806939637568,1.5874050310355325,-0.1781666687405768,-0.11480957284053692,0.29146255447013436,1.536239982749789,0.9453935667048867,#DIV/0!,0.35519778812237746,0.37880760648567735,-0.18734155478183634,#DIV/0!,C,C,C-,C,D-,A-,C,C,B-,A-,B,#DIV!0,C,B-,B-,#DIV!0,#DIV/0!
4,Madison & Cortland Counties PUMA,0.24035742891488085,-0.9523287648410325,0.6004635751385465,0.46850970198944564,0.6670975407403884,-0.7663133040388699,-0.37365977791792093,-0.016553371430651703,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,C,D,B-,B-,B-,D,C-,C,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV/0!
5,Ontario & Yates Counties PUMA,0.24035742891488085,-3.152775076662529,-2.371082280488343,0.46850970198944564,0.6670975407403884,-0.9585759175607895,-0.4536787815642593,-0.7943067692330296,-3.0247962636219783,-0.6350481588246448,0.9453935667048867,0.5515468531150173,0.35519778812237746,0.5574379422368655,-1.0030597294463126,-0.3219040002448269,C,E,E,B-,B-,D,C-,D,E,C-,B,B-,D,B-,B-,C-,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.24035742891488085,1.129569430785078,-0.23581354581552802,-0.6572139822982709,0.6670975407403884,0.9323609520391261,0.11315047559182653,0.3127868999939287,0.29146255447013436,0.8816878860207481,0.9453935667048867,0.5515468531150173,0.35519778812237746,-0.07986668865987916,0.5861134247780815,0.5045050549359095,C,B,C,C-,B-,B,C,B-,B-,B,B,B-,B-,B-,C,B-,#DIV/0!
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.11077394446046554,0.47873169579900643,#DIV/0!,#DIV/0!,#DIV/0!,0.3162689351685176,-0.23995745566081486,#DIV/0!,0.29146255447013436,1.0406511830032763,0.5726393781276161,#DIV/0!,#DIV/0!,0.17572809567872022,0.4312788917125194,#DIV/0!,C,B-,#DIV!0,#DIV!0,#DIV!0,B-,C,#DIV!0,B-,B,B-,#DIV!0,B-,#DIV!0,C,#DIV!0,#DIV/0!
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",-0.950496191007198,1.211842581079952,0.6004635751385465,0.46850970198944564,0.6670975407403884,-0.16259472530910868,0.10782978716836544,0.2775217528286273,-5.030220410814399,0.925380329056709,-2.091269495410428,-1.0941113880568965,#DIV/0!,1.1065556614763097,-1.4831548923582971,#DIV/0!,D,B,B-,B-,B-,C,C,B-,E,B,E,D,D-,#DIV!0,B,#DIV!0,#DIV/0!
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.19963622810442136,-0.2680943488433124,0.17178860839178162,0.24610748929174028,0.33353711018689514,-0.44270236473715446,-0.15713733705930516,0.011876483619295195,#DIV/0!,-0.17974607918847654,0.9453935667048867,0.5515468531150173,0.35519778812237746,-1.9429259475697291,-0.6812580520825927,#DIV/0!,C,C-,C,C,B-,C-,C,C,#DIV!0,C,B,B-,C-,B-,E,#DIV!0,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.24035742891488085,0.23266123825607568,0.6004635751385465,#DIV/0!,#DIV/0!,-0.2516114697442901,-0.2292338315824956,#DIV/0!,0.29146255447013436,-0.810700088332922,-4.1022860523041,-0.690790275302894,0.35519778812237746,-0.5423827054602348,0.9945565322383673,-0.6435631780813245,C,C,B-,#DIV!0,#DIV!0,C-,C,#DIV!0,B-,D,E,C-,B,B-,C-,C-,#DIV/0!
11,Erie County (Northwest) PUMA,-0.3414597350870294,-3.2013549049574164,0.6004635751385465,0.46850970198944564,#DIV/0!,-0.9916847789050519,-0.02598520432923794,#DIV/0!,0.29146255447013436,0.7088183959303804,0.9453935667048867,0.5515468531150173,#DIV/0!,0.950097784500532,4.528662491634297,#DIV/0!,C-,E,B-,B-,#DIV!0,D,C,#DIV!0,B-,B-,B,B-,A,#DIV!0,B,#DIV!0,#DIV/0!
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.21316467761391428,-0.02180246156536469,0.027701826817445846,#DIV/0!,0.5257529145813352,0.03675032676336436,0.03760337578870737,#DIV/0!,0.14594153787389508,-0.3919567044982608,-1.2220055963472818,#DIV/0!,-3.1697573887377035,0.008734846901888438,0.4165425994014817,#DIV/0!,C,C,C,#DIV!0,B-,C,C,#DIV!0,C,C-,D,#DIV!0,B-,E,C,#DIV!0,#DIV/0!
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,#DIV/0!,4.34397753072278,0.45235891711410525,#DIV/0!,0.47646405251772406,2.4536608525605312,-0.2678286812536265,#DIV/0!,#DIV/0!,-0.20430025610188268,0.4418452691829114,0.3867615058502976,-0.038315692094096424,1.2416311844375063,1.3803712203696321,#DIV/0!,#DIV!0,A,B-,#DIV!0,B-,A,C-,#DIV!0,#DIV!0,C,B-,B-,A-,C,B,#DIV!0,#DIV/0!
14,Rockland County (North)--New City & Congers PUMA,0.12194083342262863,0.2001641235047959,0.6004635751385465,#DIV/0!,-0.712567094222394,0.5216934020740154,-0.16934585003490765,#DIV/0!,0.06354363376612575,-0.106527739388958,0.6531700073890467,0.5515468531150173,-0.742616630144795,0.43165072799071513,0.029638055319700766,0.12577212972097895,C,C,B-,#DIV!0,C-,B-,C,#DIV!0,C,C,B-,B-,C,C-,B-,C,#DIV/0!
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.24035742891488085,-0.09296341963818762,0.04839672461413054,-0.711113342097764,0.026655426704751354,-2.312175368845535,-0.13189090614376472,-0.41896192235592694,0.29146255447013436,0.7599189831727231,0.9453935667048867,0.5515468531150173,#DIV/0!,0.9275956152942996,0.3764622812042625,#DIV/0!,C,C,C,C-,C,E,C,C-,B-,B,B,B-,B-,#DIV!0,B,#DIV!0,#DIV/0!
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.24035742891488085,0.36789636119340896,0.5088766134653817,-0.2953923157250286,-0.35366482974358626,0.27840738971148954,-0.20321272592145959,0.07760970312786952,-0.13664378619136516,0.3057088385181704,0.47662259658769895,0.2867093292312037,0.27072615691909535,0.10665242329033482,-0.25382730155232425,0.1508497509718305,C,B-,B-,C-,C-,B-,C,C,C,B-,B-,B-,C-,B-,C,C,#DIV/0!
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,#DIV/0!,0.2415632282436572,-0.07642723174539022,0.21801227257190542,0.0884639863642855,0.901857647962749,0.04136068825529508,#DIV/0!,0.2147920408590158,-0.4123456877206614,0.2925258175762823,0.30257548627965797,0.1281370240239876,2.3365543633379766,0.7740957262567442,0.5194763958018576,#DIV!0,C,C,C,C,B,C,#DIV!0,C,C-,B-,B-,B,C,A,B-,#DIV/0!
18,Tompkins County PUMA,0.24035742891488085,-0.7381079995710984,0.03307012441788681,0.03255903384900362,0.1718313888855806,-0.5626044497262237,-0.23456660219475817,-0.15106586791781834,0.29146255447013436,0.16410486653525025,0.9453935667048867,0.5515468531150173,#DIV/0!,1.2723171482829747,-1.1970271541176838,#DIV/0!,C,C-,C,C,C,C-,C,C,B-,C,B,B-,D,#DIV!0,A-,#DIV!0,#DIV/0!
19,Dutchess County (Southwest) PUMA,0.15451035137094635,-0.06345357521196647,0.6004635751385465,0.46850970198944564,0.6670975407403884,0.369816996508317,-0.07473056404572836,0.303173432355707,-0.29957050797827217,0.23502159002736286,-3.729137732530745,-2.7728928027578044,-0.11673564343005087,-0.46791305333320987,-0.19708464571844989,-1.04975897081731,C,C,B-,B-,B-,B-,C,B-,C-,C,E,E,C,C,C-,D,#DIV/0!
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,0.2259337813117617,0.08839550616355987,0.2265613530870767,#DIV/0!,0.034583884546236315,0.2843689123037254,-0.09919062967709742,#DIV/0!,0.09127914856044143,0.6599407805886045,0.46643635972932623,0.4717132569554395,-0.13724420018035977,0.9398727869346768,-0.31060988050877103,0.31162689315419395,C,C,C,#DIV!0,C,B-,C,#DIV!0,C,B-,B-,B-,C-,C,B,B-,#DIV/0!
21,Westchester County (Northwest) PUMA,0.24035742891488085,0.026682457986889452,0.2865339179941896,0.46850970198944564,0.09685978398489334,0.2243814606672157,-0.3861077263858231,0.13674528930738447,0.29146255447013436,-0.8311650948662135,-0.06867684547185754,-0.6482015015475122,0.3011358135374983,-0.9719569841195943,-0.9251969900972362,-0.4075141497278259,C,C,B-,B-,C,C,C-,C,B-,D,C,C-,D,B-,D,C-,#DIV/0!
22,Albany County (Outside Albany City) PUMA,-0.10702524648319668,0.6030681157487566,0.30532127831808376,0.46850970198944564,0.6670975407403884,0.26864137615222855,0.09841923811714699,0.32914742922612195,0.29146255447013436,0.6116452990213793,-0.6604179169367048,-0.32968927231709383,0.35519778812237746,-0.6731227368386669,0.27443178030965804,-0.01864178630984519,C,B-,B-,B-,B-,B-,C,B-,B-,B-,C-,C-,B-,B-,C-,C,#DIV/0!
23,Monroe County (South) PUMA,0.24035742891488085,1.160091179151123,0.1120616536909392,0.08280932324483783,-0.7292299514012474,0.08533300697719866,0.23597525124106844,0.16962827025982868,0.29146255447013436,-0.2056137168656841,0.4706817341311333,0.5515468531150173,0.35519778812237746,-0.026984078968771325,0.432456781147189,0.26696398787877085,C,B,C,C,C-,C,C,C,B-,C,B-,B-,B-,B-,C,B-,#DIV/0!
24,Jefferson & Lewis Counties PUMA,0.24035742891488085,-0.293831530156777,0.6004635751385465,0.46850970198944564,0.6670975407403884,-2.312175368845535,-0.2276563384477678,-0.12246214152383116,0.29146255447013436,-1.8032569971127856,0.6684245143291613,0.5515468531150173,0.3376420164550655,0.058021483210336906,0.07483199902541726,0.02552463192747813,C,C-,B-,B-,B-,E,C,C,B-,E,B-,B-,C,B-,C,C,#DIV/0!
25,"Chenango, Delaware & Broome (East) Counties PUMA",-10.024174999722385,1.4455720894412543,0.6004635751385465,0.46850970198944564,#DIV/0!,-0.5379284670221708,-0.42652468295092927,#DIV/0!,0.29146255447013436,-3.987932858249161,-0.9536700268626334,#DIV/0!,#DIV/0!,1.0939483195998918,#DIV/0!,#DIV/0!,E,A-,B-,B-,#DIV!0,C-,C-,#DIV!0,B-,E,D,#DIV!0,#DIV!0,#DIV!0,B,#DIV!0,#DIV/0!
26,Erie County (Central) PUMA,0.24035742891488085,-1.2677129737740194,-0.19710666698423734,0.46850970198944564,-2.8651369013306778,0.8332395451928309,-0.09175617870824115,-0.41137229210000265,0.29146255447013436,-1.607693657768085,-1.423472462325225,-0.40422851521985337,-0.38396895078735827,-0.19826478489309912,-0.939843884744171,-0.6665728144668082,C,D-,C,B-,E,B,C,C-,B-,D-,D-,C-,D,C-,C,C-,#DIV/0!
27,St. Lawrence County PUMA,0.24035742891488085,-0.6897725349794901,-0.46669090406992164,0.46850970198944564,0.6670975407403884,-0.20732950272004952,-0.38245853118215045,-0.052898114472413826,-4.016567872731253,0.7038835923131104,-0.9040195237935911,-0.7086577249495334,0.35519778812237746,-0.8572192103246582,-2.494829306530091,-1.1317446082705196,C,C-,C-,B-,B-,C,C-,C,E,B-,D,C-,E,B-,D,D,#DIV/0!
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.16665961835599277,0.46804170721367067,0.205934170042071,0.12807756716863034,-0.046765463627783416,0.47327862198105225,-0.07144667384684693,0.1891113638981124,#DIV/0!,-0.42994498423359523,-1.1498722382348725,-0.18822243366468652,0.1505404838181722,-0.6328936341444986,-0.9107286833709782,#DIV/0!,C,B-,C,C,C,B-,C,C,#DIV!0,C-,D,C,D,C,C-,#DIV!0,#DIV/0!
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.24035742891488085,0.18339700640089213,-0.053906402622036824,#DIV/0!,0.6670975407403884,-0.5067215602718024,-0.2828411275365598,#DIV/0!,0.29146255447013436,-1.4938529585470939,-3.480331029425683,#DIV/0!,0.06397622584653713,0.19233182670550197,0.6025229421036679,#DIV/0!,C,C,C,#DIV!0,B-,C-,C-,#DIV!0,B-,D-,E,#DIV!0,B-,C,C,#DIV!0,#DIV/0!
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.09043985391212915,-0.35859067075333856,-0.05434299470736283,-0.47656545270810424,-1.0642054333618598,0.42178402186256325,-0.4604944839815474,-0.2717107371053601,0.29146255447013436,2.1927187317968952,0.5527026909914514,0.4224227388906218,0.21742511018225585,0.016526436238265284,1.584001423974507,0.7538942409348758,C,C-,C,C-,D,B-,C-,C-,B-,A,B-,B-,A-,C,C,B,#DIV/0!
31,Cayuga & Onondaga (South) Counties PUMA,0.24035742891488085,1.0561784338215339,0.6004635751385465,0.46850970198944564,0.6670975407403884,-2.0849119283661546,-0.43350630810591007,0.07345549201896155,0.29146255447013436,-0.10582003498131826,-0.6814724071874223,-0.9276339445558072,0.35519778812237746,-0.28638823438492056,-0.670465699134947,-0.2893028539502719,C,B,B-,B-,B-,E,C-,C,B-,C,C-,D,C-,B-,C-,C-,#DIV/0!
