,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,1587075,649717,310647,339070,726653,362885,363768,210705,120942,89763
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",10536,8599,3256,5343,1338,75,1263,599,0,599
2,Tompkins County PUMA,6146,4915,1730,3185,1231,747,484,0,0,0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,18454,5367,2091,3276,10300,5246,5054,2787,1053,1734
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",46755,15387,7622,7765,26551,12313,14238,4817,2306,2511
5,Madison & Cortland Counties PUMA,631,315,191,124,301,172,129,15,0,15
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,16015,2685,1108,1577,9854,4125,5729,3476,2350,1126
7,Dutchess County (Southwest) PUMA,8812,4519,2093,2426,3168,2040,1128,1125,725,400
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",18544,2818,1005,1813,12574,5954,6620,3152,1639,1513
9,Dutchess County (North & East) PUMA,4818,1150,297,853,2884,1387,1497,784,556,228
10,Erie County (Central) PUMA,3463,1238,515,723,1921,935,986,304,174,130
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,10171,2339,774,1565,5606,2914,2692,2226,1500,726
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",805,384,133,251,192,36,156,229,108,121
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,24012,8344,4777,3567,10745,5903,4842,4923,2701,2222
14,Westchester County (Northeast) PUMA,9547,5016,1759,3257,3266,1107,2159,1265,1265,0
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,10768,6427,3412,3015,2601,1202,1399,1740,1344,396
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,875,160,24,136,476,344,132,239,44,195
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,3546,1287,613,674,1607,873,734,652,62,590
18,Niagara County (North & East) PUMA,388,0,0,0,144,0,144,244,125,119
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",26992,8688,4526,4162,16049,8541,7508,2255,1494,761
20,"Chenango, Delaware & Broome (East) Counties PUMA",982,677,409,268,265,54,211,40,40,0
21,Oswego County PUMA,974,500,33,467,474,453,21,0,0,0
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",9022,2298,610,1688,4810,2146,2664,1914,1225,689
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,13460,4955,2831,2124,6778,2942,3836,1727,1233,494
24,Ontario & Yates Counties PUMA,1163,298,177,121,777,250,527,88,0,88
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",13272,5792,2484,3308,5907,2872,3035,1573,571,1002
26,Erie County (Northwest) PUMA,2080,645,313,332,1298,911,387,137,0,137
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,26044,9929,4154,5775,11757,6563,5194,4358,2473,1885
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",10595,2723,1725,998,6260,2729,3531,1612,798,814
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",18580,15654,8292,7362,1894,181,1713,1032,909,123
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",20002,5267,2694,2573,9912,5486,4426,4823,1375,3448
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,39090,17460,8158,9302,16766,9824,6942,4864,2805,2059
32,Erie County (West Central)--Buffalo City (West) PUMA,4912,2254,1205,1049,2098,928,1170,560,187,373
33,Schenectady County--Schenectady City PUMA,3593,1803,988,815,1116,702,414,674,588,86
34,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,9028,6066,2572,3494,2519,1730,789,443,0,443
35,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",369,164,164,0,205,102,103,0,0,0
36,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,15194,6574,2884,3690,6286,3117,3169,2334,1241,1093
37,Suffolk County (Northwest)--Huntington Town (North) PUMA,6440,2194,1432,762,2314,858,1456,1932,1576,356
38,Erie County (Northeast) PUMA,940,557,272,285,383,151,232,0,0,0
39,Monroe County (North & West) PUMA,982,324,0,324,658,351,307,0,0,0
40,Oneida County (Central)--Greater Utica & Rome Cities PUMA,6109,1752,792,960,3324,1661,1663,1033,644,389
41,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",14587,5063,3168,1895,7508,3279,4229,2016,1428,588
42,Erie County (West Central)--Buffalo City (East) PUMA,1924,1045,547,498,751,703,48,128,46,82
43,Suffolk County (Northwest)--Smithtown Town PUMA,2731,961,597,364,1524,514,1010,246,0,246
44,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,10584,6091,2734,3357,2121,1008,1113,2372,1673,699
45,NYC-Manhattan Community District 8--Upper East Side PUMA,23543,21402,8894,12508,2141,528,1613,0,0,0
46,Suffolk County (Southwest)--Islip Town (South) PUMA,4362,1590,930,660,1727,840,887,1045,645,400
47,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",8231,6057,2747,3310,1804,732,1072,370,283,87
48,Erie County (South) PUMA,1337,606,367,239,673,449,224,58,0,58
49,Albany County (Outside Albany City) PUMA,7605,5005,3471,1534,2335,713,1622,265,126,139
50,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,18379,7116,3416,3700,8981,4825,4156,2282,1100,1182
51,Erie County (North Central) PUMA,5852,4525,2031,2494,826,138,688,501,0,501
52,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",15237,7343,3537,3806,7041,4155,2886,853,432,421
53,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",32135,7970,2725,5245,17705,8589,9116,6460,3715,2745
54,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,17446,12193,5240,6953,4591,2070,2521,662,115,547
55,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",31547,10130,3960,6170,18231,9470,8761,3186,1794,1392
56,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",29987,15925,7149,8776,11711,5178,6533,2351,1297,1054
57,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",20589,6334,3699,2635,10741,5422,5319,3514,2192,1322
58,Suffolk County (North Central)--Brookhaven Town (North) PUMA,4558,3576,2152,1424,982,275,707,0,0,0
59,Albany County (East Central)--Albany City PUMA,2843,1631,426,1205,578,50,528,634,329,305
60,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,10684,5860,2642,3218,4011,1591,2420,813,424,389
61,Rensselaer County--Troy City PUMA,2796,1535,617,918,769,610,159,492,363,129
62,Warren & Washington Counties PUMA,994,381,208,173,498,140,358,115,115,0
63,Orange County (Northeast)--Greater Newburgh City PUMA,4046,1299,568,731,1485,553,932,1262,775,487
64,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",7222,3514,1476,2038,2993,1125,1868,715,402,313
65,Fulton & Montgomery Counties PUMA,663,442,181,261,221,47,174,0,0,0
