,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,40.938014901627206,47.81266305175946,52.187336948240535,45.7856749050927,49.939241976569285,50.060758023430715,13.276310193280091,57.398732825514344,42.601267174485656
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",81.61541381928626,37.8648680079079,62.135131992092106,12.699316628701595,5.605381165919283,94.39461883408072,5.685269552012149,0.0,100.0
2,Tompkins County PUMA,79.97071265863977,35.19837232960326,64.80162767039674,20.029287341360234,60.68237205523964,39.31762794476036,0.0,#DIV/0!,#DIV/0!
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,29.083125609623927,38.96031302403578,61.03968697596422,55.81445757017449,50.932038834951456,49.067961165048544,15.102416820201583,37.78256189451022,62.21743810548978
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",32.909849213987805,49.53532202508611,50.46467797491388,56.78750935728799,46.37490113366729,53.62509886633272,10.3026414287242,47.87211957649989,52.12788042350011
5,Madison & Cortland Counties PUMA,49.920760697305866,60.63492063492063,39.36507936507937,47.70206022187005,57.14285714285714,42.857142857142854,2.3771790808240887,0.0,100.0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,16.765532313456134,41.266294227188084,58.733705772811916,61.52981579768967,41.86117312766389,58.138826872336104,21.704651888854197,67.60644418872268,32.39355581127733
7,Dutchess County (Southwest) PUMA,51.28234226055379,46.31555653905731,53.68444346094269,35.95097594189741,64.39393939393939,35.60606060606061,12.766681797548799,64.44444444444444,35.55555555555556
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",15.196289905090596,35.66359119943222,64.33640880056778,67.8062985332183,47.351678065850166,52.648321934149834,16.997411561691113,51.99873096446701,48.00126903553299
9,Dutchess County (North & East) PUMA,23.868825238688252,25.82608695652174,74.17391304347825,59.85886259858862,48.092926490984745,51.907073509015255,16.27231216272312,70.91836734693877,29.081632653061224
10,Erie County (Central) PUMA,35.74935027432862,41.59935379644588,58.40064620355412,55.472133987871786,48.67256637168141,51.32743362831859,8.778515737799596,57.23684210526315,42.76315789473684
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,22.996755481270277,33.09106455750321,66.9089354424968,55.11749090551569,51.98002140563682,48.01997859436318,21.88575361321404,67.38544474393531,32.61455525606469
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",47.701863354037265,34.63541666666667,65.36458333333334,23.850931677018632,18.75,81.25,28.4472049689441,47.161572052401745,52.838427947598255
