,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,1193206,446284,215240,231044,565915,281065,284850,181007,105032,75975
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",8159,6773,2762,4011,1055,0,1055,331,0,331
2,Tompkins County PUMA,5099,3868,1210,2658,1231,747,484,0,0,0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,13597,4032,1468,2564,7562,3645,3917,2003,1053,950
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",42169,14164,6897,7267,24252,11341,12911,3753,1663,2090
5,Madison & Cortland Counties PUMA,97,0,0,0,82,39,43,15,0,15
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,15532,2439,1108,1331,9617,3931,5686,3476,2350,1126
7,Dutchess County (Southwest) PUMA,8174,4266,1960,2306,2858,1730,1128,1050,725,325
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",17541,2701,1005,1696,11838,5320,6518,3002,1489,1513
9,Dutchess County (North & East) PUMA,3766,937,185,752,2045,1025,1020,784,556,228
10,Erie County (Central) PUMA,1391,747,515,232,532,366,166,112,112,0
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,8138,1575,363,1212,4571,2474,2097,1992,1378,614
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",319,185,64,121,121,8,113,13,13,0
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,19461,5731,3140,2591,9308,5218,4090,4422,2554,1868
14,Westchester County (Northeast) PUMA,7270,3731,997,2734,2350,728,1622,1189,1189,0
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,9547,5550,3158,2392,2322,983,1339,1675,1344,331
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,757,42,24,18,476,344,132,239,44,195
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,1896,760,317,443,616,383,233,520,0,520
18,Niagara County (North & East) PUMA,388,0,0,0,144,0,144,244,125,119
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",25717,8262,4173,4089,15477,8086,7391,1978,1318,660
20,"Chenango, Delaware & Broome (East) Counties PUMA",804,619,383,236,145,0,145,40,40,0
21,Oswego County PUMA,423,33,33,0,390,390,0,0,0,0
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",7670,1812,405,1407,3944,1835,2109,1914,1225,689
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,10199,2900,1599,1301,5770,2365,3405,1529,1071,458
24,Ontario & Yates Counties PUMA,898,121,0,121,777,250,527,0,0,0
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",11769,4704,1743,2961,5492,2585,2907,1573,571,1002
26,Erie County (Northwest) PUMA,1374,458,126,332,916,606,310,0,0,0
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,16192,5005,2584,2421,7482,4335,3147,3705,2146,1559
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",8414,2213,1447,766,5007,1946,3061,1194,566,628
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",10957,8570,3995,4575,1355,181,1174,1032,909,123
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",19691,5267,2694,2573,9660,5292,4368,4764,1375,3389
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,25003,11167,5526,5641,10301,6126,4175,3535,2102,1433
32,Erie County (West Central)--Buffalo City (West) PUMA,3991,1725,1130,595,1706,707,999,560,187,373
33,Schenectady County--Schenectady City PUMA,2214,1011,579,432,529,279,250,674,588,86
34,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,6643,3988,1156,2832,2212,1530,682,443,0,443
35,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",201,164,164,0,37,37,0,0,0,0
36,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,7209,2670,1038,1632,3155,1299,1856,1384,628,756
37,Suffolk County (Northwest)--Huntington Town (North) PUMA,5502,1466,1082,384,2104,715,1389,1932,1576,356
38,Erie County (Northeast) PUMA,502,394,209,185,108,0,108,0,0,0
39,Monroe County (North & West) PUMA,497,222,0,222,275,163,112,0,0,0
40,Oneida County (Central)--Greater Utica & Rome Cities PUMA,3173,939,513,426,1481,836,645,753,484,269
41,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",7474,2482,1929,553,3623,1646,1977,1369,956,413
42,Erie County (West Central)--Buffalo City (East) PUMA,1456,992,494,498,382,334,48,82,0,82
43,Suffolk County (Northwest)--Smithtown Town PUMA,2014,776,547,229,992,97,895,246,0,246
44,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,7036,3855,1997,1858,1430,636,794,1751,1298,453
45,NYC-Manhattan Community District 8--Upper East Side PUMA,10766,9613,3958,5655,1153,437,716,0,0,0
46,Suffolk County (Southwest)--Islip Town (South) PUMA,3777,1314,654,660,1727,840,887,736,575,161
47,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",3191,2359,650,1709,593,250,343,239,239,0
48,Erie County (South) PUMA,420,29,0,29,333,333,0,58,0,58
49,Albany County (Outside Albany City) PUMA,5353,3885,2936,949,1468,378,1090,0,0,0
50,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,8447,3039,1365,1674,3996,2377,1619,1412,670,742
51,Erie County (North Central) PUMA,4249,3388,1623,1765,360,66,294,501,0,501
