,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,37.40209150808829,48.22937860196646,51.77062139803353,47.428105457062735,49.665585821192224,50.334414178807776,15.16980303484897,58.026485163557204,41.97351483644279
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",83.0126240960902,40.779565923519854,59.220434076480146,12.930506189484007,0.0,100.0,4.056869714425788,0.0,100.0
2,Tompkins County PUMA,75.85801137477937,31.282316442605996,68.71768355739401,24.14198862522063,60.68237205523964,39.31762794476036,0.0,#DIV/0!,#DIV/0!
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,29.65360005883651,36.40873015873016,63.591269841269835,55.61520923733176,48.201533985718065,51.79846601428194,14.731190703831729,52.57114328507239,47.42885671492761
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",33.588655173231516,48.69387178763061,51.30612821236939,57.511442054589864,46.76315355434603,53.23684644565396,8.899902772178615,44.311217692512656,55.68878230748734
5,Madison & Cortland Counties PUMA,0.0,#DIV/0!,#DIV/0!,84.5360824742268,47.5609756097561,52.4390243902439,15.463917525773196,0.0,100.0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,15.703064640741696,45.428454284542845,54.57154571545716,61.91733195982487,40.875532910471044,59.124467089528956,22.379603399433428,67.60644418872268,32.39355581127733
7,Dutchess County (Southwest) PUMA,52.189870320528506,45.94467885607126,54.05532114392874,34.964521654024956,60.53184044786563,39.46815955213436,12.845608025446536,69.04761904761905,30.952380952380953
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",15.398209908215039,37.20844131803036,62.79155868196964,67.48760047887806,44.94002365264403,55.05997634735598,17.114189612906905,49.600266489007325,50.399733510992675
9,Dutchess County (North & East) PUMA,24.880509824747744,19.74386339381003,80.25613660618997,54.30164630908125,50.12224938875306,49.877750611246945,20.817843866171003,70.91836734693877,29.081632653061224
10,Erie County (Central) PUMA,53.702372393961184,68.94243641231593,31.05756358768407,38.24586628324946,68.796992481203,31.203007518796994,8.05176132278936,100.0,0.0
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,19.353649545342837,23.047619047619047,76.95238095238095,56.16859179159499,54.12382410851018,45.87617589148983,24.477758663062176,69.17670682730925,30.823293172690764
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",57.993730407523515,34.5945945945946,65.4054054054054,37.93103448275862,6.6115702479338845,93.38842975206612,4.075235109717868,100.0,0.0
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,29.448640871486564,54.78974001046938,45.21025998953062,47.82899131596526,56.05930382466695,43.94069617533305,22.72236781254817,57.75667118950702,42.24332881049299
14,Westchester County (Northeast) PUMA,51.32049518569464,26.7220584293755,73.27794157062449,32.32462173314993,30.97872340425532,69.02127659574468,16.35488308115543,100.0,0.0
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,58.13344506127579,56.90090090090089,43.0990990990991,24.321776474285116,42.33419465977605,57.66580534022394,17.54477846443909,80.23880597014926,19.761194029850746
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,5.5482166446499335,57.14285714285714,42.857142857142854,62.87978863936592,72.26890756302521,27.73109243697479,31.571994715984147,18.410041841004183,81.58995815899581
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,40.08438818565401,41.71052631578947,58.28947368421053,32.48945147679325,62.175324675324674,37.82467532467532,27.42616033755274,0.0,100.0
18,Niagara County (North & East) PUMA,0.0,#DIV/0!,#DIV/0!,37.11340206185567,0.0,100.0,62.88659793814433,51.229508196721305,48.77049180327869
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",32.12660885795388,50.50835148874364,49.49164851125635,60.18198079091651,52.24526717064031,47.754732829359696,7.691410351129603,66.6329625884732,33.367037411526795
20,"Chenango, Delaware & Broome (East) Counties PUMA",76.99004975124379,61.873990306946695,38.12600969305331,18.034825870646767,0.0,100.0,4.975124378109453,100.0,0.0
21,Oswego County PUMA,7.801418439716312,100.0,0.0,92.19858156028369,100.0,0.0,0.0,#DIV/0!,#DIV/0!
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",23.6245110821382,22.350993377483444,77.64900662251655,51.42112125162973,46.52636916835699,53.47363083164301,24.954367666232073,64.00208986415883,35.997910135841174
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,28.43416021178547,55.137931034482754,44.862068965517246,56.57417393862143,40.98786828422877,59.01213171577123,14.991665849593097,70.04578155657293,29.954218443427077
24,Ontario & Yates Counties PUMA,13.474387527839642,0.0,100.0,86.52561247216035,32.17503217503218,67.82496782496783,0.0,#DIV/0!,#DIV/0!
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",39.9694111649248,37.05357142857143,62.94642857142857,46.66496728694027,47.068463219227965,52.931536780772035,13.365621548134932,36.30006357279085,63.69993642720916
26,Erie County (Northwest) PUMA,33.33333333333333,27.510917030567683,72.48908296943232,66.66666666666666,66.15720524017468,33.84279475982533,0.0,#DIV/0!,#DIV/0!
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,30.910326086956523,51.628371628371625,48.371628371628375,46.20800395256917,57.939053728949474,42.06094627105052,22.88166996047431,57.9217273954116,42.0782726045884
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",26.301402424530547,65.38635336647086,34.61364663352914,59.507962918944614,38.865588176552826,61.134411823447174,14.19063465652484,47.403685092127304,52.596314907872696
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",78.2148398284202,46.61610268378063,53.383897316219375,12.366523683490007,13.357933579335793,86.64206642066421,9.418636488089806,88.0813953488372,11.918604651162791
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",26.748260626682242,51.148661477121706,48.8513385228783,49.057945254177035,54.78260869565217,45.21739130434783,24.193794119140723,28.862300587741395,71.1376994122586
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,44.66264048314203,49.485089997313516,50.514910002686484,41.19905611326641,59.46995437336181,40.53004562663819,14.138303403591568,59.46251768033947,40.53748231966054
32,Erie County (West Central)--Buffalo City (West) PUMA,43.222250062640946,65.5072463768116,34.492753623188406,42.746178902530694,41.44196951934349,58.55803048065651,14.031571034828364,33.39285714285714,66.60714285714285
33,Schenectady County--Schenectady City PUMA,45.66395663956639,57.27002967359051,42.72997032640949,23.893405600722676,52.74102079395085,47.25897920604915,30.442637759710927,87.24035608308606,12.759643916913946
34,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,60.033117567364144,28.986960882647946,71.01303911735206,33.298208640674396,69.16817359855335,30.831826401446655,6.668673791961463,0.0,100.0
35,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",81.59203980099502,100.0,0.0,18.407960199004975,100.0,0.0,0.0,#DIV/0!,#DIV/0!
36,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,37.03703703703704,38.87640449438202,61.12359550561798,43.76473852129283,41.17274167987321,58.82725832012679,19.198224441670135,45.3757225433526,54.6242774566474
37,Suffolk County (Northwest)--Huntington Town (North) PUMA,26.644856415848782,73.806275579809,26.193724420190996,38.24063976735733,33.9828897338403,66.01711026615969,35.11450381679389,81.57349896480332,18.426501035196686
38,Erie County (Northeast) PUMA,78.48605577689243,53.045685279187815,46.954314720812185,21.51394422310757,0.0,100.0,0.0,#DIV/0!,#DIV/0!
39,Monroe County (North & West) PUMA,44.668008048289735,0.0,100.0,55.33199195171026,59.27272727272728,40.72727272727273,0.0,#DIV/0!,#DIV/0!
40,Oneida County (Central)--Greater Utica & Rome Cities PUMA,29.593444689568233,54.632587859424916,45.367412140575084,46.67507091080996,56.44834571235652,43.55165428764348,23.73148439962181,64.27622841965471,35.723771580345286
41,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",33.208455980733206,77.71958098307816,22.280419016921837,48.47471233609848,45.43196246204803,54.56803753795197,18.316831683168317,69.83199415631847,30.168005843681517
