,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,39.53574471144965,45.68517176284773,54.31482823715227,52.95420238500341,50.83089558529931,49.16910441470069,7.510052903546925,54.69624272107294,45.30375727892706
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",84.83184327590453,48.54556324195063,51.45443675804936,13.950994740121425,53.188616535105936,46.81138346489406,1.217161983974034,7.261904761904763,92.73809523809524
2,Tompkins County PUMA,49.41837144003209,45.243506493506494,54.756493506493506,45.893836074341486,48.78802004428388,51.21197995571612,4.687792485626421,65.31660011409014,34.68339988590987
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,49.43913900257692,45.02529510961214,54.97470489038786,44.75822343489465,50.57405086869645,49.425949131303554,5.802637562528422,63.897596656217345,36.102403343782655
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",41.20675180062746,55.82542491019248,44.17457508980752,53.47090274402368,49.921494091397406,50.0785059086026,5.322345455348858,47.447073474470734,52.552926525529266
5,Madison & Cortland Counties PUMA,29.044104969136868,42.85544672009499,57.14455327990502,63.09700334494293,52.723049596939475,47.276950403060525,7.858891685920204,57.1741992101799,42.82580078982009
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,14.935550370387151,32.85302593659942,67.14697406340058,69.1547923793127,46.33603039931863,53.66396960068136,15.90965725030016,43.59960130998149,56.40039869001852
7,Dutchess County (Southwest) PUMA,35.27027212095482,48.928321814087134,51.07167818591287,55.70741861707227,50.17331661626964,49.82668338373036,9.02230926197291,60.95931997571342,39.04068002428659
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",13.52361845704906,38.46931894807822,61.530681051921775,58.01340507021704,37.32463551695681,62.67536448304318,28.462976472733903,42.96355626752103,57.03644373247897
9,Dutchess County (North & East) PUMA,36.98854066906641,43.940002678451854,56.05999732154815,57.303259469634426,52.78642231443062,47.21357768556938,5.708199861299165,73.85015909748337,26.149840902516637
10,Erie County (Central) PUMA,24.015924422995685,44.20340067160599,55.79659932839402,71.95944648549009,52.362400825417154,47.637599174582846,4.024629091514228,52.44910941475827,47.55089058524173
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,27.50059171597633,45.072725707892246,54.927274292107754,66.10650887573965,51.00608664518439,48.99391335481561,6.392899408284023,59.38541281007035,40.61458718992966
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",26.494226850803713,45.5885494552446,54.41145054475539,66.61761376499888,51.52931180968564,48.47068819031436,6.888159384197419,54.61517392495207,45.38482607504793
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,51.667452459531674,41.775155128361114,58.22484487163888,38.13609932421814,61.22146212808044,38.77853787191956,10.196448216250197,59.92601726263872,40.07398273736128
14,Westchester County (Northeast) PUMA,70.75965946299935,44.351894698956244,55.648105301043756,26.717237866550242,51.14727309865867,48.85272690134132,2.5231026704504114,35.976928622927176,64.02307137707281
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,54.77476025465388,47.98195282232358,52.01804717767643,42.68138716522954,55.57933161306564,44.42066838693436,2.543852580116582,60.61246040126716,39.38753959873284
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,23.793594306049823,51.42087944959617,48.57912055040383,68.90035587188612,50.77733588141108,49.222664118588916,7.306049822064057,44.56892352654652,55.43107647345348
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,51.16689743744105,39.69330927915915,60.30669072084085,45.08257580318263,55.15000445117065,44.84999554882934,3.750526759376317,46.3884430176565,53.6115569823435
18,Niagara County (North & East) PUMA,28.389277774715683,49.85115195443955,50.14884804556045,67.63673776846902,50.42918454935622,49.57081545064378,3.973984456815301,41.97873324086917,58.02126675913084
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",31.075722828300144,39.39582040140699,60.604179598593014,61.05836208928992,51.65683796686324,48.343162033136764,7.865915082409927,61.198910081743875,38.80108991825613
20,"Chenango, Delaware & Broome (East) Counties PUMA",18.82849007009346,34.16383906931653,65.83616093068348,68.78285630841121,50.270686269306296,49.7293137306937,12.388653621495326,67.40828053631944,32.59171946368057
21,Oswego County PUMA,22.508921218775736,44.11047345767575,55.88952654232424,67.4508727454748,52.04318578986427,47.95681421013573,10.040206035749463,56.095207462206496,43.904792537793504
