,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,43.6436724547302,46.97608989422705,53.023910105772956,51.530146086781905,51.29673950576792,48.70326049423208,4.8261814584878895,57.81204852696992,42.18795147303008
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",87.11490728573514,49.81773233889214,50.18226766110785,12.001752080595708,55.90024330900243,44.099756690997566,0.8833406336691487,0.0,100.0
2,Tompkins County PUMA,50.12838403572425,45.50414787595346,54.49585212404654,45.45353056098242,49.16492693110647,50.835073068893536,4.418085403293329,61.59191408717625,38.40808591282375
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,60.87670200742694,48.83967643548601,51.16032356451399,36.43237715946397,51.57692591771919,48.42307408228082,2.69092083310909,40.9,59.099999999999994
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",44.18433991340721,55.12373359906992,44.87626640093008,53.99207455786307,48.80733944954129,51.19266055045871,1.8235855287297278,68.41046277665997,31.58953722334004
5,Madison & Cortland Counties PUMA,28.72006489613092,43.36853739408081,56.63146260591919,63.52943251155081,52.44136016655101,47.55863983344899,7.750502592318273,56.40500568828214,43.59499431171786
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,27.06209453197405,0.0,100.0,71.54772937905469,38.60103626943005,61.398963730569946,1.3901760889712698,100.0,0.0
7,Dutchess County (Southwest) PUMA,37.917648689865516,49.38756855575868,50.61243144424131,56.40683488146402,48.508402715905255,51.491597284094745,5.675516428670456,65.61832061068702,34.38167938931297
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",21.992481203007518,26.495726495726498,73.50427350427351,78.00751879699249,28.915662650602407,71.08433734939759,0.0,#DIV/0!,#DIV/0!
9,Dutchess County (North & East) PUMA,38.106611860986135,44.42932802099023,55.57067197900977,57.27749078857227,51.278487150476806,48.721512849523194,4.615897350441593,68.47172081829122,31.528279181708786
10,Erie County (Central) PUMA,24.01137207840448,44.98125780924615,55.018742190753855,72.42985313446482,53.223006824726816,46.776993175273184,3.558774787130693,62.42472902448816,37.57527097551184
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,31.14580286633519,44.89963610752436,55.10036389247565,63.52003509798186,54.32830666513181,45.671693334868195,5.334162035682948,78.82111034955449,21.17888965044551
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",26.57277553284209,45.546030562802834,54.453969437197166,66.6270501545044,50.740278273278626,49.259721726721374,6.800174312653513,55.25779201864258,44.74220798135741
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,65.49172346640701,42.600852413519675,57.399147586480325,27.97143784485557,61.916918078440474,38.083081921559526,6.536838688737423,38.82820258192651,61.17179741807348
14,Westchester County (Northeast) PUMA,72.52636556133463,44.082882167861904,55.917117832138096,26.301831712682194,51.5085196185712,48.491480381428794,1.1718027259831836,31.2280701754386,68.77192982456141
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,56.991049779986234,47.4184568517254,52.58154314827459,41.01236267848056,52.215166776147726,47.784833223852274,1.9965875415332117,56.52173913043478,43.47826086956522
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,25.38828265706113,53.08796528125521,46.912034718744785,67.505032312745,50.11456731221947,49.885432687780536,7.106685030193876,38.044126416219434,61.955873583780566
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,51.01357229859057,39.94627782041443,60.05372217958557,45.76953192970245,56.46058071567742,43.53941928432258,3.2168957717069775,53.279242731575394,46.72075726842461
18,Niagara County (North & East) PUMA,28.73119035072311,50.40418449833572,49.59581550166428,68.07970802349864,49.97706553523307,50.022934464766934,3.1891016257782465,39.290085679314565,60.709914320685435
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",35.440133500208596,44.20247204237787,55.79752795762213,61.097204839382556,46.466370775008535,53.533629224991465,3.4626616604088447,72.59036144578313,27.40963855421687
20,"Chenango, Delaware & Broome (East) Counties PUMA",18.33314608845448,35.440710856909405,64.5592891430906,69.04093173051717,50.45563028856584,49.54436971143415,12.625922181028349,67.84813881061842,32.15186118938158
21,Oswego County PUMA,23.069078507422763,44.35828683237916,55.64171316762084,67.39166778119566,52.308302944605686,47.691697055394314,9.539253711381571,56.274097441289875,43.725902558710125
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",74.94904576616639,52.74412855377009,47.25587144622991,23.12395775430795,54.24679487179487,45.753205128205124,1.9269964795256624,100.0,0.0
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,29.416139828932693,33.312262958280655,66.68773704171934,64.60580141316474,49.690602964455316,50.30939703554468,5.9780587579025655,41.52410575427683,58.47589424572317
24,Ontario & Yates Counties PUMA,29.479190210196638,43.521358159912374,56.47864184008762,60.358076910658355,52.13309439109851,47.86690560890149,10.162732879145006,54.424146147736295,45.575853852263705
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",72.2403924775143,51.99962271269571,48.00037728730428,25.49741073862088,36.79850347407803,63.20149652592196,2.2621967838648134,92.46987951807229,7.530120481927711
26,Erie County (Northwest) PUMA,35.59819370081741,44.14708558582669,55.85291441417331,61.50372501571938,50.9185538585458,49.081446141454194,2.898081283463217,44.51019066403682,55.48980933596318
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,65.74838551459167,49.19184383936342,50.80815616063658,31.7501839287174,51.11997940267765,48.88002059732235,2.501430556690918,62.41830065359477,37.58169934640523
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",34.03328595662739,53.724909066415194,46.275090933584806,54.13782036587044,42.86924119241192,57.13075880758808,11.828893677502178,59.06976744186046,40.93023255813954
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",88.31060350505197,51.942665890570424,48.05733410942957,11.016336562093393,55.35141440653252,44.64858559346748,0.6730599328546415,32.21957040572792,67.78042959427208
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",44.704049844236756,100.0,0.0,55.295950155763244,100.0,0.0,0.0,#DIV/0!,#DIV/0!
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,69.64910935623195,48.26991523868932,51.73008476131068,27.95113598609727,53.735027886989116,46.264972113010884,2.399754657670781,38.33865814696485,61.66134185303515
