,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,1080418,626435,453983,61124.85226273535,64943,55855,482420,255865,226555,86991.88439326728,97573,75041,470840,280640,190200,42048.86111842664,44652,38207,127158,89930,37228,33623.366158637284,35428,29262
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",6276,2137,4139,152058.07202039516,215957,119066,5778,2137,3641,158669.3423329872,215957,125045,498,0,498,75351.40562248995,0,75351,0,0,0,#DIV/0!,0,0
2,Tompkins County PUMA,2633,1464,1169,78176.9084694265,117790,28566,2282,1113,1169,80100.48203330411,134227,28566,351,351,0,65670.94017094017,65670,0,0,0,0,#DIV/0!,0,0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,12593,7575,5018,72910.11355514968,81261,60302,3567,1814,1753,146347.29464536023,190208,100959,7149,4708,2441,48101.56245628759,51214,42098,1877,1053,824,27841.337240277036,27924,27735
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",31932,18785,13147,52789.46229487661,57504,46052,12349,7223,5126,67002.37104218965,74855,55936,17029,9935,7094,45016.03206295144,47771,41157,2554,1627,927,35897.736883320285,39905,28863
5,Madison & Cortland Counties PUMA,465,212,253,139938.27956989247,279199,23245,297,173,124,213173.40067340067,341419,34250,168,39,129,10469.047619047618,3200,12666,0,0,0,#DIV/0!,0,0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,10287,5307,4980,37238.531155827746,39750,34561,1829,646,1183,61384.62001093494,79519,51481,6656,3324,3332,32438.807091346152,34706,30176,1802,1337,465,30459.267480577135,33078,22929
7,Dutchess County (Southwest) PUMA,5716,3443,2273,80577.14135759273,76848,86224,3385,1524,1861,114439.04283604136,136891,96051,1740,1328,412,35243.9540229885,33199,41832,591,591,0,20098.646362098138,20098,0
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",11414,6557,4857,35455.12440862099,34487,36761,2121,708,1413,41596.039603960395,44326,40228,8090,4966,3124,36038.29295426452,35585,36757,1203,883,320,20706.400665004156,20424,21484
9,Dutchess County (North & East) PUMA,3457,1699,1758,50282.68440844663,56300,44466,759,247,512,72956.52173913043,92995,63289,2123,1105,1018,47567.78144135657,56786,37561,575,347,228,30377.11304347826,28634,33030
10,Erie County (Central) PUMA,2371,1298,1073,42863.44580345845,44469,40920,899,425,474,57886.75194660734,61357,54774,1345,811,534,33597.799256505576,35196,31169,127,62,65,34645.669291338585,50000,20000
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,6751,3701,3050,58020.04591912309,60383,55151,1984,598,1386,75819.50604838709,94898,67587,3648,2283,1365,50997.568530701756,53884,46169,1119,820,299,49355.049151027706,53308,38511
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",458,227,231,146700.78602620086,52687,239086,195,83,112,290758.46153846156,73518,451749,47,36,11,41229.78723404255,21133,107000,216,108,108,39598.42592592593,47196,32000
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,16357,10247,6110,49222.08351164639,46161,54354,6409,3963,2446,79548.04181619597,72032,91724,7305,4319,2986,30528.51745379877,31542,29061,2643,1965,678,27352.024214907302,26119,30923
14,Westchester County (Northeast) PUMA,7610,4054,3556,68725.308804205,83768,51575,4013,1759,2254,95661.02666334414,142301,59263,2332,1030,1302,42075.857632933104,46889,38267,1265,1265,0,32403.95256916996,32403,0
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,8029,5571,2458,76695.94881056172,82709,63066,4910,3271,1639,87561.50712830957,92003,78695,1736,1202,534,82591.34389400922,105358,31344,1383,1098,285,30720.318148951555,30225,32625
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,530,228,302,17983.962264150945,11585,22814,18,0,18,17000.0,0,17000,316,184,132,14485.759493670887,4790,28000,196,44,152,23714.285714285714,40000,19000
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,2500,1352,1148,73327.364,91344,52108,954,613,341,122458.80503144654,125436,117106,964,677,287,56468.257261410785,66276,33332,582,62,520,20717.027491408935,28000,19848
18,Niagara County (North & East) PUMA,244,125,119,28491.803278688523,48000,8000,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,0,0,244,125,119,28491.803278688523,48000,8000
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",19607,12081,7526,46993.50334064365,47326,46458,7125,4033,3092,58965.6449122807,55756,63151,10880,6902,3978,41060.04595588235,44717,34713,1602,1146,456,34043.757802746564,33371,35732
20,"Chenango, Delaware & Broome (East) Counties PUMA",714,409,305,61767.50700280112,45687,83331,631,409,222,68313.78763866879,45687,110000,83,0,83,12000.0,0,12000,0,0,0,#DIV/0!,0,0
