,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,813053,467831,345222,53963.44056414526,55215,52266,328046,174499,153547,78355.07477914683,82784,73321,374035,215761,158274,39519.2248746775,41371,36993,110972,77571,33401,30543.696644198535,31703,27850
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",5052,1643,3409,165838.45209817894,249721,125410,4554,1643,2911,175733.61001317523,249721,133974,498,0,498,75351.40562248995,0,75351,0,0,0,#DIV/0!,0,0
2,Tompkins County PUMA,1711,944,767,48845.061367621274,69300,23668,1360,593,767,44502.5,71449,23668,351,351,0,65670.94017094017,65670,0,0,0,0,#DIV/0!,0,0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,9953,5405,4548,50733.627047121474,54823,45873,2676,1245,1431,86628.47533632287,114958,61980,5488,3107,2381,40888.44752186589,39843,42252,1789,1053,736,27243.258803801007,27924,26269
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",29284,16719,12565,52956.109479579296,57979,46272,11523,6597,4926,66957.41386791634,75600,55382,15809,9011,6798,45838.16876462774,48845,41852,1952,1111,841,27951.239754098362,27425,28645
5,Madison & Cortland Counties PUMA,82,39,43,17253.658536585364,3200,30000,0,0,0,#DIV/0!,0,0,82,39,43,17253.658536585364,3200,30000,0,0,0,#DIV/0!,0,0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,10253,5273,4980,37126.57466107481,39549,34561,1829,646,1183,61384.62001093494,79519,51481,6622,3290,3332,32240.81848384174,34331,30176,1802,1337,465,30459.267480577135,33078,22929
7,Dutchess County (Southwest) PUMA,5362,3133,2229,83824.86758672138,82381,85853,3341,1524,1817,114563.35228973361,136891,95835,1430,1018,412,38345.79020979021,36934,41832,591,591,0,20098.646362098138,20098,0
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",10561,5923,4638,33918.54843291355,32808,35335,2004,708,1296,39762.5748502994,44326,37269,7354,4332,3022,34487.32526516182,33450,35973,1203,883,320,20706.400665004156,20424,21484
9,Dutchess County (North & East) PUMA,2662,1275,1387,43470.788880540946,41669,45126,697,185,512,74375.89670014346,105059,63289,1390,743,647,33390.21582733813,31974,35016,575,347,228,30377.11304347826,28634,33030
10,Erie County (Central) PUMA,908,791,117,52193.711453744494,56888,20452,498,425,73,54562.14859437751,61357,15000,410,366,44,49316.92682926829,51699,29500,0,0,0,#DIV/0!,0,0
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,5374,2943,2431,54590.16189058429,53698,55669,1220,187,1033,69447.62295081967,71061,69155,3269,2058,1211,50166.14561027837,52056,46953,885,698,187,50450.056497175145,53887,37620
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",96,57,39,51672.5,43783,63202,64,36,28,49373.4375,52000,45996,19,8,11,83126.31578947368,50300,107000,13,13,0,17020.0,17020,0
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,13553,8411,5142,47590.23242086623,42705,55580,4413,2542,1871,88367.48243825062,72566,109834,6497,3904,2593,28125.7995998153,31609,22880,2643,1965,678,27352.024214907302,26119,30923
14,Westchester County (Northeast) PUMA,5870,2837,3033,56902.11243611584,67950,46567,2728,997,1731,77826.50293255132,121258,52810,1953,651,1302,44052.07373271889,55621,38267,1189,1189,0,30000.84104289319,30000,0
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,7148,5166,1982,73429.7006155568,81917,51307,4248,3085,1163,83546.61016949153,90518,65051,1517,983,534,84036.45352669743,112660,31344,1383,1098,285,30720.318148951555,30225,32625
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,530,228,302,17983.962264150945,11585,22814,18,0,18,17000.0,0,17000,316,184,132,14485.759493670887,4790,28000,196,44,152,23714.285714285714,40000,19000
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,1465,565,900,67763.14675767918,88206,54929,587,317,270,116367.46166950597,102500,132648,358,248,110,57664.804469273746,69935,30000,520,0,520,19848.673076923078,0,19848
18,Niagara County (North & East) PUMA,244,125,119,28491.803278688523,48000,8000,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,0,0,244,125,119,28491.803278688523,48000,8000
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",18492,11097,7395,46692.33290071382,46626,46790,6699,3680,3019,60586.53828929691,57586,64243,10425,6447,3978,39867.84652278177,43048,34713,1368,970,398,30660.16081871345,28834,35110
20,"Chenango, Delaware & Broome (East) Counties PUMA",688,383,305,60322.67441860465,42000,83331,605,383,222,66952.06611570247,42000,110000,83,0,83,12000.0,0,12000,0,0,0,#DIV/0!,0,0
21,Oswego County PUMA,423,423,0,33840.59101654846,33840,0,33,33,0,55000.0,55000,0,390,390,0,32050.17948717949,32050,0,0,0,0,#DIV/0!,0,0
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",5449,2577,2872,45704.295467058175,33671,56501,1541,288,1253,85639.844256976,40444,96027,2763,1321,1442,30110.861382555195,35096,25543,1145,968,177,29585.498689956334,29710,28900
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,5953,3751,2202,48416.76801612632,50498,44870,1840,1156,684,70757.34782608696,71726,69120,3465,1999,1466,38801.47186147186,42599,33622,648,596,52,36395.67901234568,35819,43000
