,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,4858204,2648270,2209934,73103.27338930189,82842,61432,2262913,1135719,1127194,100195.29573651307,120392,79845,2407050,1381552,1025498,50655.465348871025,56375,42949,188241,130999,57242,34461.8869640514,36417,29986
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",56000,27523,28477,148031.29725,169047,127719,49767,24107,25660,154769.65189784396,181624,129539,6171,3416,2755,94864.58920758386,80288,112937,62,0,62,31000.0,0,31000
2,Tompkins County PUMA,24152,12032,12120,62408.90953130175,72398,52491,13401,6565,6836,79709.04208641146,95467,64575,10006,5031,4975,41941.0263841695,45410,38432,745,436,309,26117.046979865772,36456,11528
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,45433,24016,21417,102347.78209671384,122030,80276,24906,13040,11866,146257.90588613186,181050,108023,18860,9554,9306,51455.85790031814,56610,46163,1667,1422,245,22081.52369526095,20355,32101
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",30896,18404,12492,64844.34133868462,65018,64587,13775,7829,5946,72917.55862068966,66773,81006,16133,10145,5988,60813.23064526127,65310,53193,988,430,558,18108.856275303642,26175,11892
5,Madison & Cortland Counties PUMA,38792,21754,17038,50178.307047844915,55109,43882,12977,6275,6702,70346.26030669647,80426,60908,24329,14273,10056,40696.56652554565,46014,33147,1486,1206,280,29291.184387617766,31016,21859
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,22361,11028,11333,42118.71070166808,44543,39759,4769,1433,3336,56326.949045921574,60048,54728,15526,8496,7030,39010.03478036841,41987,35411,2066,1099,967,32683.189738625362,44087,19722
7,Dutchess County (Southwest) PUMA,46577,25206,21371,66518.54481825794,76390,54875,20054,10066,9988,87992.98823177422,104807,71047,25092,14549,10543,50849.13024071417,58226,40668,1431,591,840,40332.98392732355,39542,40889
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",17274,7423,9851,41196.9179113118,46058,37533,4137,1433,2704,56934.053662073966,70803,49583,9046,3725,5321,43757.45965067433,51794,38130,4091,2265,1826,19620.972867269615,20970,17946
9,Dutchess County (North & East) PUMA,38965,21990,16975,68604.43705889901,71959,64258,16413,8005,8408,90721.14531164321,100346,81556,21259,12993,8266,53639.82605014347,57503,47567,1293,992,301,33903.070378963654,32234,39401
10,Erie County (Central) PUMA,53883,28352,25531,53275.211810775196,61579,44053,15796,7444,8352,68936.64320081033,84995,54623,37273,20330,16943,46984.42416762804,53675,38956,814,578,236,37413.48894348894,38009,35953
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,26401,13435,12966,63074.61800689368,72880,52914,8608,4372,4236,85023.98815055762,91954,77871,16203,8270,7933,55170.18823674628,67027,42809,1590,793,797,24794.930817610064,28759,20849
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",33752,20149,13603,52059.456032235124,58844,42008,10608,5277,5331,77416.93420060331,99217,55836,21782,13870,7912,41445.16490680378,45898,33638,1362,1002,360,24312.29074889868,25426,21211
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,22022,11779,10243,60621.76664244846,62890,58012,13236,5634,7602,74759.66492898157,84877,67261,7643,5325,2318,41741.164464215624,45252,33674,1143,820,323,23154.768153980753,26366,15000
14,Westchester County (Northeast) PUMA,37221,21476,15745,154805.2291985707,192391,103538,28013,15808,12205,170572.72373540857,222480,103341,8629,5359,3270,110413.5387646309,112973,106218,579,309,270,53529.01554404145,30399,80000
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,24505,15711,8794,98793.4947969802,111922,75336,14411,8797,5614,126740.85004510444,150593,89364,9654,6740,2914,60713.37683861612,63723,53750,440,174,266,18966.5,23879,15752
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,31987,19587,12400,52502.93469221871,57936,43920,10039,6156,3883,73457.1630640502,85171,54885,20679,12613,8066,43867.63924754582,46210,40204,1269,818,451,27451.536643026004,33787,15960
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,32949,18630,14319,96139.88992078666,110473,77490,17841,8497,9344,110091.16041701699,136562,86019,14014,9413,4601,74312.67589553304,79963,62752,1094,720,374,148225.77696526507,201475,45713
18,Niagara County (North & East) PUMA,36445,20199,16246,54920.093840032925,62576,45400,12843,6875,5968,70592.43136338862,80701,58947,22972,12924,10048,46070.769806721226,52531,37761,630,400,230,58105.555555555555,75642,27606
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",30580,14566,16014,59270.40647482014,68054,51280,11605,4889,6716,70959.6234381732,84253,61282,18409,9677,8732,53089.47797273073,59870,45574,566,0,566,20633.21554770318,0,20633
20,"Chenango, Delaware & Broome (East) Counties PUMA",35245,19654,15591,45209.55278762945,48983,40452,7498,2726,4772,59037.572686049614,70024,52761,25036,14626,10410,42209.25339511104,47164,35247,2711,2302,409,34672.11361121357,35623,29318
21,Oswego County PUMA,39083,22426,16657,48622.824450528366,52881,42889,10255,4839,5416,67809.22086786933,75398,61028,26488,15874,10614,41773.476593174266,46565,34606,2340,1713,627,42071.1282051282,47797,26426
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",21141,11022,10119,55068.58048342084,58871,50926,13207,6531,6676,65451.015370636786,74312,56781,7772,4329,3443,38036.19402985075,36814,39572,162,162,0,25777.777777777777,25777,0
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,17594,8898,8696,54149.95487097874,57289,50937,6600,3258,3342,71001.16666666667,76029,66099,10094,5228,4866,44610.9972260749,45596,43551,900,412,488,37559.11111111111,57473,20746
24,Ontario & Yates Counties PUMA,44454,26100,18354,55548.26429567643,64411,42944,13435,6536,6899,87096.24086341645,121971,54055,26759,16381,10378,43405.60667438993,46775,38087,4260,3183,1077,32327.2103286385,36983,18566
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",20851,11367,9484,84514.97693156204,98248,68054,12690,6439,6251,107386.96485421591,136777,77112,7607,4621,2986,49561.95609307217,49759,49255,554,307,247,40547.65342960289,20000,66086
26,Erie County (Northwest) PUMA,36810,20473,16337,51885.9087204564,57202,45223,15054,7546,7508,67658.16394313803,81123,54124,20794,12411,8383,41393.49812445898,43352,38492,962,516,446,31868.91891891892,40485,21900
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,27348,14433,12915,66727.06728097118,73764,58862,15934,7853,8081,82380.15438684574,94156,70935,10090,5403,4687,48162.14033696729,56131,38975,1324,1177,147,19826.63141993958,18645,29282
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",15507,8691,6816,65751.08189849745,74622,54439,6565,3271,3294,88981.36481340442,112317,65807,7874,4503,3371,49342.09639319278,52901,44587,1068,917,151,43932.30337078652,46825,26364
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",60342,35239,25103,170015.1504756223,196915,132253,54869,31535,23334,175760.2436712898,205078,136137,5283,3514,1769,113764.03558584138,130246,81023,190,190,0,75000.0,75000,0
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",13578,6043,7535,41419.44402710267,43557,39704,3061,1189,1872,51998.69683110095,44399,56825,8662,3858,4804,41066.578157469405,45419,37571,1855,996,859,25609.973045822102,35341,14326
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,43085,22817,20268,62052.65011024719,67100,56370,29339,14825,14514,70246.03019871161,76702,63650,11968,6917,5051,47706.99866310161,52819,40705,1778,1075,703,23415.517435320584,26557,18611
32,Erie County (West Central)--Buffalo City (West) PUMA,30500,17023,13477,52936.95750819672,57971,46577,15124,8438,6686,69128.6891034118,76222,60176,14174,7855,6319,37775.754903344154,41003,33763,1202,730,472,27987.820299500832,29601,25492
33,Schenectady County--Schenectady City PUMA,48053,23947,24106,54850.846273905896,60388,49349,17905,8059,9846,75037.14716559621,88348,64141,28660,15051,13609,43496.41646894626,46513,40159,1488,837,651,30645.362903225807,40686,17734
