,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,3619934,2035692,1584242,79195.94735069755,90152,65117,1785840,932545,853295,106051.21477343995,127289,82840,1736927,1028567,708360,53719.24714740458,59993,44609,97167,74580,22587,41034.40773101979,41731,38732
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",45751,23176,22575,155346.49834976284,176347,133786,41015,20744,20271,161160.01331220285,186530,135197,4736,2432,2304,104999.9366554054,89490,121370,0,0,0,#DIV/0!,0,0
2,Tompkins County PUMA,23516,11948,11568,62869.70500935533,72323,53104,13143,6481,6662,79839.82903446701,95628,64479,9628,5031,4597,42547.975695887,45410,39414,745,436,309,26117.046979865772,36456,11528
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,26872,15513,11359,132137.53401309912,154408,101722,17557,10183,7374,171036.77245543088,201734,128645,8963,4978,3985,59925.60526609394,66348,51902,352,352,0,30664.772727272728,30664,0
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",17608,11322,6286,75311.45899591094,74011,77653,8467,4764,3703,79930.57399314988,70879,91574,8995,6412,2583,71573.9244024458,77164,57696,146,146,0,37702.397260273974,37702,0
5,Madison & Cortland Counties PUMA,37867,21181,16686,50397.73911321203,55697,43670,12508,6119,6389,70922.51519027822,81053,61220,23945,13928,10017,40944.09968678221,46595,33086,1414,1134,280,28929.20792079208,30674,21859
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,686,155,531,58214.28571428572,132000,36676,261,0,261,32869.73180076628,0,32869,425,155,270,73778.82352941176,132000,40355,0,0,0,#DIV/0!,0,0
7,Dutchess County (Southwest) PUMA,38147,20978,17169,68406.1756363541,77715,57031,17321,8849,8472,88374.2962877432,104417,71617,20019,11841,8178,51709.885408861584,58179,42342,807,288,519,54001.239157372984,60491,50399
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",434,127,307,60216.22119815668,93800,46323,234,62,172,70005.29914529914,125000,50181,200,65,135,48763.0,64040,41407,0,0,0,#DIV/0!,0,0
9,Dutchess County (North & East) PUMA,35949,19731,16218,68793.25906144816,72950,63735,15342,7379,7963,90693.08421327076,99670,82374,19459,11505,7954,53471.704712472376,58640,45996,1148,847,301,35827.238675958186,34557,39401
10,Erie County (Central) PUMA,48382,25893,22489,54562.42251250465,63246,44563,14021,6711,7310,70094.70194707937,87415,54193,33547,18604,14943,48486.80150236981,55312,39988,814,578,236,37413.48894348894,38009,35953
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,16471,9166,7305,71019.50336955862,80120,59599,6012,3033,2979,94119.10179640718,102580,85503,9482,5465,4017,60865.18245095971,74122,42829,977,668,309,27425.322415557832,27218,27873
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",32612,19377,13235,51424.56028455783,58559,40978,10326,5184,5142,74922.02576021693,96070,53600,20924,13191,7733,41593.3656088702,46334,33505,1362,1002,360,24312.29074889868,25426,21211
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,10544,5619,4925,73863.19850151746,85882,60149,8086,3750,4336,80622.76094484294,99187,64567,2331,1742,589,53508.37408837409,62257,27631,127,127,0,17085.826771653545,17085,0
14,Westchester County (Northeast) PUMA,33378,19179,14199,160003.56791898856,202882,102086,25349,14306,11043,174406.52254526806,231504,100437,7669,4783,2886,116539.0728908593,120204,110463,360,90,270,71750.0,47000,80000
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,22080,13864,8216,101542.32291666667,117340,74884,13391,8109,5282,127510.24942125309,153519,87580,8332,5581,2751,63158.63418146904,67686,53972,357,174,183,23324.929971988797,23879,22797
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,28136,16919,11217,53367.4424936025,59108,44707,9112,5806,3306,72774.73222124671,81983,56603,18077,10617,7460,44922.27703711899,47556,41173,947,496,451,27838.43717001056,38639,15960
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,30488,17682,12806,97871.58990422462,112038,78310,16423,7946,8477,113178.73671071058,140729,87353,13024,9069,3955,74023.00675675676,79261,62010,1041,667,374,154754.08261287224,215895,45713
18,Niagara County (North & East) PUMA,34790,19413,15377,55642.765737280824,63474,45754,12365,6845,5520,71558.96449656288,80726,60191,21859,12202,9657,46556.60021043964,53444,37853,566,366,200,58841.87279151943,75237,28837
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",6595,3468,3127,81138.39272175891,97810,62648,2635,1431,1204,87799.45730550284,101855,71093,3960,2037,1923,76706.09343434343,94968,57360,0,0,0,#DIV/0!,0,0
20,"Chenango, Delaware & Broome (East) Counties PUMA",34584,19491,15093,44870.75433726579,49189,39293,7190,2672,4518,57550.93184979138,70530,49874,24695,14517,10178,42282.76444624418,47413,34965,2699,2302,397,34770.692849203406,35623,29826
