,puma,BABS_Poverty_Total,BABS_Poverty_M,BABS_Poverty_F,HS_Poverty_Total,HS_Poverty_M,HS_Poverty_F,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,13.05756207326082,13.433473754423911,12.714317392268459,26.238472537872248,24.315477924145718,28.14664141719973,41.01814178354316,41.98027772187563,39.73832734735762
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",16.862425863472495,34.36732186732186,6.195021523488677,25.336322869955158,0.0,26.840855106888363,55.25876460767947,#DIV/0!,55.25876460767947
2,Tompkins County PUMA,23.621566632756867,31.271676300578033,19.46624803767661,24.045491470349308,31.32530120481928,12.8099173553719,#DIV/0!,#DIV/0!,#DIV/0!
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,12.949506241848333,10.664753706360592,14.407814407814406,25.70873786407767,23.961113229126955,27.522754254056192,7.176175098672408,12.060778727445394,4.2099192618223755
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",10.703840904659778,7.1372343217003404,14.204764971023826,27.343602877481075,23.203118655079997,30.924287118977382,34.71040066431389,31.179531656548136,37.953006770211076
5,Madison & Cortland Counties PUMA,0.0,0.0,0.0,13.953488372093023,24.418604651162788,0.0,#DIV/0!,#DIV/0!,#DIV/0!
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,17.35567970204842,29.693140794223826,8.687381103360812,46.2248832961234,40.654545454545456,50.235643218711814,29.919447640966627,30.0,29.75133214920071
7,Dutchess County (Southwest) PUMA,9.670281035627351,7.405637840420449,11.624072547403133,46.95228143504006,53.29890992541595,37.145390070921984,70.80223880597015,100.0,21.75
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",18.026969481902057,20.99502487562189,16.381687810259237,39.90774614283442,25.71380584481021,52.67371601208459,71.54187817258884,59.24344112263575,84.86450760079313
9,Dutchess County (North & East) PUMA,8.521739130434783,0.0,11.48886283704572,27.630637079455976,39.93831919814957,16.967267869071474,57.39795918367348,80.93525179856115,0.0
10,Erie County (Central) PUMA,14.297253634894991,34.368932038834956,0.0,44.87246225923998,38.18181818181819,51.21703853955375,36.84210526315789,64.36781609195403,0.0
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.0,0.0,0.0,14.466642882625758,16.197666437886067,12.592867756315007,39.083557951482476,40.733333333333334,35.67493112947658
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",5.729166666666666,0.0,8.764940239043826,14.583333333333334,77.77777777777779,0.0,5.676855895196507,12.037037037037036,0.0
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,4.721955896452541,2.826041448607913,7.261003644519204,29.526029526029525,31.151448478181155,27.695167286245354,53.68677635588056,50.72195483154387,57.29072907290729
