,puma,BABS_Poverty_Total,BABS_Poverty_M,BABS_Poverty_F,HS_Poverty_Total,HS_Poverty_M,HS_Poverty_F,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,13.954090127712426,14.969572137440315,13.014262442811589,27.566690744135773,25.260428806563702,29.826558722662615,43.39440694310511,44.05853093156903,42.488071072680775
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",17.61405580983316,40.51412020275163,1.8449264522562951,32.132701421800945,#DIV/0!,32.132701421800945,100.0,#DIV/0!,100.0
2,Tompkins County PUMA,27.094105480868663,44.71074380165289,19.0744920993228,24.045491470349308,31.32530120481928,12.8099173553719,#DIV/0!,#DIV/0!,#DIV/0!
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,17.237103174603174,15.190735694822887,18.408736349453978,22.0973287490082,28.834019204389577,15.82844013275466,6.340489266100849,12.060778727445394,0.0
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",10.364303868963571,7.887487313324634,12.715013072794825,29.160481609764144,24.116039149986772,33.59151111455348,42.44604316546763,38.484666265784725,45.59808612440192
5,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,47.5609756097561,100.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,13.489134891348915,29.693140794223826,0.0,47.364042840802746,42.660900534215216,50.61554695743933,29.919447640966627,30.0,29.75133214920071
7,Dutchess County (Southwest) PUMA,8.462259728082513,7.908163265306123,8.933217692974848,52.63568918391254,64.82903000697837,37.145390070921984,76.12838515546639,100.0,26.769230769230766
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",18.807848944835246,20.99502487562189,17.51179245283019,42.38891704679845,28.778195488721803,53.49800552316661,75.1165889407062,65.21155137676293,84.86450760079313
9,Dutchess County (North & East) PUMA,10.458911419423693,0.0,13.031914893617023,39.488491048593346,55.401069518716575,24.901960784313726,57.39795918367348,80.93525179856115,0.0
10,Erie County (Central) PUMA,23.694779116465863,34.368932038834956,0.0,14.661654135338345,0.0,46.98795180722892,100.0,100.0,#DIV/0!
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.0,0.0,0.0,17.742288339531832,19.078415521422798,16.165951359084406,43.674698795180724,44.339622641509436,42.18241042345277
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,#DIV/0!
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,6.8748909439888335,4.2993630573248405,9.996140486298726,31.707867705158595,30.9708534283917,32.567237163814184,52.26142017186793,50.11746280344558,55.192719486081366
14,Westchester County (Northeast) PUMA,11.096220852318412,6.920762286860582,12.618873445501096,5.23404255319149,7.142857142857142,4.37731196054254,28.259041211101767,28.259041211101767,#DIV/0!
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,3.6036036036036037,2.311589613679544,5.309364548494983,8.05340223944875,0.0,13.965646004480956,35.1044776119403,40.327380952380956,13.897280966767372
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,57.14285714285714,100.0,0.0,55.04201680672269,76.16279069767442,0.0,63.59832635983263,0.0,77.94871794871796
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.0,0.0,0.0,11.2012987012987,0.0,29.613733905579398,0.0,#DIV/0!,0.0
18,Niagara County (North & East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,0.0,48.77049180327869,0.0,100.0
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",4.889857177438877,2.3963575365444525,7.434580582049401,13.374685016476063,11.254019292604502,15.694763902043023,12.154989384288747,17.374810318664643,0.0
20,"Chenango, Delaware & Broome (East) Counties PUMA",2.2617124394184165,0.0,5.932203389830509,57.24137931034483,#DIV/0!,57.24137931034483,100.0,100.0,#DIV/0!
21,Oswego County PUMA,0.0,0.0,#DIV/0!,26.666666666666668,26.666666666666668,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",14.955849889624723,28.888888888888886,10.945273631840797,27.83975659229209,35.694822888283376,21.00521574205785,41.60857908847185,41.75170068027211,41.36429608127721
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,14.586206896551722,18.19887429643527,10.146041506533436,31.802426343154245,22.536997885835095,38.23788546255506,44.931327665140614,50.98039215686274,30.786026200873362
24,Ontario & Yates Counties PUMA,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",2.232142857142857,6.024096385542169,0.0,24.89075018208303,18.8394584139265,30.27175782593739,32.73998728544183,39.404553415061294,28.942115768463072
26,Erie County (Northwest) PUMA,29.257641921397383,0.0,40.36144578313253,90.28384279475983,85.31353135313532,100.0,#DIV/0!,#DIV/0!,#DIV/0!
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,16.223776223776223,28.25077399380805,3.3870301528294093,26.4635124298316,32.17993079584775,18.589132507149667,47.530364372469634,37.32525629077353,61.577934573444516
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",9.715318572074109,2.8334485141672427,22.715404699738905,23.88655881765528,23.53545734840699,24.109768049656974,26.968174204355112,47.70318021201413,8.280254777070063
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",18.72937293729373,18.239959068815555,19.147540983606557,25.387453874538746,0.0,29.3015332197615,65.60077519379846,74.47744774477447,0.0
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",34.17505221188533,31.365998515219008,37.11620676253401,43.9648033126294,46.08843537414966,41.39194139194139,71.76742233417296,83.70909090909092,66.92239598701681
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,22.593355422226203,27.705392689106045,17.58553447970218,29.919425298514707,22.624877571008813,40.622754491017965,32.67326732673268,32.20742150333017,33.356594556873695
32,Erie County (West Central)--Buffalo City (West) PUMA,34.87084870848708,24.442289039767218,52.94117647058824,77.72567409144196,67.60961810466762,84.88488488488488,90.71428571428571,100.0,86.05898123324397
33,Schenectady County--Schenectady City PUMA,17.903066271018794,15.889464594127805,20.60185185185185,43.28922495274102,82.07885304659499,0.0,65.43026706231454,60.37414965986394,100.0
34,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,15.748230535894844,13.167259786476867,16.772598870056495,29.972875226039786,27.254901960784313,36.070381231671554,72.00902934537245,#DIV/0!,72.00902934537245
35,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
36,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,16.55430711610487,30.828516377649322,7.4754901960784315,35.752773375594295,30.86989992301771,39.17025862068966,24.13294797687861,53.18471337579618,0.0
37,Suffolk County (Northwest)--Huntington Town (North) PUMA,28.035470668485672,25.231053604436227,35.9375,9.173003802281368,0.0,13.894888408927287,20.80745341614907,21.383248730964468,18.258426966292134
38,Erie County (Northeast) PUMA,0.0,0.0,0.0,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
39,Monroe County (North & West) PUMA,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
40,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.0,0.0,0.0,48.717948717948715,43.946932006633496,53.17829457364341,49.60505529225908,63.46153846153846,30.855018587360593
