,puma,BABS_Poverty_Total,BABS_Poverty_M,BABS_Poverty_F,HS_Poverty_Total,HS_Poverty_M,HS_Poverty_F,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,6.482162129934572,5.965754131196423,6.91585534815801,20.839945741540813,17.602300436802103,24.12118299155684,53.511741972172445,47.083170416398076,60.791572094730164
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",7.73763771457853,9.299461665669751,6.264108352144469,12.91042397194772,15.73816155988858,9.669327251995439,35.0,100.0,29.910141206675224
2,Tompkins County PUMA,8.982683982683982,10.477215644061715,7.747801166123135,20.29325513196481,18.024870216105278,22.436409262005245,54.9343981745579,37.64192139737991,87.5
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,4.766605991423194,4.800712231201206,4.738644657795745,19.42628780438243,19.513828433670394,19.336713717966287,30.799373040752354,19.950940310711367,50.0
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",6.6663079737436775,7.615734029187204,5.473965287049399,15.538608198284079,11.584908803198136,19.455445544554458,27.021972884525482,7.163053722902922,46.567717996289424
5,Madison & Cortland Counties PUMA,6.4648263579697245,11.04031029228425,3.033451070018699,21.21212121212121,17.99487206320967,24.768625636279502,40.23694602896007,45.241749808135076,33.55532786885246
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,10.32913696344608,4.20129270544783,13.327309690535353,39.58462999967242,36.66313184870979,42.1071908191918,64.51658835255589,54.04964075767472,72.60792729108812
7,Dutchess County (Southwest) PUMA,6.338989662570704,7.11424451209742,5.603284421804911,19.638105375199576,15.487227029254225,23.659132864341665,55.31754979331078,69.89090909090909,39.73561430793157
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",17.06001348617667,20.201577563540756,15.095890410958903,51.473267326732675,45.13962907695587,55.218048903453486,73.71192482177577,63.6607313804327,81.08411739924168
9,Dutchess County (North & East) PUMA,3.919467880898174,6.309052118256629,2.046504220417264,9.984689742127225,8.6268956157432,11.390857980933756,33.57118586476385,38.35213339872487,22.787610619469024
10,Erie County (Central) PUMA,2.7557166462342093,3.5572169299409135,2.1207489491784486,16.64838622673739,15.071438479678182,18.34646551402218,67.55725190839695,77.1376591873863,56.98996655518395
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,4.2000172131852995,6.3204124498758825,2.4600438733939205,9.505907626208378,10.978520286396181,7.972814966384098,42.11905653313366,42.249047013977126,41.93254329990884
