,puma,BABS_Poverty_Total,BABS_Poverty_M,BABS_Poverty_F,HS_Poverty_Total,HS_Poverty_M,HS_Poverty_F,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,5.72023690900238,5.280018326389729,6.1097375198464725,16.441825052989543,14.115466328262016,18.867820723659754,43.24840889834683,39.36253395154874,48.4961883678063
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",7.14824436436772,7.153370621136297,7.143155345885694,7.623179423613263,13.384113166485308,0.0,0.0,#DIV/0!,0.0
2,Tompkins County PUMA,8.189967151049496,9.445735959867857,7.141397629750715,20.684119535687824,18.85815334091196,22.430245198695495,59.75994946304485,42.46153846153846,87.5
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,2.4046324536975647,4.733460041632727,0.18144116122343182,11.958047123125786,15.637977946441358,8.038438071995119,36.6,0.0,61.92893401015228
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",4.351436638432154,5.784874962338054,2.5906735751295336,12.472677595628415,7.640354579991558,17.03172706756936,2.506265664160401,0.0,16.94915254237288
5,Madison & Cortland Counties PUMA,6.686724794301854,11.28415687384964,3.165998048357367,21.33214573997272,17.98266602860637,25.011682242990652,40.477815699658706,45.34086325131101,34.18580375782881
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.0,#DIV/0!,0.0,18.523316062176164,47.98657718120805,0.0,100.0,100.0,#DIV/0!
7,Dutchess County (Southwest) PUMA,5.996343692870202,7.375532111789747,4.650532779483474,16.110209685471794,10.610455746793013,21.270033262775932,61.15485564304461,74.5057232049948,38.36589698046181
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.0,0.0,0.0,59.518072289156635,72.91666666666666,54.067796610169495,#DIV/0!,#DIV/0!,#DIV/0!
9,Dutchess County (North & East) PUMA,4.266070647684757,6.791338582677166,2.2470927690828013,10.125421619674494,7.929742993671704,12.384559165503953,26.313678299237864,26.36203866432337,26.208651399491096
10,Erie County (Central) PUMA,3.076099244362468,3.902116402116402,2.4007786309073214,15.930879158112928,15.484919495048757,16.42842083069787,60.859092733841834,75.7556270096463,36.11111111111111
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,5.387956332902923,7.895424836601308,3.344695355773328,6.175895015540463,7.077020870854963,5.103969754253308,23.51294611616515,30.0,0.0
