,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
0,Total Geo,4.6495025414730895,4.375171102113741,4.930031420478195,6.200213712602419,5.894007087690795,6.571342677839991,5.636119758054312,4.116643097478909,8.442459066592214
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",6.127956818542626,18.477740545715655,0.0,28.32832832832833,100.0,22.51082251082251,0.0,#DIV/0!,0.0
2,Tompkins County PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,12.20361105068523,5.4041128646580585,17.877094972067038,10.370768404083826,1.8898597845966265,19.89051094890511,0.0,0.0,0.0
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",2.897284705539783,2.36272439281943,3.5546177568576534,2.9675223940349293,0.4872326987277813,6.056179775280899,0.0,0.0,0.0
5,Madison & Cortland Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,2.4928092042186005,0.0,3.6111111111111107,0.0,0.0,0.0,0.0,0.0,0.0
7,Dutchess County (Southwest) PUMA,2.0342612419700217,0.0,4.191947049089906,1.4084507042253522,2.0796197266785503,0.0,0.0,0.0,0.0
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",2.35827664399093,6.364749082007344,0.0,8.226194209261001,3.2103037293348713,14.20389461626575,19.44111776447106,21.172638436482085,17.7760375880971
9,Dutchess County (North & East) PUMA,0.0,0.0,0.0,11.585365853658537,19.892058596761757,3.4664657121326297,0.0,0.0,0.0
10,Erie County (Central) PUMA,18.402426693629927,42.8235294117647,0.0,0.0,0.0,0.0,41.776315789473685,35.63218390804598,50.0
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,7.622347336509311,22.739018087855296,0.0,0.0,0.0,0.0,17.744833782569632,16.2,20.9366391184573
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",15.51155115511551,35.338345864661655,0.0,47.77777777777778,0.0,79.62962962962963,0.0,0.0,0.0
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,7.849878240939693,5.1051760813046565,12.072727272727272,6.041099282000495,3.537638831756479,9.82587064676617,4.032899973467764,0.0,10.772501771793054
14,Westchester County (Northeast) PUMA,3.5764050162563863,4.832291074474133,2.7090694935217905,4.921618665694496,12.195121951219512,0.0,0.0,0.0,#DIV/0!
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,1.1650485436893203,0.0,2.929427430093209,0.0,0.0,0.0,31.00069979006298,36.15664845173042,13.897280966767372
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,0.0,#DIV/0!,0.0,18.556701030927837,33.9622641509434,0.0,17.99163179916318,0.0,22.05128205128205
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.0,0.0,0.0,14.943342776203966,16.625615763546797,12.666666666666668,0.0,0.0,0.0
18,Niagara County (North & East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,38.88888888888889,#DIV/0!,38.88888888888889,0.0,0.0,#DIV/0!
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",2.7133307117577665,3.687177078440582,1.483239394838327,4.629117623824946,5.153565851119208,3.819095477386935,0.0,0.0,0.0
20,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
21,Oswego County PUMA,0.0,0.0,0.0,21.85430463576159,21.85430463576159,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",5.477528089887641,19.435215946843854,0.0,21.382591659669746,30.773955773955773,13.52185089974293,0.0,0.0,0.0
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,5.402496771416272,4.352596927578639,6.903765690376569,11.926605504587156,14.372759856630823,9.461899602744674,9.32475884244373,10.29585798816568,0.0
24,Ontario & Yates Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",0.0,0.0,0.0,1.6111473982146745,0.0,3.3590558329550615,0.0,0.0,0.0
26,Erie County (Northwest) PUMA,31.608133086876155,54.632587859424916,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,10.753894080996885,11.945288753799392,9.926082365364309,7.1705822267620025,11.278920308483292,0.0,0.0,0.0,0.0
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",0.0,0.0,0.0,5.578590275160196,10.846463906192746,0.0,0.0,0.0,0.0
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",5.0325682382134,9.112608817747823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",1.5039232781168266,2.9274501484938478,0.0,11.290134267367193,7.098166127292341,16.23409669211196,8.849887976101568,7.79816513761468,9.357696566998893
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,10.258064516129032,11.191803916482947,9.333675696495057,3.3354714560615775,1.8039756405837069,5.837087087087087,11.004915346805024,10.058187863674148,12.818471337579618
32,Erie County (West Central)--Buffalo City (West) PUMA,4.675810473815462,7.5452716297786715,0.0,2.6542800265428004,0.0,6.90846286701209,0.0,0.0,0.0
