,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
0,Total Geo,3.3771460210709896,3.581809437601105,3.1908141820843525,7.093860781110406,7.432138612749085,6.707526280280707,15.840679097570968,15.625286779685904,16.192073140302025
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",3.436260518219224,5.901577761081893,1.0353406014487452,4.54733360892931,5.078628512503223,3.937240970988751,0.0,#DIV/0!,0.0
2,Tompkins County PUMA,2.4161645669770553,3.9260658391797083,1.1752965960749528,5.279090372120496,5.028478437754272,5.4872280037842955,8.669833729216151,10.641399416909621,0.0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,6.340146284776813,8.976902366444666,3.882725832012678,8.2075430180874,10.160787945113226,6.067871634083364,14.729794356767098,19.642857142857142,0.0
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",4.477421820266225,5.986115852964606,2.560023141452126,5.1166135826569406,5.173530772790374,5.045606742870339,6.399521531100478,10.552268244575936,0.0
5,Madison & Cortland Counties PUMA,2.822526059293353,0.0,5.2393516773464,5.621864729285591,4.254920337394564,7.317829457364342,14.356929212362912,10.37555697008275,28.735632183908045
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,10.126818351361432,20.589936379410066,5.147261216625378,8.998495928634407,10.571401675609525,7.0686070686070686,17.30841121495327,21.135831381733023,10.548086866597725
7,Dutchess County (Southwest) PUMA,1.403477405801636,2.961146737080347,0.0,9.65462358745822,9.498037349827525,9.834942812136156,32.52244425137562,51.177394034536896,9.40337224383917
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",10.188548693997578,22.893772893772894,2.4742841256602723,18.150109804934765,9.833363852774218,22.6823670292386,11.914154962916207,7.018100984439505,16.750313676286073
9,Dutchess County (North & East) PUMA,4.534506231018955,4.105440269209198,4.910144358244133,5.729636456331621,3.5238895894633604,8.534521158129175,6.640876853642812,0.0,18.55855855855856
10,Erie County (Central) PUMA,1.6692391242211169,3.8390744149355776,0.0,5.598162928612833,6.387356984113919,4.665304533956022,43.95043731778426,58.119658119658126,13.53211009174312
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,7.526685521394033,1.4679627058123388,12.68581081081081,7.943946916616398,9.675262655205348,6.308094937280028,9.684684684684685,14.02359108781127,6.416584402764067
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",5.194090837655194,7.592011883149034,3.014849257537123,4.928469777544754,3.97653638905941,6.087534257951997,13.136574074074073,18.590998043052835,5.240793201133145
