,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
0,Total Geo,3.0940768996062706,3.19075800904297,3.0001604672190454,5.790321220847399,6.120555421504791,5.3985028531059776,13.3090321801606,13.637013022693555,12.590040714062011
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",3.626670327658796,5.817954332186425,1.3270808909730365,2.5547445255474455,0.0,5.298804780876494,0.0,#DIV/0!,0.0
2,Tompkins County PUMA,2.485133020344288,3.993412927130506,1.220073664825046,5.543495115521786,5.2577845839714135,5.782652043868395,8.669833729216151,10.641399416909621,0.0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,4.640748031496063,7.814962454806712,1.0489877268435959,2.736679237984721,0.0,5.827841845140033,10.674157303370785,13.93643031784841,0.0
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",3.5257061572851045,3.210576015108593,3.8926764899934025,5.23266340756835,3.521677883862889,7.5799871161692085,0.0,0.0,0.0
5,Madison & Cortland Counties PUMA,2.923853596970972,0.0,5.4846771011442845,5.682215539548221,4.321614418073359,7.35202492211838,11.495476317189993,6.301939058171745,28.735632183908045
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.0,#DIV/0!,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
7,Dutchess County (Southwest) PUMA,1.6375488917861798,3.3238064994178043,0.0,10.132193151061076,11.249633323555294,8.847094543307751,32.68408551068884,48.759744861800144,0.0
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
9,Dutchess County (North & East) PUMA,4.709811146936895,4.454722492697176,4.938811188811189,6.218079673135852,3.9055827315785385,9.023264575680512,6.885026737967914,0.0,18.55855855855856
10,Erie County (Central) PUMA,1.8791428019821095,4.248508657063873,0.0,5.618452810470527,6.993511175198269,3.9228760348947045,43.95043731778426,58.119658119658126,13.53211009174312
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,9.936628643852979,2.0229633679606343,16.776937618147446,6.530711337703327,11.969235699407147,0.9810333551340745,11.298838437170012,16.77115987460815,0.0
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",3.940318193059105,6.779954915900816,1.3670647391577624,4.429261397102132,3.9784560143626573,4.973141569918559,10.28391167192429,13.152400835073069,5.901116427432217
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,2.1745981720768985,3.212151394422311,1.4174086861711792,4.222302417899675,5.894206549118388,0.0,0.0,0.0,#DIV/0!
14,Westchester County (Northeast) PUMA,1.6749750747756729,1.4452435880037997,1.895518499218343,2.3606339354981714,0.9000382995021065,4.3672717705866875,0.0,0.0,0.0
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,2.401299951853635,2.2147495361781075,2.6026026026026026,7.246376811594203,6.851360318513604,7.8556806550665295,0.0,0.0,0.0
