,puma,Unemployment_BABS,Unemployment_HS,FT_Work_BABS,FT_Work_HS,Poverty_BABS,Poverty_HS,Working_Poor_BABS,Working_Poor_HS,Income_level_BABS,Income_level_HS,Rent_Burden_BABS,Rent_Burden_HS,Home_ownership_BABS,Home_ownership_HS
0,Total Geo,0.5796964086014029,1.9788588844311255,0.916271093948,0.8107963997877331,1.855307553949487,1.2937382164869236,1.4712470438604384,1.1466255444900937,0.7206441887228431,0.8121222623636172,1.4174555176376982,1.0441820262359778,0.9008363808470683,0.9417900209528342
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,#DIV/0!,#DIV/0!,1.1518324607329844,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.0233364921577797,0.0,1.498448531726402,#DIV/0!,0.0,#DIV/0!
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,#DIV/0!,0.0,0.08076923076923077,1.2213662868453432,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.26371986945067044,0.42841721098894037,#DIV/0!,#DIV/0!,0.717201166180758,0.7180406212664278
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,#DIV/0!,#DIV/0!,1.0,1.0,#DIV/0!,1.0029601834479884,#DIV/0!,1.0029601834479884,0.697582976754944,0.5298639910030225,#DIV/0!,#DIV/0!,#DIV/0!,0.4910275689223058
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,#DIV/0!,#DIV/0!,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.6744655667694219,0.6518065268065268,#DIV/0!,#DIV/0!,1.0,0.4419642857142857
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
9,NYC-Manhattan Community District 8--Upper East Side PUMA,#DIV/0!,#DIV/0!,0.6633303002729755,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.21814232115224855,0.75,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.2419854421557999,#DIV/0!,#DIV/0!,#DIV/0!,1.0
11,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",#DIV/0!,#DIV/0!,0.8992918961447679,1.0,#DIV/0!,1.2485620076937167,#DIV/0!,1.2485620076937167,0.753842781972582,0.7378634353549752,#DIV/0!,#DIV/0!,0.5328747917316408,0.6092654986522911
