,puma,Unemployment_BABS,Unemployment_HS,FT_Work_BABS,FT_Work_HS,Poverty_BABS,Poverty_HS,Working_Poor_BABS,Working_Poor_HS,Income_level_BABS,Income_level_HS,Rent_Burden_BABS,Rent_Burden_HS,Home_ownership_BABS,Home_ownership_HS
0,Total Geo,0.8185362275576705,0.7675273836434895,0.982986696591594,1.0131418631638092,1.6695500674915604,1.3353905282406304,2.5813904633704614,1.7122992425031296,0.5209663496811368,0.651055070505163,1.1629194448641664,0.9366793693147919,0.7066765866528181,0.5228491017951624
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,#DIV/0!,#DIV/0!,1.0418303674601341,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,1.0299823513209305,#DIV/0!,#DIV/0!,#DIV/0!,3.6103133159268928,#DIV/0!
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,#DIV/0!,#DIV/0!,1.1604817708333333,0.8332358104154476,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2.7259710144927536,1.2522390421352272,#DIV/0!,#DIV/0!,1.0,1.1579250434196864
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.0,#DIV/0!,1.196694881096332,1.7379032258064517,0.0,5.385059921368007,0.0,5.385059921368007,0.3146142994179407,0.7169160619099608,0.0,1.2519532760888064,0.0,0.0
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,#DIV/0!,#DIV/0!,2.7137546468401488,1.2423335826477189,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.816126826766943,0.8555792945971159,#DIV/0!,#DIV/0!,1.0,0.23443223443223443
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,2.8349514563106792,#DIV/0!,2.8349514563106792,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.4174757281553396,1.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.0,0.0,1.0982196741098371,1.0,0.0,0.9763812107071845,0.0,0.9763812107071845,0.5712961843070543,0.8947455554735543,0.0,#DIV/0!,0.0,0.6793985924504159
