,puma,Unemployment_BABS,Unemployment_HS,FT_Work_BABS,FT_Work_HS,Poverty_BABS,Poverty_HS,Working_Poor_BABS,Working_Poor_HS,Income_level_BABS,Income_level_HS,Rent_Burden_BABS,Rent_Burden_HS,Home_ownership_BABS,Home_ownership_HS
0,Total Geo,0.7867244775743126,0.5319129838660772,1.004582377905642,0.9803383358448112,1.5036645702099136,0.968022956817007,2.585833545515707,1.4516705949356952,0.8894857268083577,0.8529869137295816,1.581601064482256,1.1581574768960892,0.8518483750897359,0.967366708420062
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,#DIV/0!,#DIV/0!,0.9051844932274637,1.4604783137413861,#DIV/0!,0.0,#DIV/0!,0.0,1.2788820044489724,1.915831759393306,#DIV/0!,0.0,0.3077047359894754,1.3987912700625271
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.0,2.5238693467336684,0.5200984148379294,1.0153833907831167,0.320703933747412,0.0,0.320703933747412,0.0,2.4218853355265653,0.9104188381072417,#DIV/0!,0.298728813559322,1.1453298623975874,0.9408028342301478
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,#DIV/0!,0.0,1.1534185658699279,1.0821367030442275,#DIV/0!,1.9256958894925589,#DIV/0!,1.9256958894925589,0.46158295397859384,0.7709747034814374,0.0,1.3160449667858969,0.0,0.8930502450320428
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.0,#DIV/0!,1.3315363881401616,1.1006802721088436,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.5293315156922678,0.5722895936793763,#DIV/0!,#DIV/0!,1.0,0.51171875
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,0.0,#DIV/0!,0.7432868968302039,0.0,1.1416306999437043,0.0,1.1416306999437043,#DIV/0!,0.6098161285652237,#DIV/0!,#DIV/0!,1.0,7.637254901960784
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.0,#DIV/0!,0.7953539823008849,3.50749063670412,0.5750867169965314,1.0289381743391852,0.5750867169965314,1.0289381743391852,0.7275121292921102,0.9934055937166585,1.8563213601133426,#DIV/0!,0.22797573435504467,5.050036402144418
10,Suffolk County (Southwest)--Islip Town (South) PUMA,13.95625,#DIV/0!,1.0,1.339650145772595,#DIV/0!,0.0,#DIV/0!,0.0,1.0583745583038868,0.672784968549417,#DIV/0!,#DIV/0!,0.09375,1.1709363957597174
11,Erie County (Northwest) PUMA,#DIV/0!,0.0,#DIV/0!,1.1083070452155626,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,1.378683746260643,#DIV/0!,#DIV/0!,#DIV/0!,2.2764578833693303
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.0,4.426639917730162,0.9929957626503176,1.1780738946093277,0.0,0.2949991271671521,0.0,0.2949991271671521,0.8651049831042756,0.8073736250094353,0.0,0.0,1.3100555150845286,0.8428938844390557
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.0,0.4357891505913624,1.3604002987303958,1.0241274972116476,1.391579125040295,0.5567903428341818,1.391579125040295,0.5567903428341818,1.7636209912071443,1.3523609147386815,0.9009009009009009,0.6218859977277136,0.856841435053527,1.1582130006649376
14,Rockland County (North)--New City & Congers PUMA,0.0,0.23729907095837197,1.127485380116959,1.0513989301160596,#DIV/0!,0.68478447671156,#DIV/0!,0.68478447671156,0.4360665269213703,1.0270720156741313,#DIV/0!,0.3202237823031366,1.0,0.637685432631281
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",#DIV/0!,#DIV/0!,1.1871345029239766,1.2096385542168675,0.0,#DIV/0!,0.0,#DIV/0!,0.03178804429612187,0.7868969335669375,#DIV/0!,#DIV/0!,2.2555555555555555,2.337552742616034
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,#DIV/0!,0.40594574156347485,1.202375296912114,1.0072041266899865,0.6740994854202401,1.474947803664535,0.6740994854202401,1.474947803664535,0.4577253235331522,0.6190497652992908,#DIV/0!,0.8341119365571305,0.6657255787690571,0.23640297267945737
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,0.0,0.4574634066227341,1.0314770215760314,0.9183891460375165,13.181257335459991,1.1016049759672208,13.181257335459991,1.1016049759672208,0.24998803187815627,0.5875304564612761,10.167143158084805,0.32341682079119927,0.0,1.681577235380575
18,Tompkins County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
19,Dutchess County (Southwest) PUMA,#DIV/0!,1.6394329824823097,1.3776699029126214,1.0721076384297932,20.685096153846153,2.752064988466553,20.685096153846153,2.752064988466553,0.8232400860743929,0.8456058569226109,#DIV/0!,5.327759197324415,0.5736666666666667,0.5263255411790138
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,0.7142350826561353,1.0701611984506723,1.0903287853110504,1.0364990761149568,0.5996802445612248,0.7223300591495945,0.5996802445612248,0.7223300591495945,0.6716691780795381,1.0615336892479776,0.5019467878001297,0.6158198586293724,0.8383291651948181,1.1976114339684467
21,Westchester County (Northwest) PUMA,#DIV/0!,#DIV/0!,0.9678066013302116,1.00549803829837,#DIV/0!,1.677278842101851,#DIV/0!,1.677278842101851,0.3846415459225762,0.5170147022736016,#DIV/0!,1.651238643095216,0.8715383086640572,0.39427096788082316
22,Albany County (Outside Albany City) PUMA,#DIV/0!,0.0,1.1007751937984496,0.5372488038277512,0.0,0.0,0.0,0.0,1.0542475810060012,0.9360816584300612,0.0,0.0,0.7666855152034731,3.7467732884399543
23,Monroe County (South) PUMA,#DIV/0!,#DIV/0!,1.0,0.7363597246127366,0.0,0.0,0.0,0.0,0.7545921785535807,0.8825678189330762,#DIV/0!,#DIV/0!,1.3743119266055046,2.219178082191781
24,Jefferson & Lewis Counties PUMA,#DIV/0!,0.0,1.07421875,0.32068557608895665,0.0,0.045491129773165453,0.0,0.045491129773165453,1.8730336604303768,0.5142657637397029,#DIV/0!,2.5522388059701493,0.07434715821812596,2.320815544462988
25,"Chenango, Delaware & Broome (East) Counties PUMA",#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.4266666666666667
26,Erie County (Central) PUMA,0.0,0.0,1.5203252032520327,0.8020277626154638,0.0,0.0,0.0,0.0,0.378964883056405,0.8646349763135709,#DIV/0!,#DIV/0!,1.2055555555555557,1.228129821153077
27,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,1.0,#DIV/0!,#DIV/0!,0.0,#DIV/0!,0.0,1.0125832716506291,#DIV/0!,#DIV/0!,#DIV/0!,1.6363636363636362,1.0
