,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,467171,270583,196588,388165,242316,145849,79006,28267,50739,98748,45033,53715,85500,40852,44648,13248,4181,9067,261337,148064,113273,213067,131500,81567,48270,16564,31706,107086,77486,29600,89598,69964,19634,17488,7522,9966
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,2432,1831,601,2229,1628,601,203,203,0,2141,1540,601,1938,1337,601,203,203,0,291,291,0,291,291,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,3184,1250,1934,2369,1005,1364,815,245,570,473,213,260,234,213,21,239,0,239,2388,714,1674,1812,469,1343,576,245,331,323,323,0,323,323,0,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,637,250,387,637,250,387,0,0,0,267,208,59,267,208,59,0,0,0,370,42,328,370,42,328,0,0,0,0,0,0,0,0,0,0,0,0
4,Madison & Cortland Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,92,92,0,92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,0,92,92,0,0,0,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,777,176,601,777,176,601,0,0,0,356,112,244,356,112,244,0,0,0,350,64,286,350,64,286,0,0,0,71,0,71,71,0,71,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",381,288,93,199,199,0,182,89,93,0,0,0,0,0,0,0,0,0,381,288,93,199,199,0,182,89,93,0,0,0,0,0,0,0,0,0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,2429,1180,1249,2059,1180,879,370,0,370,1808,709,1099,1438,709,729,370,0,370,357,207,150,357,207,150,0,0,0,264,264,0,264,264,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,1398,326,1072,1398,326,1072,0,0,0,63,63,0,63,63,0,0,0,0,309,250,59,309,250,59,0,0,0,1026,13,1013,1026,13,1013,0,0,0
11,Erie County (Northwest) PUMA,223,223,0,223,223,0,0,0,0,0,0,0,0,0,0,0,0,0,223,223,0,223,223,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",6729,3675,3054,6601,3675,2926,128,0,128,2389,1118,1271,2261,1118,1143,128,0,128,2579,1288,1291,2579,1288,1291,0,0,0,1761,1269,492,1761,1269,492,0,0,0
