,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
0,Total Geo,562086.0,298231.0,263855.0,183898.0,99200.0,84698.0,378188.0,199031.0,179157.0,112357.0,48940.0,63417.0,45208.0,20859.0,24349.0,67149.0,28081.0,39068.0,313872.0,162471.0,151401.0,104683.0,55753.0,48930.0,209189.0,106718.0,102471.0,135857.0,86820.0,49037.0,34007.0,22588.0,11419.0,101850.0,64232.0,37618.0
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,2617.0,1831.0,786.0,576.0,391.0,185.0,2041.0,1440.0,601.0,2141.0,1540.0,601.0,391.0,391.0,0.0,1750.0,1149.0,601.0,476.0,291.0,185.0,185.0,0.0,185.0,291.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,3267.0,1250.0,2017.0,2698.0,1250.0,1448.0,569.0,0.0,569.0,556.0,213.0,343.0,459.0,213.0,246.0,97.0,0.0,97.0,2388.0,714.0,1674.0,1916.0,714.0,1202.0,472.0,0.0,472.0,323.0,323.0,0.0,323.0,323.0,0.0,0.0,0.0,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,1347.0,332.0,1015.0,121.0,42.0,79.0,1226.0,290.0,936.0,267.0,208.0,59.0,0.0,0.0,0.0,267.0,208.0,59.0,599.0,124.0,475.0,121.0,42.0,79.0,478.0,82.0,396.0,481.0,0.0,481.0,0.0,0.0,0.0,481.0,0.0,481.0
4,Madison & Cortland Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Ontario & Yates Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,939.0,176.0,763.0,689.0,176.0,513.0,250.0,0.0,250.0,356.0,112.0,244.0,356.0,112.0,244.0,0.0,0.0,0.0,512.0,64.0,448.0,262.0,64.0,198.0,250.0,0.0,250.0,71.0,0.0,71.0,71.0,0.0,71.0,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",235.0,53.0,182.0,182.0,0.0,182.0,53.0,53.0,0.0,89.0,0.0,89.0,89.0,0.0,89.0,0.0,0.0,0.0,93.0,0.0,93.0,93.0,0.0,93.0,0.0,0.0,0.0,53.0,53.0,0.0,0.0,0.0,0.0,53.0,53.0,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,2880.0,1419.0,1461.0,580.0,264.0,316.0,2300.0,1155.0,1145.0,1856.0,709.0,1147.0,152.0,0.0,152.0,1704.0,709.0,995.0,521.0,207.0,314.0,164.0,0.0,164.0,357.0,207.0,150.0,503.0,503.0,0.0,264.0,264.0,0.0,239.0,239.0,0.0
