,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
0,Total Geo,466787,270728,196059,447301,261607,185694,19486,9121,10365,98367,45791,52576,94751,43620,51131,3616,2171,1445,261467,147401,114066,250481,143061,107420,10986,4340,6646,106953,77536,29417,102069,74926,27143,4884,2610,2274
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,2432,1831,601,2432,1831,601,0,0,0,2141,1540,601,2141,1540,601,0,0,0,291,291,0,291,291,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,3184,1250,1934,2939,1005,1934,245,245,0,473,213,260,473,213,260,0,0,0,2388,714,1674,2143,469,1674,245,245,0,323,323,0,323,323,0,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,637,250,387,637,250,387,0,0,0,267,208,59,267,208,59,0,0,0,370,42,328,370,42,328,0,0,0,0,0,0,0,0,0,0,0,0
4,Madison & Cortland Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,898,176,722,726,176,550,172,0,172,356,112,244,356,112,244,0,0,0,471,64,407,299,64,235,172,0,172,71,0,71,71,0,71,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",292,199,93,292,199,93,0,0,0,0,0,0,0,0,0,0,0,0,292,199,93,292,199,93,0,0,0,0,0,0,0,0,0,0,0,0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,2429,1180,1249,2429,1180,1249,0,0,0,1808,709,1099,1808,709,1099,0,0,0,357,207,150,357,207,150,0,0,0,264,264,0,264,264,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,2007,935,1072,1398,326,1072,609,609,0,672,672,0,63,63,0,609,609,0,309,250,59,309,250,59,0,0,0,1026,13,1013,1026,13,1013,0,0,0
11,Erie County (Northwest) PUMA,223,223,0,223,223,0,0,0,0,0,0,0,0,0,0,0,0,0,223,223,0,223,223,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",6729,3675,3054,6324,3675,2649,405,0,405,2389,1118,1271,2389,1118,1271,0,0,0,2579,1288,1291,2174,1288,886,405,0,405,1761,1269,492,1761,1269,492,0,0,0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,10030,5452,4578,9628,5341,4287,402,111,291,1125,680,445,1125,680,445,0,0,0,7053,4027,3026,6762,4027,2735,291,0,291,1852,745,1107,1741,634,1107,111,111,0
14,Rockland County (North)--New City & Congers PUMA,3629,2200,1429,3565,2200,1365,64,0,64,69,0,69,69,0,69,0,0,0,2817,1529,1288,2753,1529,1224,64,0,64,743,671,72,743,671,72,0,0,0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",40,18,22,40,18,22,0,0,0,15,0,15,15,0,15,0,0,0,7,0,7,7,0,7,0,0,0,18,18,0,18,18,0,0,0,0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,6795,4518,2277,6726,4518,2208,69,0,69,1080,581,499,1080,581,499,0,0,0,3266,1979,1287,3197,1979,1218,69,0,69,2449,1958,491,2449,1958,491,0,0,0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,4473,2925,1548,4309,2761,1548,164,164,0,707,474,233,707,474,233,0,0,0,2498,1490,1008,2334,1326,1008,164,164,0,1268,961,307,1268,961,307,0,0,0
18,Tompkins County PUMA,11,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,11,11,0,0,0,0
19,Dutchess County (Southwest) PUMA,2187,1323,864,1858,1323,535,329,0,329,88,88,0,88,88,0,0,0,0,1443,579,864,1114,579,535,329,0,329,656,656,0,656,656,0,0,0,0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,12056,6914,5142,11477,6620,4857,579,294,285,3078,1337,1741,2989,1337,1652,89,0,89,7581,4374,3207,7244,4147,3097,337,227,110,1397,1203,194,1244,1136,108,153,67,86
21,Westchester County (Northwest) PUMA,6535,5113,1422,6330,4908,1422,205,205,0,501,454,47,296,249,47,205,205,0,4026,2651,1375,4026,2651,1375,0,0,0,2008,2008,0,2008,2008,0,0,0,0
22,Albany County (Outside Albany City) PUMA,623,304,319,623,304,319,0,0,0,219,219,0,219,219,0,0,0,0,220,85,135,220,85,135,0,0,0,184,0,184,184,0,184,0,0,0
23,Monroe County (South) PUMA,1081,684,397,1081,684,397,0,0,0,94,0,94,94,0,94,0,0,0,498,327,171,498,327,171,0,0,0,489,357,132,489,357,132,0,0,0
24,Jefferson & Lewis Counties PUMA,940,687,253,940,687,253,0,0,0,525,503,22,525,503,22,0,0,0,415,184,231,415,184,231,0,0,0,0,0,0,0,0,0,0,0,0
25,"Chenango, Delaware & Broome (East) Counties PUMA",64,41,23,64,41,23,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,23,0,23,0,0,0,41,41,0,41,41,0,0,0,0
26,Erie County (Central) PUMA,542,357,185,542,357,185,0,0,0,169,93,76,169,93,76,0,0,0,373,264,109,373,264,109,0,0,0,0,0,0,0,0,0,0,0,0
27,St. Lawrence County PUMA,62,62,0,62,62,0,0,0,0,62,62,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",9302,5495,3807,9146,5339,3807,156,156,0,2291,1386,905,2291,1386,905,0,0,0,3859,2205,1654,3703,2049,1654,156,156,0,3152,1904,1248,3152,1904,1248,0,0,0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1138,561,577,961,517,444,177,44,133,486,178,308,486,178,308,0,0,0,464,195,269,287,151,136,177,44,133,188,188,0,188,188,0,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,5374,3201,2173,5232,3190,2042,142,11,131,1280,634,646,1269,623,646,11,11,0,2881,1701,1180,2750,1701,1049,131,0,131,1213,866,347,1213,866,347,0,0,0
31,Cayuga & Onondaga (South) Counties PUMA,526,437,89,526,437,89,0,0,0,382,293,89,382,293,89,0,0,0,144,144,0,144,144,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,1598,864,734,1598,864,734,0,0,0,181,181,0,181,181,0,0,0,0,1417,683,734,1417,683,734,0,0,0,0,0,0,0,0,0,0,0,0
33,Fulton & Montgomery Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,485,317,168,485,317,168,0,0,0,134,42,92,134,42,92,0,0,0,142,66,76,142,66,76,0,0,0,209,209,0,209,209,0,0,0,0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,1163,964,199,1163,964,199,0,0,0,125,78,47,125,78,47,0,0,0,963,811,152,963,811,152,0,0,0,75,75,0,75,75,0,0,0,0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,358,358,0,358,358,0,0,0,0,0,0,0,0,0,0,0,0,0,358,358,0,358,358,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,4967,2534,2433,4548,2534,2014,419,0,419,333,128,205,333,128,205,0,0,0,3008,1496,1512,2589,1496,1093,419,0,419,1626,910,716,1626,910,716,0,0,0
