,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,387485,241636,145849,312171,195650,116521,75314,45986,29328,85500,40852,44648,77830,37911,39919,7670,2941,4729,212782,131215,81567,169692,106057,63635,43090,25158,17932,89203,69569,19634,64649,51682,12967,24554,17887,6667
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,2617,1831,786,2617,1831,786,0,0,0,2141,1540,601,2141,1540,601,0,0,0,476,291,185,476,291,185,0,0,0,0,0,0,0,0,0,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,3271,1250,2021,3267,1250,2017,4,0,4,560,213,347,556,213,343,4,0,4,2388,714,1674,2388,714,1674,0,0,0,323,323,0,323,323,0,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,1457,332,1125,506,250,256,951,82,869,267,208,59,267,208,59,0,0,0,709,124,585,239,42,197,470,82,388,481,0,481,0,0,0,481,0,481
4,Madison & Cortland Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,939,176,763,939,176,763,0,0,0,356,112,244,356,112,244,0,0,0,512,64,448,512,64,448,0,0,0,71,0,71,71,0,71,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",434,252,182,288,199,89,146,53,93,89,0,89,89,0,89,0,0,0,292,199,93,199,199,0,93,0,93,53,53,0,0,0,0,53,53,0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,2880,1419,1461,2668,1419,1249,212,0,212,1856,709,1147,1808,709,1099,48,0,48,521,207,314,357,207,150,164,0,164,503,503,0,503,503,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,2070,935,1135,2070,935,1135,0,0,0,672,672,0,672,672,0,0,0,0,372,250,122,372,250,122,0,0,0,1026,13,1013,1026,13,1013,0,0,0
11,Erie County (Northwest) PUMA,223,223,0,223,223,0,0,0,0,0,0,0,0,0,0,0,0,0,223,223,0,223,223,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",8235,4146,4089,7624,3765,3859,611,381,230,2543,1208,1335,2543,1208,1335,0,0,0,3511,1391,2120,3212,1288,1924,299,103,196,2181,1547,634,1869,1269,600,312,278,34
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,12637,5973,6664,9064,4566,4498,3573,1407,2166,1341,680,661,869,424,445,472,256,216,8509,4342,4167,6931,3705,3226,1578,637,941,2787,951,1836,1264,437,827,1523,514,1009
14,Rockland County (North)--New City & Congers PUMA,4751,2280,2471,3931,2004,1927,820,276,544,69,0,69,69,0,69,0,0,0,2970,1609,1361,2557,1529,1028,413,80,333,1712,671,1041,1305,475,830,407,196,211
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",109,18,91,102,18,84,7,0,7,84,0,84,84,0,84,0,0,0,7,0,7,0,0,0,7,0,7,18,18,0,18,18,0,0,0,0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,7882,4632,3250,4376,2728,1648,3506,1904,1602,1166,581,585,1076,581,495,90,0,90,3775,1979,1796,2083,1218,865,1692,761,931,2941,2072,869,1217,929,288,1724,1143,581
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,4775,2986,1789,3454,2034,1420,1321,952,369,707,474,233,415,342,73,292,132,160,2744,1551,1193,1994,919,1075,750,632,118,1324,961,363,1045,773,272,279,188,91
18,Tompkins County PUMA,11,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,11,11,0,0,0,0
19,Dutchess County (Southwest) PUMA,2434,1323,1111,1949,1036,913,485,287,198,88,88,0,33,33,0,55,55,0,1690,579,1111,1368,455,913,322,124,198,656,656,0,548,548,0,108,108,0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,15077,7439,7638,12128,6367,5761,2949,1072,1877,3887,1337,2550,3385,1337,2048,502,0,502,9450,4800,4650,7373,3990,3383,2077,810,1267,1740,1302,438,1370,1040,330,370,262,108
21,Westchester County (Northwest) PUMA,7851,5113,2738,4499,3516,983,3352,1597,1755,501,454,47,501,454,47,0,0,0,5040,2651,2389,2370,1434,936,2670,1217,1453,2310,2008,302,1628,1628,0,682,380,302
22,Albany County (Outside Albany City) PUMA,623,304,319,623,304,319,0,0,0,219,219,0,219,219,0,0,0,0,220,85,135,220,85,135,0,0,0,184,0,184,184,0,184,0,0,0
23,Monroe County (South) PUMA,1081,684,397,1081,684,397,0,0,0,94,0,94,94,0,94,0,0,0,498,327,171,498,327,171,0,0,0,489,357,132,489,357,132,0,0,0
24,Jefferson & Lewis Counties PUMA,1234,687,547,1223,687,536,11,0,11,525,503,22,525,503,22,0,0,0,709,184,525,698,184,514,11,0,11,0,0,0,0,0,0,0,0,0
25,"Chenango, Delaware & Broome (East) Counties PUMA",192,41,151,192,41,151,0,0,0,0,0,0,0,0,0,0,0,0,151,0,151,151,0,151,0,0,0,41,41,0,41,41,0,0,0,0
26,Erie County (Central) PUMA,576,357,219,576,357,219,0,0,0,169,93,76,169,93,76,0,0,0,407,264,143,407,264,143,0,0,0,0,0,0,0,0,0,0,0,0
27,St. Lawrence County PUMA,149,62,87,124,62,62,25,0,25,62,62,0,62,62,0,0,0,0,62,0,62,62,0,62,0,0,0,25,0,25,0,0,0,25,0,25
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",10256,5564,4692,7513,4458,3055,2743,1106,1637,2622,1445,1177,1836,1207,629,786,238,548,4128,2205,1923,3657,2049,1608,471,156,315,3506,1914,1592,2020,1202,818,1486,712,774
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,987,410,577,894,410,484,93,0,93,486,178,308,486,178,308,0,0,0,313,44,269,220,44,176,93,0,93,188,188,0,188,188,0,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,6814,3292,3522,5097,2633,2464,1717,659,1058,1487,634,853,1211,623,588,276,11,265,3472,1792,1680,2031,1144,887,1441,648,793,1855,866,989,1855,866,989,0,0,0
31,Cayuga & Onondaga (South) Counties PUMA,678,437,241,678,437,241,0,0,0,382,293,89,382,293,89,0,0,0,144,144,0,144,144,0,0,0,0,152,0,152,152,0,152,0,0,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,2240,864,1376,2240,864,1376,0,0,0,181,181,0,181,181,0,0,0,0,2059,683,1376,2059,683,1376,0,0,0,0,0,0,0,0,0,0,0,0
33,Fulton & Montgomery Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,553,317,236,386,150,236,167,167,0,202,42,160,202,42,160,0,0,0,142,66,76,142,66,76,0,0,0,209,209,0,42,42,0,167,167,0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,1834,1262,572,685,486,199,1149,776,373,125,78,47,125,78,47,0,0,0,1634,1109,525,485,333,152,1149,776,373,75,75,0,75,75,0,0,0,0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,358,358,0,106,106,0,252,252,0,0,0,0,0,0,0,0,0,0,358,358,0,106,106,0,252,252,0,0,0,0,0,0,0,0,0,0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,5225,2792,2433,4554,2792,1762,671,0,671,333,128,205,333,128,205,0,0,0,3008,1496,1512,2337,1496,841,671,0,671,1884,1168,716,1884,1168,716,0,0,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",9977,5365,4612,6533,4192,2341,3444,1173,2271,1990,1055,935,1744,809,935,246,246,0,5509,3181,2328,3807,2690,1117,1702,491,1211,2478,1129,1349,982,693,289,1496,436,1060
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,14325,9235,5090,9149,6736,2413,5176,2499,2677,1802,960,842,1574,960,614,228,0,228,8949,5648,3301,6100,4656,1444,2849,992,1857,3574,2627,947,1475,1120,355,2099,1507,592
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",2385,886,1499,2285,886,1399,100,0,100,1806,570,1236,1766,570,1196,40,0,40,0,0,0,0,0,0,0,0,0,579,316,263,519,316,203,60,0,60
41,Suffolk County (Central)--Islip Town (East) PUMA,341,153,188,271,83,188,70,70,0,0,0,0,0,0,0,0,0,0,271,83,188,271,83,188,0,0,0,70,70,0,0,0,0,70,70,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1679,499,1180,1107,180,927,572,319,253,187,105,82,187,105,82,0,0,0,1294,252,1042,920,75,845,374,177,197,198,142,56,0,0,0,198,142,56
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",11045,5184,5861,8347,4163,4184,2698,1021,1677,2405,789,1616,2317,789,1528,88,0,88,6096,2469,3627,4714,2058,2656,1382,411,971,2544,1926,618,1316,1316,0,1228,610,618
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,28549,16230,12319,18907,10987,7920,9642,5243,4399,2365,618,1747,1888,618,1270,477,0,477,20094,11141,8953,13103,7519,5584,6991,3622,3369,6090,4471,1619,3916,2850,1066,2174,1621,553
45,Saratoga County (Outer) PUMA,784,294,490,658,294,364,126,0,126,784,294,490,658,294,364,126,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",5451,2863,2588,3420,2008,1412,2031,855,1176,644,249,395,583,188,395,61,61,0,4099,1906,2193,2238,1221,1017,1861,685,1176,708,708,0,599,599,0,109,109,0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",2632,1317,1315,2380,1065,1315,252,252,0,262,146,116,262,146,116,0,0,0,2028,829,1199,1822,623,1199,206,206,0,342,342,0,296,296,0,46,46,0
