,puma,BABS_Home_Ownership_Total,BABS_Home_Ownership_M,BABS_Home_Ownership_F,HS_Home_Ownership_Total,HS_Home_Ownership_M,HS_Home_Ownership_F,HSINC_Home_Ownership_Total,HSINC_Home_Ownership_M,HSINC_Home_Ownership_F
0,Total Geo,0.40236033357957224,0.4262157744176543,0.3839506756863302,0.33352130804914104,0.34315662487459303,0.32318148493074683,0.2503146691005984,0.26017046763418566,0.23286497950527152
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.18262494161606727,0.2538961038961039,0.0,0.38865546218487396,0.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.8255395683453237,1.0,0.717201166180758,0.8023450586264657,1.0,0.7180406212664278,1.0,1.0,#DIV/0!
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.0,0.0,0.0,0.2020033388981636,0.3387096774193548,0.16631578947368422,0.0,#DIV/0!,0.0
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,1.0,1.0,1.0,0.51171875,1.0,0.4419642857142857,1.0,#DIV/0!,1.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",1.0,#DIV/0!,1.0,1.0,#DIV/0!,1.0,0.0,0.0,#DIV/0!
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.08189655172413793,0.0,0.13251961639058413,0.31477927063339733,0.0,0.5222929936305732,0.5248508946322068,0.5248508946322068,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.09375,0.09375,#DIV/0!,1.0,1.0,1.0,0.0,#DIV/0!,0.0
11,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.16686343959071231,0.22102649006622516,0.1177794448612153,0.42295642267160355,0.5535585909417685,0.33726415094339623,0.2879413113250802,0.2986425339366516,0.2618296529968454
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.3795674869500373,0.5661764705882353,0.1875945537065053,0.3512751204606887,0.2929525564256103,0.41204703623710104,0.14675278076785073,0.09674027339642481,0.17265795206971676
14,Rockland County (North)--New City & Congers PUMA,1.0,#DIV/0!,1.0,0.3269360269360269,0.3325046612802983,0.3203526818515797,0.41238317757009346,0.5543964232488823,0.3208453410182517
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",1.0,#DIV/0!,1.0,1.0,#DIV/0!,1.0,1.0,1.0,#DIV/0!
