,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,388165,242316,145849,43473.37718238378,45718.50323544462,39743.28671434154,85500,40852,44648,68389.82339181287,80070.4415940468,57702.29842322165,213067,131500,81567,38838.501241393555,41848.404410646384,33986.02086628171,89598,69964,19634,30718.43802317016,32934.394402835744,22822.075990628502
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,2229,1628,601,114355.4957379991,111802.2113022113,121271.88019966723,1938,1337,601,119363.9834881321,118506.35751682872,121271.88019966723,291,291,0,81000.0,81000.0,0.0,0,0,0,#DIV/0!,0.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,2369,1005,1364,60572.35120303926,88876.51741293533,39717.74193548387,234,213,21,159293.1623931624,170563.38028169013,44980.95238095238,1812,469,1343,53322.51655629139,92515.99147121535,39635.443037974685,323,323,0,29724.148606811144,29724.148606811144,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,637,250,387,39771.11459968603,46247.2,35587.59689922481,267,208,59,38794.0074906367,41572.11538461538,29000.0,370,42,328,40476.21621621621,69400.0,36772.560975609755,0,0,0,#DIV/0!,0.0,0.0
4,Madison & Cortland Counties PUMA,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
5,Ontario & Yates Counties PUMA,92,92,0,28000.0,28000.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,92,92,0,28000.0,28000.0,0.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,777,176,601,48359.07335907336,64392.045454545456,43663.89351081531,356,112,244,51974.7191011236,66901.78571428571,45122.95081967213,350,64,286,42928.57142857143,60000.0,39108.39160839161,71,0,71,57000.0,0.0,57000.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",199,199,0,27000.0,27000.0,0.0,0,0,0,#DIV/0!,0.0,0.0,199,199,0,27000.0,27000.0,0.0,0,0,0,#DIV/0!,0.0,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,2059,1180,879,104269.73773676543,147914.7372881356,45679.180887372015,1438,709,729,126788.17107093184,210041.45275035262,45818.93004115226,357,207,150,53697.47899159664,60000.0,45000.0,264,264,0,50000.0,50000.0,0.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,1398,326,1072,29978.755364806868,56070.552147239265,22044.123134328358,63,63,0,80000.0,80000.0,0.0,309,250,59,44179.611650485436,51656.0,12500.0,1026,13,1013,22630.409356725148,25000.0,22600.0
11,Erie County (Northwest) PUMA,223,223,0,37800.0,37800.0,0.0,0,0,0,#DIV/0!,0.0,0.0,223,223,0,37800.0,37800.0,0.0,0,0,0,#DIV/0!,0.0,0.0
