,puma,BABS_Rent_Burden_Total,BABS_Rent_Burden_M,BABS_Rent_Burden_F,HS_Rent_Burden_Total,HS_Rent_Burden_M,HS_Rent_Burden_F,HSINC_Rent_Burden_Total,HSINC_Rent_Burden_M,HSINC_Rent_Burden_F
0,Total Geo,0.1818378011746389,0.14647166361974406,0.2076170677753791,0.27179464294568567,0.26605780033316545,0.2778127730477719,0.2450883783950237,0.22886628481137666,0.27196858124693174
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.22628571428571428,0.19321148825065274,0.2895174708818636,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.0,#DIV/0!,0.0,0.298728813559322,#DIV/0!,0.298728813559322,#DIV/0!,#DIV/0!,#DIV/0!
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.0,0.0,0.0,0.1650485436893204,0.0,0.20606060606060606,0.0,#DIV/0!,0.0
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.0,1.0,#DIV/0!
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.13028169014084506,0.0,0.22311557788944725,0.0,0.0,0.0,0.0,0.0,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,0.0
11,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.22215067611075337,0.31797235023041476,0.0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.3003003003003003,0.6779661016949152,0.0,0.20742753623188406,0.10195439739413681,0.3395918367346939,0.6190075693860387,0.7625145518044237,0.5378538512179065
14,Rockland County (North)--New City & Congers PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.04852426213106553,0.0,0.10486486486486486,0.29025844930417494,0.2709030100334448,0.2984441301272984
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.15567567567567567,0.0,0.3295194508009153,0.3400786958965711,0.23269012485811577,0.44543429844098,0.3413512557481429,0.42134831460674155,0.1611047180667434
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,0.413012729844413,0.27848101265822783,0.6866952789699571,0.07921600653327888,0.10536912751677853,0.03858185610010428,0.2241953385127636,0.14721485411140584,0.6190476190476191
18,Tompkins County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
19,Dutchess County (Southwest) PUMA,0.0,0.0,#DIV/0!,0.2076923076923077,0.26439232409381663,0.16975748930099857,0.0,0.0,#DIV/0!
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,0.2054433713784021,0.0,0.31901840490797545,0.26512605042016807,0.2520559210526316,0.27878006872852235,0.2694610778443114,0.12857142857142856,1.0
21,Westchester County (Northwest) PUMA,0.0,0.0,0.0,0.5748502994011976,0.6140262361251262,0.5289598108747045,0.2388268156424581,0.035398230088495575,1.0
22,Albany County (Outside Albany City) PUMA,0.0,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
