,puma,BABS_Working_Poor_Total,BABS_Working_Poor_M,BABS_Working_Poor_F,HS_Working_Poor_Total,HS_Working_Poor_M,HS_Working_Poor_F,HSINC_Working_Poor_Total,HSINC_Working_Poor_M,HSINC_Working_Poor_F
0,Total Geo,0.08970760233918129,0.07199157935963968,0.10591739831571403,0.20250773091708885,0.19173112830088024,0.21984380938369683,0.27525980067934935,0.25711164455432733,0.339564021595192
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.007142857142857143,0.0,0.011527377521613832,0.0,0.0,0.0,0.0,0.0,#DIV/0!
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.0,0.0,0.0,0.6629055007052186,0.6612903225806451,0.6632478632478632,1.0,#DIV/0!,1.0
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,#DIV/0!,0.0,0.3184931506849315,0.0,1.0,1.0,1.0,#DIV/0!
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.02586206896551724,0.0,0.041848299912816043,0.31477927063339733,0.0,0.5222929936305732,0.0,0.0,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,0.0,0.0
11,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.0,0.0,0.0,0.0851609228140131,0.07404744787922359,0.09245283018867924,0.14305364511691884,0.17970265029088558,0.05362776025236593
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.35197613721103654,0.3764705882352941,0.3267776096822995,0.18545069925960747,0.1467065868263473,0.22582193424526037,0.5464657337639038,0.5404837013669821,0.5495642701525054
14,Rockland County (North)--New City & Congers PUMA,0.0,#DIV/0!,0.0,0.13905723905723905,0.049720323182100686,0.2446730345334313,0.23773364485981308,0.29210134128166915,0.2026897214217099
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,#DIV/0!,0.0,1.0,#DIV/0!,1.0,0.0,0.0,#DIV/0!
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.07718696397941681,0.0,0.15384615384615385,0.4482119205298013,0.38453764527539164,0.5183741648106904,0.5861951717103027,0.5516409266409267,0.6685845799769851
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,0.413012729844413,0.27848101265822783,0.6866952789699571,0.27332361516034986,0.4074790457769181,0.0989103101424979,0.2107250755287009,0.19562955254942768,0.25068870523415976
18,Tompkins County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!
19,Dutchess County (Southwest) PUMA,0.625,0.625,#DIV/0!,0.19053254437869824,0.2141623488773748,0.1782178217821782,0.16463414634146342,0.16463414634146342,#DIV/0!
