,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,274815,156370,118445,226684,138516,88168,48131,17854,30277,47979,18484,29495,41332,16413,24919,6647,2071,4576,159787,89389,70398,130500,78721,51779,29287,10668,18619,67049,48497,18552,54852,43382,11470,12197,5115,7082
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,188,188,0,188,188,0,0,0,0,188,188,0,188,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1869,754,1115,1539,509,1030,330,245,85,160,94,66,115,94,21,45,0,45,1709,660,1049,1424,415,1009,285,245,40,0,0,0,0,0,0,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,410,75,335,410,75,335,0,0,0,134,75,59,134,75,59,0,0,0,276,0,276,276,0,276,0,0,0,0,0,0,0,0,0,0,0,0
4,Madison & Cortland Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,92,92,0,92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,0,92,92,0,0,0,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,284,125,159,284,125,159,0,0,0,61,61,0,61,61,0,0,0,0,152,64,88,152,64,88,0,0,0,71,0,71,71,0,71,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",182,89,93,0,0,0,182,89,93,0,0,0,0,0,0,0,0,0,182,89,93,0,0,0,182,89,93,0,0,0,0,0,0,0,0,0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,1337,950,387,1337,950,387,0,0,0,716,479,237,716,479,237,0,0,0,357,207,150,357,207,150,0,0,0,264,264,0,264,264,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,1089,76,1013,1089,76,1013,0,0,0,63,63,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,1026,13,1013,1026,13,1013,0,0,0
11,Erie County (Northwest) PUMA,223,223,0,223,223,0,0,0,0,0,0,0,0,0,0,0,0,0,223,223,0,223,223,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",4538,2532,2006,4410,2532,1878,128,0,128,1821,585,1236,1693,585,1108,128,0,128,956,678,278,956,678,278,0,0,0,1761,1269,492,1761,1269,492,0,0,0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,4205,2349,1856,2999,1942,1057,1206,407,799,361,151,210,305,95,210,56,56,0,3020,1790,1230,2286,1439,847,734,351,383,824,408,416,408,408,0,416,0,416
14,Rockland County (North)--New City & Congers PUMA,2713,1655,1058,2329,1370,959,384,285,99,0,0,0,0,0,0,0,0,0,2299,1241,1058,2033,1074,959,266,167,99,414,414,0,296,296,0,118,118,0
