,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,326891,172281,154610,225497,125379,100118,101394,46902,54492,53986,20409,33577,43561,18107,25454,10425,2302,8123,188739,97379,91360,132200,71023,61177,56539,26356,30183,84166,54493,29673,49736,36249,13487,34430,18244,16186
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,188,188,0,188,188,0,0,0,0,188,188,0,188,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1869,754,1115,1865,754,1111,4,0,4,160,94,66,156,94,62,4,0,4,1709,660,1049,1709,660,1049,0,0,0,0,0,0,0,0,0,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,1069,75,994,200,75,125,869,0,869,134,75,59,134,75,59,0,0,0,454,0,454,66,0,66,388,0,388,481,0,481,0,0,0,481,0,481
4,Madison & Cortland Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,405,125,280,405,125,280,0,0,0,61,61,0,61,61,0,0,0,0,273,64,209,273,64,209,0,0,0,71,0,71,71,0,71,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",235,53,182,89,0,89,146,53,93,89,0,89,89,0,89,0,0,0,93,0,93,0,0,0,93,0,93,53,53,0,0,0,0,53,53,0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,1501,950,551,1337,950,387,164,0,164,716,479,237,716,479,237,0,0,0,521,207,314,357,207,150,164,0,164,264,264,0,264,264,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,1761,685,1076,1761,685,1076,0,0,0,672,672,0,672,672,0,0,0,0,63,0,63,63,0,63,0,0,0,1026,13,1013,1026,13,1013,0,0,0
11,Erie County (Northwest) PUMA,223,223,0,223,223,0,0,0,0,0,0,0,0,0,0,0,0,0,223,223,0,223,223,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",5782,2913,2869,5292,2532,2760,490,381,109,1821,585,1236,1821,585,1236,0,0,0,1888,781,1107,1710,678,1032,178,103,75,2073,1547,526,1761,1269,492,312,278,34
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,5156,2763,2393,3560,1829,1731,1596,934,662,411,151,260,305,95,210,106,56,50,3641,1998,1643,2758,1634,1124,883,364,519,1104,614,490,497,100,397,607,514,93
14,Rockland County (North)--New City & Congers PUMA,3362,1735,1627,2850,1459,1391,512,276,236,0,0,0,0,0,0,0,0,0,2452,1321,1131,2136,1241,895,316,80,236,910,414,496,714,218,496,196,196,0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,7,7,0,0,0,0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,4851,2734,2117,2214,1159,1055,2637,1575,1062,241,0,241,151,0,151,90,0,90,2665,1550,1115,1515,899,616,1150,651,499,1945,1184,761,548,260,288,1397,924,473
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,3744,2382,1362,2706,1541,1165,1038,841,197,640,407,233,348,275,73,292,132,160,2367,1454,913,1698,822,876,669,632,37,737,521,216,660,444,216,77,77,0
18,Tompkins County PUMA,11,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,11,11,0,0,0,0
19,Dutchess County (Southwest) PUMA,1928,958,970,1443,671,772,485,287,198,55,55,0,0,0,0,55,55,0,1439,469,970,1117,345,772,322,124,198,434,434,0,326,326,0,108,108,0
