,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
0,Total Geo,228331.0,117516.0,110815.0,167951.0,86590.0,81361.0,60380.0,30926.0,29454.0,34212.0,11971.0,22241.0,27090.0,9975.0,17115.0,7122.0,1996.0,5126.0,129699.0,65653.0,64046.0,92364.0,46158.0,46206.0,37335.0,19495.0,17840.0,64420.0,39892.0,24528.0,48497.0,30457.0,18040.0,15923.0,9435.0,6488.0
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,40.0,0.0,40.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,818.0,0.0,818.0,750.0,0.0,750.0,68.0,0.0,68.0,59.0,0.0,59.0,59.0,0.0,59.0,0.0,0.0,0.0,278.0,0.0,278.0,210.0,0.0,210.0,68.0,0.0,68.0,481.0,0.0,481.0,481.0,0.0,481.0,0.0,0.0,0.0
4,Madison & Cortland Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Ontario & Yates Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,209.0,0.0,209.0,209.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,209.0,209.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",53.0,53.0,0.0,0.0,0.0,0.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,0.0,0.0,0.0,0.0,53.0,53.0,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,1073.0,686.0,387.0,1073.0,686.0,387.0,0.0,0.0,0.0,716.0,479.0,237.0,716.0,479.0,237.0,0.0,0.0,0.0,357.0,207.0,150.0,357.0,207.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,1622.0,609.0,1013.0,1622.0,609.0,1013.0,0.0,0.0,0.0,609.0,609.0,0.0,609.0,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.0,0.0,1013.0,1013.0,0.0,1013.0,0.0,0.0,0.0
11,Erie County (Northwest) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",3844.0,1675.0,2169.0,3499.0,1330.0,2169.0,345.0,345.0,0.0,1630.0,454.0,1176.0,1630.0,454.0,1176.0,0.0,0.0,0.0,769.0,136.0,633.0,769.0,136.0,633.0,0.0,0.0,0.0,1445.0,1085.0,360.0,1100.0,740.0,360.0,345.0,345.0,0.0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,3789.0,2217.0,1572.0,2718.0,1556.0,1162.0,1071.0,661.0,410.0,231.0,95.0,136.0,231.0,95.0,136.0,0.0,0.0,0.0,2720.0,1508.0,1212.0,2163.0,1361.0,802.0,557.0,147.0,410.0,838.0,614.0,224.0,324.0,100.0,224.0,514.0,514.0,0.0
14,Rockland County (North)--New City & Congers PUMA,2616.0,1292.0,1324.0,2616.0,1292.0,1324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1902.0,1074.0,828.0,1902.0,1074.0,828.0,0.0,0.0,0.0,714.0,218.0,496.0,714.0,218.0,496.0,0.0,0.0,0.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,4579.0,2478.0,2101.0,3476.0,1777.0,1699.0,1103.0,701.0,402.0,225.0,0.0,225.0,151.0,0.0,151.0,74.0,0.0,74.0,2523.0,1408.0,1115.0,1925.0,998.0,927.0,598.0,410.0,188.0,1831.0,1070.0,761.0,1400.0,779.0,621.0,431.0,291.0,140.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,3153.0,2114.0,1039.0,2667.0,1825.0,842.0,486.0,289.0,197.0,640.0,407.0,233.0,348.0,275.0,73.0,292.0,132.0,160.0,2199.0,1393.0,806.0,2005.0,1236.0,769.0,194.0,157.0,37.0,314.0,314.0,0.0,314.0,314.0,0.0,0.0,0.0,0.0
18,Tompkins County PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Dutchess County (Southwest) PUMA,1377.0,676.0,701.0,1134.0,552.0,582.0,243.0,124.0,119.0,55.0,55.0,0.0,55.0,55.0,0.0,0.0,0.0,0.0,1170.0,469.0,701.0,927.0,345.0,582.0,243.0,124.0,119.0,152.0,152.0,0.0,152.0,152.0,0.0,0.0,0.0,0.0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,4574.0,2039.0,2535.0,3158.0,1577.0,1581.0,1416.0,462.0,954.0,1262.0,335.0,927.0,794.0,335.0,459.0,468.0,0.0,468.0,2861.0,1361.0,1500.0,2021.0,899.0,1122.0,840.0,462.0,378.0,451.0,343.0,108.0,343.0,343.0,0.0,108.0,0.0,108.0
21,Westchester County (Northwest) PUMA,4594.0,2952.0,1642.0,2465.0,1801.0,664.0,2129.0,1151.0,978.0,82.0,35.0,47.0,82.0,35.0,47.0,0.0,0.0,0.0,3080.0,1787.0,1293.0,1293.0,676.0,617.0,1787.0,1111.0,676.0,1432.0,1130.0,302.0,1090.0,1090.0,0.0,342.0,40.0,302.0
22,Albany County (Outside Albany City) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Monroe County (South) PUMA,229.0,97.0,132.0,229.0,97.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,97.0,132.0,229.0,97.0,132.0,0.0,0.0,0.0
24,Jefferson & Lewis Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Erie County (Central) PUMA,62.0,62.0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,St. Lawrence County PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",8016.0,4856.0,3160.0,7039.0,4856.0,2183.0,977.0,0.0,977.0,1933.0,1098.0,835.0,1385.0,1098.0,287.0,548.0,0.0,548.0,3144.0,1854.0,1290.0,2715.0,1854.0,861.0,429.0,0.0,429.0,2939.0,1904.0,1035.0,2939.0,1904.0,1035.0,0.0,0.0,0.0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,400.0,188.0,212.0,307.0,188.0,119.0,93.0,0.0,93.0,119.0,0.0,119.0,119.0,0.0,119.0,0.0,0.0,0.0,93.0,0.0,93.0,0.0,0.0,0.0,93.0,0.0,93.0,188.0,188.0,0.0,188.0,188.0,0.0,0.0,0.0,0.0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,3357.0,1666.0,1691.0,2536.0,1233.0,1303.0,821.0,433.0,388.0,683.0,494.0,189.0,606.0,494.0,112.0,77.0,0.0,77.0,2032.0,1172.0,860.0,1288.0,739.0,549.0,744.0,433.0,311.0,642.0,0.0,642.0,642.0,0.0,642.0,0.0,0.0,0.0
31,Cayuga & Onondaga (South) Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,64.0,0.0,64.0,64.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Fulton & Montgomery Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,128.0,0.0,128.0,0.0,0.0,0.0,128.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,0.0,0.0,0.0,128.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,252.0,252.0,0.0,252.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,252.0,0.0,252.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,179.0,179.0,0.0,179.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,179.0,0.0,179.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",6462.0,3124.0,3338.0,5169.0,2760.0,2409.0,1293.0,364.0,929.0,1035.0,369.0,666.0,1035.0,369.0,666.0,0.0,0.0,0.0,3778.0,2166.0,1612.0,2928.0,1945.0,983.0,850.0,221.0,629.0,1649.0,589.0,1060.0,1206.0,446.0,760.0,443.0,143.0,300.0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,7285.0,4888.0,2397.0,4536.0,3357.0,1179.0,2749.0,1531.0,1218.0,967.0,591.0,376.0,369.0,369.0,0.0,598.0,222.0,376.0,4752.0,3358.0,1394.0,3592.0,2719.0,873.0,1160.0,639.0,521.0,1566.0,939.0,627.0,575.0,269.0,306.0,991.0,670.0,321.0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",1384.0,459.0,925.0,1384.0,459.0,925.0,0.0,0.0,0.0,865.0,143.0,722.0,865.0,143.0,722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.0,316.0,203.0,519.0,316.0,203.0,0.0,0.0,0.0
41,Suffolk County (Central)--Islip Town (East) PUMA,83.0,83.0,0.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,83.0,0.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1433.0,335.0,1098.0,1054.0,75.0,979.0,379.0,260.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1294.0,252.0,1042.0,1054.0,75.0,979.0,240.0,177.0,63.0,139.0,83.0,56.0,0.0,0.0,0.0,139.0,83.0,56.0
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",3969.0,2265.0,1704.0,3117.0,2156.0,961.0,852.0,109.0,743.0,608.0,176.0,432.0,608.0,176.0,432.0,0.0,0.0,0.0,1708.0,793.0,915.0,962.0,684.0,278.0,746.0,109.0,637.0,1653.0,1296.0,357.0,1547.0,1296.0,251.0,106.0,0.0,106.0
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,16040.0,9340.0,6700.0,9818.0,6670.0,3148.0,6222.0,2670.0,3552.0,574.0,156.0,418.0,285.0,156.0,129.0,289.0,0.0,289.0,12022.0,6521.0,5501.0,6897.0,4241.0,2656.0,5125.0,2280.0,2845.0,3444.0,2663.0,781.0,2636.0,2273.0,363.0,808.0,390.0,418.0
45,Saratoga County (Outer) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",2226.0,901.0,1325.0,1964.0,639.0,1325.0,262.0,262.0,0.0,172.0,0.0,172.0,172.0,0.0,172.0,0.0,0.0,0.0,1699.0,546.0,1153.0,1437.0,284.0,1153.0,262.0,262.0,0.0,355.0,355.0,0.0,355.0,355.0,0.0,0.0,0.0,0.0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",644.0,584.0,60.0,438.0,378.0,60.0,206.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,288.0,60.0,142.0,82.0,60.0,206.0,206.0,0.0,296.0,296.0,0.0,296.0,296.0,0.0,0.0,0.0,0.0
48,Wayne & Seneca Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Schenectady County--Schenectady City PUMA,373.0,0.0,373.0,278.0,0.0,278.0,95.0,0.0,95.0,373.0,0.0,373.0,278.0,0.0,278.0,95.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,2230.0,828.0,1402.0,1084.0,479.0,605.0,1146.0,349.0,797.0,277.0,0.0,277.0,277.0,0.0,277.0,0.0,0.0,0.0,1424.0,828.0,596.0,807.0,479.0,328.0,617.0,349.0,268.0,529.0,0.0,529.0,0.0,0.0,0.0,529.0,0.0,529.0
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,84.0,0.0,84.0,0.0,0.0,0.0,84.0,0.0,84.0,84.0,0.0,84.0,0.0,0.0,0.0,84.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,719.0,407.0,312.0,719.0,407.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.0,407.0,312.0,719.0,407.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",332.0,182.0,150.0,332.0,182.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,150.0,0.0,150.0,0.0,0.0,0.0,182.0,182.0,0.0,182.0,182.0,0.0,0.0,0.0,0.0
54,Columbia & Greene Counties PUMA,37.0,37.0,0.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,0.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
