,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
0,Total Geo,272977,154972,118005,261471,149619,111852,11506,5353,6153,47710,18987,28723,45636,17833,27803,2074,1154,920,159060,88198,70862,153010,85670,67340,6050,2528,3522,66207,47787,18420,62825,46116,16709,3382,1671,1711
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,188,188,0,188,188,0,0,0,0,188,188,0,188,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1869,754,1115,1624,509,1115,245,245,0,160,94,66,160,94,66,0,0,0,1709,660,1049,1464,415,1049,245,245,0,0,0,0,0,0,0,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,410,75,335,410,75,335,0,0,0,134,75,59,134,75,59,0,0,0,276,0,276,276,0,276,0,0,0,0,0,0,0,0,0,0,0,0
4,Madison & Cortland Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,405,125,280,284,125,159,121,0,121,61,61,0,61,61,0,0,0,0,273,64,209,152,64,88,121,0,121,71,0,71,71,0,71,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",93,0,93,93,0,93,0,0,0,0,0,0,0,0,0,0,0,0,93,0,93,93,0,93,0,0,0,0,0,0,0,0,0,0,0,0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,1337,950,387,1337,950,387,0,0,0,716,479,237,716,479,237,0,0,0,357,207,150,357,207,150,0,0,0,264,264,0,264,264,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,1698,685,1013,1089,76,1013,609,609,0,672,672,0,63,63,0,609,609,0,0,0,0,0,0,0,0,0,0,1026,13,1013,1026,13,1013,0,0,0
11,Erie County (Northwest) PUMA,223,223,0,223,223,0,0,0,0,0,0,0,0,0,0,0,0,0,223,223,0,223,223,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",4538,2532,2006,4538,2532,2006,0,0,0,1821,585,1236,1821,585,1236,0,0,0,956,678,278,956,678,278,0,0,0,1761,1269,492,1761,1269,492,0,0,0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,4436,2349,2087,4034,2238,1796,402,111,291,361,151,210,361,151,210,0,0,0,3251,1790,1461,2960,1790,1170,291,0,291,824,408,416,713,297,416,111,111,0
14,Rockland County (North)--New City & Congers PUMA,2713,1655,1058,2649,1655,994,64,0,64,0,0,0,0,0,0,0,0,0,2299,1241,1058,2235,1241,994,64,0,64,414,414,0,414,414,0,0,0,0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,7,7,0,0,0,0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,4291,2620,1671,4291,2620,1671,0,0,0,225,0,225,225,0,225,0,0,0,2505,1550,955,2505,1550,955,0,0,0,1561,1070,491,1561,1070,491,0,0,0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,3579,2321,1258,3512,2254,1258,67,67,0,640,407,233,640,407,233,0,0,0,2202,1393,809,2135,1326,809,67,67,0,737,521,216,737,521,216,0,0,0
18,Tompkins County PUMA,11,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,11,11,0,0,0,0
19,Dutchess County (Southwest) PUMA,1822,958,864,1493,958,535,329,0,329,55,55,0,55,55,0,0,0,0,1333,469,864,1004,469,535,329,0,329,434,434,0,434,434,0,0,0,0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,8375,4360,4015,7985,4255,3730,390,105,285,2227,861,1366,2138,861,1277,89,0,89,5314,2859,2455,5099,2754,2345,215,105,110,834,640,194,748,640,108,86,0,86
21,Westchester County (Northwest) PUMA,4805,4041,764,4600,3836,764,205,205,0,476,429,47,271,224,47,205,205,0,2869,2152,717,2869,2152,717,0,0,0,1460,1460,0,1460,1460,0,0,0,0
22,Albany County (Outside Albany City) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Monroe County (South) PUMA,556,424,132,556,424,132,0,0,0,0,0,0,0,0,0,0,0,0,327,327,0,327,327,0,0,0,0,229,97,132,229,97,132,0,0,0
24,Jefferson & Lewis Counties PUMA,22,0,22,22,0,22,0,0,0,22,0,22,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Chenango, Delaware & Broome (East) Counties PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Erie County (Central) PUMA,62,62,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0
