,puma,BABS_Home_Ownership_Total,BABS_Home_Ownership_M,BABS_Home_Ownership_F,HS_Home_Ownership_Total,HS_Home_Ownership_M,HS_Home_Ownership_F,HSINC_Home_Ownership_Total,HSINC_Home_Ownership_M,HSINC_Home_Ownership_F
0,Total Geo,0.35431594579543346,0.4029080905830918,0.32479933160266167,0.28711861164542973,0.30336661823353017,0.26982107006900485,0.1930868664746352,0.2134668114315158,0.1557644997135443
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1.0,1.0,1.0,0.9765944997074313,1.0,0.9618684461391802,#DIV/0!,#DIV/0!,#DIV/0!
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.0,0.0,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,1.0,1.0,#DIV/0!,0.23443223443223443,1.0,0.0,1.0,#DIV/0!,1.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",1.0,#DIV/0!,1.0,1.0,#DIV/0!,1.0,0.0,0.0,#DIV/0!
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.0,0.0,0.0,0.31477927063339733,0.0,0.5222929936305732,1.0,1.0,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.09375,0.09375,#DIV/0!,1.0,#DIV/0!,1.0,0.0,#DIV/0!,0.0
11,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.10390324354040682,0.22393162393162394,0.04700162074554295,0.5524364406779662,0.7285531370038413,0.4281842818428184,0.30294259527255185,0.2986425339366516,0.3155893536121673
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.43795620437956206,0.3708609271523179,0.47692307692307695,0.25295248558088435,0.24524524524524524,0.26232501521606816,0.24094202898550723,0.0,0.5428571428571428
14,Rockland County (North)--New City & Congers PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.22430668841761828,0.18697956093868282,0.26790450928381965,0.2153846153846154,0.47342995169082125,0.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.0,1.0,#DIV/0!
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.0,#DIV/0!,0.0,0.05328330206378987,0.09161290322580645,0.0,0.05861182519280206,0.09628378378378379,0.0
