,puma,BABS_Working_Poor_Total,BABS_Working_Poor_M,BABS_Working_Poor_F,HS_Working_Poor_Total,HS_Working_Poor_M,HS_Working_Poor_F,HSINC_Working_Poor_Total,HSINC_Working_Poor_M,HSINC_Working_Poor_F
0,Total Geo,0.13275428239620632,0.1063790897459331,0.15012640956699708,0.21608425965731132,0.21107217939733708,0.22368141524556287,0.3043869474998623,0.2758275757787238,0.41142109851787273
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.025,0.0,0.06060606060606061,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.0,0.0,0.0,0.8546255506607929,#DIV/0!,0.8546255506607929,1.0,#DIV/0!,1.0
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,#DIV/0!,0.0,1.0,#DIV/0!,1.0,1.0,1.0,#DIV/0!
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.0,0.0,0.0,0.31477927063339733,0.0,0.5222929936305732,0.0,0.0,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,#DIV/0!,0.0,#DIV/0!,0.0,0.0,0.0,0.0
11,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.0,0.0,0.0,0.09427966101694915,0.13188220230473752,0.06775067750677506,0.15050651230101303,0.17970265029088558,0.06463878326996197
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.25790754257907544,0.3708609271523179,0.19230769230769232,0.24251579236473497,0.18218218218218218,0.31588557516737675,0.5498188405797102,0.8371335504885994,0.18979591836734694
14,Rockland County (North)--New City & Congers PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.12887438825448613,0.06056018168054504,0.20866489832007074,0.2153846153846154,0.47342995169082125,0.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.37344398340248963,#DIV/0!,0.37344398340248963,0.43151969981238275,0.42,0.4475336322869955,0.7182519280205656,0.7804054054054054,0.621550591327201
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,0.45625,0.32432432432432434,0.6866952789699571,0.2826362484157161,0.4346629986244842,0.040525739320920046,0.1044776119402985,0.14779270633397312,0.0
18,Tompkins County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!
19,Dutchess County (Southwest) PUMA,1.0,1.0,#DIV/0!,0.2237665045170257,0.26439232409381663,0.20412371134020618,0.2488479262672811,0.2488479262672811,#DIV/0!
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,0.16869300911854104,0.0,0.25070581592320723,0.18386549436989047,0.20060882800608829,0.16666666666666666,0.2253658536585366,0.1921875,0.2805194805194805
21,Westchester County (Northwest) PUMA,0.0,0.0,0.0,0.5906308224647325,0.5162639405204461,0.6903426791277258,0.3870601589103292,0.2602739726027397,1.0
22,Albany County (Outside Albany City) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
23,Monroe County (South) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!,0.0,0.0,0.0
24,Jefferson & Lewis Counties PUMA,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
25,"Chenango, Delaware & Broome (East) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
26,Erie County (Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
27,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.0,#DIV/0!,1.0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.2834971546818417,0.0,0.6562874251497006,0.12205234516714175,0.0707482993197279,0.19044740024183796,0.36474991493705344,0.36869747899159666,0.357487922705314
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,#DIV/0!,0.0,1.0,#DIV/0!,1.0,0.0,0.0,#DIV/0!
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.01585014409221902,0.02178217821782178,0.0,0.33988884138520736,0.25579655946148094,0.45209580838323354,0.0,#DIV/0!,0.0
31,Cayuga & Onondaga (South) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.0,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
33,Fulton & Montgomery Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,#DIV/0!,#DIV/0!,#DIV/0!,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.7039106145251397,0.7039106145251397,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",0.0,0.0,0.0,0.25017325017325015,0.08673469387755102,0.48399775407074674,0.634493670886076,0.17105263157894737,1.0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,0.0,0.0,0.0,0.3192719850314679,0.24687174139728885,0.4552129221732746,0.5428400239664469,0.43474088291746643,0.722488038277512
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0
41,Suffolk County (Central)--Islip Town (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",#DIV/0!,#DIV/0!,#DIV/0!,0.2890262751159196,0.7023809523809523,0.1890595009596929,1.0,1.0,1.0
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",0.0,0.0,0.0,0.27009413468501087,0.08301599390708302,0.4396135265700483,0.5195238095238095,0.3481912144702842,1.0
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,0.23419773095623986,0.0,0.3528693528693529,0.44096824219540154,0.3883227430763697,0.5086286594761171,0.4670241286863271,0.4489657511020685,0.5352112676056338
45,Saratoga County (Outer) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",0.10720562390158173,0.3505747126436782,0.0,0.3101338432122371,0.13333333333333333,0.41784615384615387,0.153954802259887,0.153954802259887,#DIV/0!
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",0.0,0.0,0.0,0.31402439024390244,0.7152777777777778,0.0,0.0,0.0,#DIV/0!
48,Wayne & Seneca Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
49,Schenectady County--Schenectady City PUMA,0.21541950113378686,#DIV/0!,0.21541950113378686,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,0.7184115523465704,#DIV/0!,0.7184115523465704,0.4899057873485868,0.3466183574879227,0.6702127659574468,1.0,#DIV/0!,1.0
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,1.0,#DIV/0!,1.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.0,0.0,0.0,0.08743169398907104,0.13333333333333333,0.0,0.0,0.0,0.0
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",0.0,0.0,#DIV/0!,1.0,#DIV/0!,1.0,1.0,1.0,#DIV/0!
54,Columbia & Greene Counties PUMA,0.0,#DIV/0!,0.0,1.0,1.0,#DIV/0!,0.0,0.0,0.0
55,Rensselaer County--Troy City PUMA,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!
