,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,320818,174856,145962,268757,154602,114155,52061,20254,31807,171876,86402,85474,150627,78957,71670,21249,7445,13804,126995,73412,53583,102373,63750,38623,24622,9662,14960,21947,15042,6905,15757,11895,3862,6190,3147,3043
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,7180,1865,5315,6036,1663,4373,1144,202,942,4508,1663,2845,4327,1663,2664,181,0,181,1721,0,1721,960,0,960,761,0,761,951,202,749,749,0,749,202,202,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,459,124,335,400,124,276,59,0,59,155,0,155,96,0,96,59,0,59,304,124,180,304,124,180,0,0,0,0,0,0,0,0,0,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,3765,2082,1683,3094,1972,1122,671,110,561,2969,1426,1543,2481,1359,1122,488,67,421,431,291,140,248,248,0,183,43,140,365,365,0,365,365,0,0,0,0
4,Madison & Cortland Counties PUMA,199,107,92,199,107,92,0,0,0,53,30,23,53,30,23,0,0,0,146,77,69,146,77,69,0,0,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,344,195,149,269,195,74,75,0,75,269,195,74,269,195,74,0,0,0,75,0,75,0,0,0,75,0,75,0,0,0,0,0,0,0,0,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,964,560,404,964,560,404,0,0,0,197,197,0,197,197,0,0,0,0,697,363,334,697,363,334,0,0,0,70,0,70,70,0,70,0,0,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,3121,1379,1742,1875,1124,751,1246,255,991,1460,640,820,538,385,153,922,255,667,1661,739,922,1337,739,598,324,0,324,0,0,0,0,0,0,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",448,237,211,258,159,99,190,78,112,146,43,103,79,43,36,67,0,67,189,109,80,66,31,35,123,78,45,113,85,28,113,85,28,0,0,0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,7630,3550,4080,6979,3283,3696,651,267,384,7279,3417,3862,6628,3150,3478,651,267,384,351,133,218,351,133,218,0,0,0,0,0,0,0,0,0,0,0,0
