,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,399737,195743,203994,329792,163486,166306,69945,32257,37688,202346,93463,108883,178942,84462,94480,23404,9001,14403,164471,83072,81399,127576,66144,61432,36895,16928,19967,32920,19208,13712,23274,12880,10394,9646,6328,3318
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,8312,2326,5986,7014,2219,4795,1298,107,1191,5531,2124,3407,5103,2017,3086,428,107,321,1830,0,1830,960,0,960,870,0,870,951,202,749,951,202,749,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,793,330,463,663,200,463,130,130,0,155,0,155,155,0,155,0,0,0,447,200,247,447,200,247,0,0,0,191,130,61,61,0,61,130,130,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,4339,2310,2029,3799,2031,1768,540,279,261,3388,1654,1734,3220,1654,1566,168,0,168,586,291,295,493,291,202,93,0,93,365,365,0,86,86,0,279,279,0
4,Madison & Cortland Counties PUMA,199,107,92,199,107,92,0,0,0,53,30,23,53,30,23,0,0,0,146,77,69,146,77,69,0,0,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,495,195,300,495,195,300,0,0,0,359,195,164,359,195,164,0,0,0,136,0,136,136,0,136,0,0,0,0,0,0,0,0,0,0,0,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,1037,560,477,1037,560,477,0,0,0,197,197,0,197,197,0,0,0,0,770,363,407,770,363,407,0,0,0,70,0,70,70,0,70,0,0,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,3451,1379,2072,3411,1379,2032,40,0,40,1460,640,820,1460,640,820,0,0,0,1951,739,1212,1951,739,1212,0,0,0,40,0,40,0,0,0,40,0,40
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",551,308,243,420,237,183,131,71,60,146,43,103,146,43,103,0,0,0,292,180,112,189,109,80,103,71,32,113,85,28,85,85,0,28,0,28
9,NYC-Manhattan Community District 8--Upper East Side PUMA,9783,3783,6000,9264,3550,5714,519,233,286,9265,3650,5615,8913,3417,5496,352,233,119,518,133,385,351,133,218,167,0,167,0,0,0,0,0,0,0,0,0
