,puma,BABS_FT_Work_Total,BABS_FT_Work_M,BABS_FT_Work_F,HS_FT_Work_Total,HS_FT_Work_M,HS_FT_Work_F,HSINC_FT_Work_Total,HSINC_FT_Work_M,HSINC_FT_Work_F
0,Total Geo,0.8763701738462613,0.9138330131246962,0.8385005966726724,0.8061183511161857,0.868386639786411,0.7208069723606367,0.7179568961589283,0.7907857997606701,0.5593048515568428
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.959849157054126,1.0,0.9363796133567662,0.557815223707147,#DIV/0!,0.557815223707147,0.7875920084121977,0.0,1.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.6193548387096774,#DIV/0!,0.6193548387096774,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.8356348939036713,0.9530154277699859,0.7271548930654569,0.5754060324825986,0.852233676975945,0.0,1.0,1.0,#DIV/0!
4,Madison & Cortland Counties PUMA,1.0,1.0,1.0,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,1.0,1.0,1.0,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,1.0,1.0,#DIV/0!,1.0,1.0,1.0,1.0,#DIV/0!,1.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.3684931506849315,0.6015625,0.18658536585365854,0.8049367850692354,1.0,0.648590021691974,#DIV/0!,#DIV/0!,#DIV/0!
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.541095890410959,1.0,0.34951456310679613,0.3492063492063492,0.28440366972477066,0.4375,1.0,1.0,1.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.9105646379997252,0.9218612818261633,0.9005696530295184,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.5588235294117647,1.0,0.40397350993377484,0.5934343434343434,0.36875,0.7457627118644068,0.4392523364485981,0.4392523364485981,#DIV/0!
11,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.7529812606473595,0.7529812606473595,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.8818474758324383,0.8966087675765095,0.8705808080808081,0.8302024884118078,0.9408123791102514,0.6413474240422721,#DIV/0!,#DIV/0!,#DIV/0!
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,1.0,1.0,1.0,0.13099041533546327,0.0,0.2192513368983957,#DIV/0!,#DIV/0!,#DIV/0!
14,Rockland County (North)--New City & Congers PUMA,0.5746835443037974,0.0918918918918919,1.0,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",1.0,1.0,1.0,1.0,1.0,#DIV/0!,1.0,1.0,1.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.8714285714285714,0.9071618037135278,0.8246527777777778,1.0,1.0,#DIV/0!,0.0,0.0,0.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,0.8923429319371727,0.8876889848812095,0.8951804055833553,0.7783706865884027,0.8553682342502218,0.6622043730477465,0.5007923930269413,0.5007923930269413,#DIV/0!
18,Tompkins County PUMA,0.870935960591133,1.0,0.7390438247011952,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
19,Dutchess County (Southwest) PUMA,0.7417355371900827,1.0,0.659400544959128,0.6223404255319149,0.5031055900621118,0.78099173553719,#DIV/0!,#DIV/0!,#DIV/0!
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,0.9458023379383634,1.0,0.8785714285714286,0.9140708915145005,1.0,0.8563734290843806,1.0,1.0,#DIV/0!
21,Westchester County (Northwest) PUMA,0.9560021727322108,0.9262966333030027,1.0,0.7226148409893993,1.0,0.19072164948453607,1.0,1.0,1.0
22,Albany County (Outside Albany City) PUMA,0.7587108013937283,0.4852941176470588,0.9094594594594595,1.0,1.0,1.0,1.0,#DIV/0!,1.0
23,Monroe County (South) PUMA,0.9147851420247632,1.0,0.7587628865979381,1.0,#DIV/0!,1.0,#DIV/0!,#DIV/0!,#DIV/0!
24,Jefferson & Lewis Counties PUMA,1.0,#DIV/0!,1.0,1.0,#DIV/0!,1.0,#DIV/0!,#DIV/0!,#DIV/0!
25,"Chenango, Delaware & Broome (East) Counties PUMA",0.30985915492957744,#DIV/0!,0.30985915492957744,0.8343949044585988,0.8509316770186336,0.8169934640522876,#DIV/0!,#DIV/0!,#DIV/0!
26,Erie County (Central) PUMA,1.0,1.0,1.0,0.9304029304029304,1.0,0.6761363636363636,#DIV/0!,#DIV/0!,#DIV/0!
27,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.6522346368715084,1.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.9413237924865832,0.9712509712509713,0.9157824933687002,0.8819875776397516,0.7764705882352941,1.0,#DIV/0!,#DIV/0!,#DIV/0!
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,#DIV/0!
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.8436097330498464,1.0,0.6840095465393795,0.8565955117679256,0.8067324434126524,0.9010875194199897,0.553314121037464,0.4227188081936685,1.0
31,Cayuga & Onondaga (South) Counties PUMA,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,1.0,1.0,1.0,1.0,#DIV/0!,1.0,1.0,1.0,#DIV/0!
33,Fulton & Montgomery Counties PUMA,1.0,#DIV/0!,1.0,0.7898550724637681,#DIV/0!,0.7898550724637681,#DIV/0!,#DIV/0!,#DIV/0!
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.823238566131026,0.8443496801705757,0.7941176470588235,0.6944099378881987,0.7254901960784313,0.6406779661016949,0.4393939393939394,0.0,1.0
